age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated ()
-17.56,0,0,0,NA,NA,NA,NA,0,3,NA,NA
NA,41.5,410,420,1525,30,1441,1377,10,1,3,2
NA,41.5,410,420,2190,30,2300,2126,10,2,6,1
NA,68.5,680,690,2585,35,2752,2736,10,1,1,2
NA,68.5,680,690,3260,35,3518,3420,10,2,2,1
NA,199.5,1990,2000,5850,40,6770,6624,10,1,4,2
NA,199.5,1990,2000,6100,40,7044,6850,10,2,7,1
NA,222,2220,2220,6390,40,7374,7226,0,1,5,2
NA,222,2220,2220,6670,40,7570,7500,0,2,8,1
