depth (cm),age (yr bp),error (yr),type (unitless),material (unitless)
28,574,32,AMS14C,peat
45,911,31,AMS14C,peat
66,1631,34,AMS14C,peat
100,2397,33,AMS14C,peat
140,2974,36,AMS14C,peat
180,3685,35,AMS14C,peat
224,4912,35,AMS14C,peat
255,49025,41,AMS14C,peat
278,5587,38,AMS14C,peat
295,6256,38,AMS14C,peat
304,7892,49,AMS14C,peat
315,8223,43,AMS14C,peat
324,9078,45,AMS14C,pollen
333,9729,54,AMS14C,peat
338,10396,50,AMS14C,pollen
357,11236,80,AMS14C,pollen
371,12823,69,AMS14C,peat
378,13045,71,AMS14C,peat
378,12918,70,AMS14C,peat
390,13648,73,AMS14C,peat
396,10320,170,AMS14C,pollen
396,12679,55,AMS14C,plant fragments
