depth (cm),age (bp),age14C (bp),age_error (years),age_type (),lab_id (),material_dated ()
128,2964,2870,50,1,1,2
204,5597,4840,50,1,2,1
236,6697,5860,410,1,3,1
358,9445,8440,70,1,4,4
398,9874,8820,70,1,5,4
423,9934,8930,70,1,6,4
457,9762,8760,120,1,7,4
482,10517,9500,80,1,8,3
