depth (cm),dateType (),measurementMaterial (),sensorSpecies (),age14C (kyr),age14CUncertainty (kyr),age14CHi (kyr),age14CLow (kyr),reservoirAge (kyr),notes ()
61,14C,planktic foraminifera,G. bulloides,2.11,0.04,NA,NA,0.4,added 400 years to ages to provide raw 14C
103,14C,planktic foraminifera,G. bulloides,3.635,0.03,NA,NA,0.4,added 400 years to ages to provide raw 14C
214,14C,planktic foraminifera,G. bulloides,7.41,0.05,NA,NA,0.4,added 400 years to ages to provide raw 14C
283,14C,planktic foraminifera,G. bulloides,9.13,0.06,NA,NA,0.4,added 400 years to ages to provide raw 14C
361,14C,planktic foraminifera,N. pachyderma,10.475,0.05,NA,NA,0.4,added 400 years to ages to provide raw 14C
461,14C,planktic foraminifera,G. bulloides,10.03,0.06,NA,NA,0.4,added 400 years to ages to provide raw 14C
501,14C,planktic foraminifera,G. bulloides,12.36,0.08,NA,NA,0.4,added 400 years to ages to provide raw 14C
551,14C,planktic foraminifera,G. bulloides,13.12,0.08,NA,NA,0.4,added 400 years to ages to provide raw 14C
638,14C,planktic foraminifera,N. pachyderma,14.73,0.09,NA,NA,0.4,added 400 years to ages to provide raw 14C
753,14C,planktic foraminifera,G. bulloides,17.62,0.12,NA,NA,0.4,added 400 years to ages to provide raw 14C
978,14C,planktic foraminifera,G. bulloides,22.82,NA,0.32,0.31,0.4,added 400 years to ages to provide raw 14C
1121,14C,planktic foraminifera,N. pachyderma,27.54,NA,0.47,0.45,0.4,added 400 years to ages to provide raw 14C
1269,14C,planktic foraminifera,N. pachyderma,30.33,NA,0.7,0.64,0.4,added 400 years to ages to provide raw 14C
1435,14C,planktic foraminifera,G. bulloides,34.15,NA,0.66,0.61,0.4,added 400 years to ages to provide raw 14C
1449,14C,planktic foraminifera,N. pachyderma,34.63,NA,1.21,1.05,0.4,added 400 years to ages to provide raw 14C
1540,14C,planktic foraminifera,G. bulloides,36.1,NA,0.82,0.75,0.4,added 400 years to ages to provide raw 14C
1588,14C,planktic foraminifera,G. bulloides,32.67,NA,0.7,0.76,0.4,added 400 years to ages to provide raw 14C
