depth (cm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),age_type (),lab_id (),material_dated (),rejected_dates (),note ()
1,72,37,NA,NA,1,4,2,NA,NA
42.5,680,30,364,281,1,26,1,NA,NA
131,1010,30,623,556,1,27,8,NA,NA
161,1124,41,711,644,1,11,3,NA,NA
177.5,1226,25,795,718,1,5,2,NA,NA
246,1535,47,1161,1036,1,15,9,NA,NA
266,1693,42,1293,1210,1,8,8,NA,NA
351,1978,35,1593,1489,1,17,5,NA,NA
412,2396,47,2098,1966,1,12,3,NA,NA
456,2578,48,2315,2189,1,6,16,NA,NA
563,3017,39,2824,2741,1,18,17,NA,NA
621,3375,80,3345,3142,1,14,9,NA,NA
707.5,3840,33,3845,3730,1,19,1,NA,NA
815,3949,39,3992,3866,1,20,17,NA,NA
937.5,4340,46,4527,4407,1,13,4,NA,NA
974,4505,50,4793,4638,1,1,11,NA,NA
1162,5296,53,5704,5592,1,9,15,NA,NA
1268,5826,51,6289,6192,1,21,17,NA,NA
1398,6833,81,7419,7274,1,23,9,NA,NA
1519.5,7749,62,8298,8159,1,7,14,NA,NA
1568,8084,57,8608,8458,1,10,7,NA,NA
1708,8572,78,9330,9106,1,24,10,NA,NA
1708,8609,92,9392,9150,1,25,6,1,1
1718,8590,43,9325,9162,1,22,13,NA,NA
1980.5,9265,70,10193,9966,1,2,12,NA,NA
2068,9477,88,10425,10227,1,16,9,NA,NA
2499,10920,85,12672,12351,1,3,9,1,1
