age (BP),temperature (degC)
136.503,2.685
168.349,3.331
194.513,2.613
225.237,2.99
240.786,3.223
285.266,3.403
313.448,3.169
327.278,2.99
355.835,2.846
386.11,3.115
416.087,3.313
402.332,3.51
461.165,3.636
475.069,3.474
503.85,3.385
547.058,3.259
546.311,3.079
577.035,3.456
607.012,3.654
680.496,3.797
723.78,3.69
752.486,3.582
766.39,3.421
796.367,3.618
811.841,3.833
856.545,4.067
899.38,3.851
927.637,3.636
911.49,3.259
940.121,3.133
952.68,2.649
998.355,3.115
1043.881,3.546
1086.193,3.205
1114.749,3.062
1128.28,2.81
1172.983,3.044
1216.267,2.936
1215.743,2.81
1258.952,2.685
1317.71,2.792
1333.333,3.044
1348.882,3.277
1408.163,3.51
1435.823,3.151
1434.926,2.936
1491.067,2.415
1552.366,3.133
1598.041,3.6
1628.467,3.905
1656.799,3.708
1714.809,3.636
1774.015,3.851
1787.396,3.564
1817.074,3.69
1846.901,3.851
1846.079,3.654
1904.911,3.779
1903.94,3.546
1917.695,3.349
1946.251,3.205
2004.635,3.223
2034.088,3.295
2047.918,3.115
2076.774,3.044
2135.382,3.115
2150.258,3.187
2179.711,3.259
2208.343,3.133
2236.899,2.99
2295.059,2.954
2339.239,3.062
2354.34,3.187
2413.097,3.295
2413.77,3.456
2472.602,3.582
2473.275,3.744
2488.376,3.869
2531.883,3.815
2560.589,3.708
2589.445,3.636
2634.298,3.905
2648.127,3.726
2735.666,3.744
2720.789,3.672
2778.874,3.618
2793.676,3.672
2808.702,3.779
2823.578,3.851
2867.31,3.851
2881.663,3.797
2896.016,3.744
2939.299,3.636
2968.154,3.564
3026.314,3.528
3084.922,3.6
3157.958,3.636
3157.509,3.528
3185.841,3.331
3199.895,3.205
3243.179,3.097
3242.73,2.99
3271.511,2.9
3315.467,2.954
3342.902,2.541
3373.626,2.918
3402.482,2.846
3432.085,2.954
3461.837,3.097
3433.206,3.223
3491.74,3.277
3564.701,3.295
3549.675,3.187
3637.587,3.295
3605.965,2.703
3633.102,2.218
3646.857,2.021
3691.112,2.146
3748.449,1.913
3778.351,2.092
3808.776,2.397
3838.977,2.649
3839.8,2.846
3913.434,3.026
3929.282,3.331
3945.279,3.672
3961.426,4.049
4006.13,4.282
4050.759,4.497
4079.091,4.3
4122,4.103
4135.98,3.959
4193.915,3.869
4178.964,3.779
4192.794,3.6
4192.046,3.421
4205.951,3.259
4234.208,3.044
4233.386,2.846
4293.265,3.223
4337.221,3.277
4338.192,3.51
4396.95,3.618
4425.357,3.438
4439.71,3.385
4497.57,3.277
4541.452,3.313
4599.836,3.331
4614.787,3.421
4629.738,3.51
4702.325,3.438
4790.087,3.51
4819.84,3.654
4849.817,3.851
4893.474,3.833
4952.904,4.103
4966.809,3.941
4981.012,3.851
5009.569,3.708
5023.847,3.636
5096.285,3.528
5109.965,3.313
5183.599,3.492
5183.075,3.367
5211.408,3.169
5299.245,3.259
5298.796,3.151
5342.154,3.062
5371.757,3.169
5416.312,3.367
5430.291,3.223
5458.922,3.097
5502.953,3.169
5547.432,3.349
5622.412,3.851
5650.594,3.618
5679.076,3.456
5737.684,3.528
5766.166,3.367
5763.026,2.613
5806.235,2.487
5823.727,3.187
5883.083,3.438
5897.361,3.367
5941.018,3.349
5999.028,3.277
6057.786,3.385
6086.94,3.385
6131.719,3.636
6233.236,3.51
6306.496,3.6
6336.324,3.762
6365.329,3.726
6407.64,3.385
6479.554,3.151
6522.464,2.954
6521.567,2.738
6565.299,2.738
6669.806,3.331
6714.884,3.654
6773.193,3.654
6815.878,3.403
6844.285,3.223
6915.975,2.936
7076.25,2.918
7106.152,3.097
7150.856,3.331
7151.828,3.564
7226.508,3.995
7313.673,3.923
7385.288,3.618
7428.048,3.385
7470.883,3.169
7499.514,3.044
7601.331,2.99
7659.789,3.026
7732.675,3.026
7820.961,3.223
7921.881,2.954
7980.19,2.954
8110.264,2.685
8183.3,2.721
8241.16,2.613
8359.049,2.918
8550.198,3.313
8622.486,3.169
8694.476,2.954
8767.138,2.9
8811.318,3.008
8855.05,3.008
8956.492,2.864
9029.977,3.008
9087.688,2.864
9188.981,2.685
9246.468,2.487
9333.483,2.379
9347.238,2.182
9432.832,1.733
9519.249,1.482
9634.298,1.105
9721.163,0.962
9867.982,1.213
9955.222,1.159
