depth (cm),year (AD),age (BP),clay0x25strd (percent),susc (missing),LOI (missing),LOI (missing),gs500x25 (percent),gs0x2E020x2D30x2E89um (percent),gs30x2E900x2D70x2E79um (percent),gs70x2E800x2D150x2E59um (percent),gs150x2E60um0x2D300x2E99um (percent),gs310x2E000x2D620x2E49um (percent),gs620x2E500x2D1240x2E99um (percent),gs1250x2E000x2D2490x2E99um (percent),gs2500x2E000x2D4990x2E99um (percent),grainSize5000x2E00um0x2D10000x2E00um (percent),gs10000x2E010x2D20000x2E00um (percent),mode (missing),clay0x25 (percent),silt0x25 (percent),sand0x25 (percent),ostracods (missing),C0x2FN (missing)
62.5,428.8,1521.2,0.52,6.2,5.87,7.27,4.75,44.8,17.09,13.57,9.32,6.96,4.7,1.37,1.46,0.61,0,2.86,44.8,46.94,8.15,NA,NA
63.5,404,1546,NA,6.1,6.09,6.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64.5,379.3,1570.7,NA,5.9,6,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65.5,354.6,1595.4,NA,5.1,7.23,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66.5,329.6,1620.4,0.56,4.9,7.53,4.75,4.56,45.36,18.18,12.19,6.8,5.24,4.93,4.12,2.8,0.27,0,2.83,45.36,42.41,12.11,NA,NA
67.5,304.9,1645.1,NA,5.1,6.79,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68.5,280.4,1669.6,0.45,5.6,6.45,5.5,4.92,43.56,17.58,12.99,8.31,6.23,5.61,3.62,1.76,0.23,0,2.84,43.56,45.1,11.23,NA,NA
69.5,255.3,1694.7,NA,4.8,7.89,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
70.5,229.8,1720.2,0.38,4.7,6.91,7.48,5.2,42.21,17.79,13.98,9.26,7.17,5.59,2.95,0.94,0,0,3.01,42.21,48.2,9.48,NA,NA
71.5,203.9,1746.1,NA,4.8,6.76,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72.5,177.6,1772.4,0.32,4.8,7.98,6.91,5.52,41.26,16.69,13.1,7.82,6.25,5.61,2.31,4.83,2.03,0,2.94,41.26,43.86,14.77,NA,NA
73.5,151.1,1798.9,NA,4.9,7.02,7.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74.5,125.3,1824.7,0.56,4.7,7.85,5.95,4.6,45.37,18.07,14.21,9.14,6.43,4.51,1.5,0.55,0.11,0,2.94,45.37,47.85,6.66,NA,NA
75.5,99.2,1850.8,NA,4.1,7.09,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76.5,73.6,1876.4,NA,4.9,7.06,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25
77.5,47.3,1902.7,NA,4.6,7.19,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78.5,20.9,1929.1,0.35,4.6,7.14,7.06,4.74,41.83,26.55,16.03,7.33,4.51,2.73,0.8,0.05,0,0,4.02,41.83,54.43,3.58,NA,6.91
79.5,-5.4,1955.4,NA,4.6,7.01,6.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
