depth (cm),age (BP),temperature (degC)
516,-56.87,15.268
523,37.46,14.344
531,149.42,14.279
539,261.75,14.001
547,374.65,14.847
555,488.32,14.349
563,602.97,14.58
571,718.87,14.744
579,836.27,14.899
587,955.43,15.622
595,1076.63,15.391
603,1200.11,14.921
611,1326.15,15.319
619,1455,14.873
627,1586.91,16.214
635,1722.04,15.465
643,1860.54,16.285
651,2002.55,15.33
659,2148.23,15.498
667,2297.73,15.651
675,2451.19,15.108
683,2608.77,14.926
691,2770.62,15.168
699,2936.88,15.107
707,3107.7,15.297
715,3283.24,15.403
723,3463.62,15.652
731,3648.91,15.103
739,3839.16,15.424
747,4034.44,15.749
755,4234.79,16.1
763,4440.26,15.291
771,4650.93,15.896
779,4866.82,15.833
787,5087.91,15.427
795,5314.06,15.548
803,5545.15,15.656
811,5781.07,15.737
819,6021.69,15.531
827,6266.89,16.013
835,6516.55,15.037
843,6770.55,15.486
851,7028.76,15.179
859,7291.06,14.944
867,7557.33,15.273
875,7827.44,15.275
883,8101.15,14.679
891,8378.11,15.22
899,8657.97,14.65
907,8940.4,14.27
