year (AD),age (BP),MS (cgs)
1821.61,128.39,2408.555
1820.33,129.67,2393.748
1819.05,130.95,2439.654
1817.76,132.24,2432.001
1816.48,133.52,2415.335
1815.2,134.8,2416.491
1813.91,136.09,2399.803
1812.63,137.37,2409.791
1811.34,138.66,2446.615
1810.06,139.94,2503.131
1808.78,141.22,2495.18
1807.49,142.51,2433.932
1806.21,143.79,2355.037
1804.92,145.08,2320.592
1803.64,146.36,2357.32
1802.36,147.64,2414.086
1801.07,148.93,2459.735
1799.79,150.21,2460.681
1798.51,151.49,2515.05
1797.22,152.78,2542.786
1795.94,154.06,2561.826
1794.65,155.35,2573.88
1793.37,156.63,2574.53
1792.09,157.91,2593.05
1790.8,159.2,2620.414
1789.52,160.48,2621.643
1788.23,161.77,2604.507
1786.95,163.05,2596.299
1785.67,164.33,2588.12
1784.38,165.62,2597.641
1783.1,166.9,2598.235
1781.82,168.18,2608.668
1780.53,169.47,2680.565
1779.25,170.75,2663.774
1777.96,172.04,2682.149
1776.68,173.32,2709.485
1775.4,174.6,2745.63
1774.11,175.89,2746.245
1772.83,177.17,2693.441
1771.54,178.46,2658.961
1770.26,179.74,2650.606
1768.98,181.02,2642.351
1767.69,182.31,2687.437
1766.41,183.59,2759
1765.13,184.87,2750.1
1763.84,186.16,2723.4
1762.56,187.44,2741.2
1761.27,188.73,2741.2
1759.99,190.01,2696.7
1758.71,191.29,2687.8
1757.42,192.58,2723.4
1756.14,193.86,2786.826
1754.85,195.15,2769.704
1753.57,196.43,2779.299
1752.29,197.71,2753.246
1751,199,2771.679
1749.72,200.28,2790.173
1748.43,201.57,2826.529
1747.15,202.85,2881.579
1745.87,204.13,2855.527
1744.58,205.42,2954.044
1743.3,206.7,3079.4
1742.02,207.98,3052.7
1740.73,209.27,3052.7
1739.45,210.55,3061.6
1738.16,211.84,3079.4
1736.88,213.12,3079.4
1735.6,214.4,3221.8
1734.31,215.69,3284.1
1733.03,216.97,3355.3
1731.74,218.26,3399.8
1730.46,219.54,3426.5
1729.18,220.82,3462.1
1727.89,222.11,3471
1726.61,223.39,3479.9
1725.33,224.67,3515.5
1724.04,225.96,3631.2
1722.76,227.24,3675.7
1721.47,228.53,3684.6
1720.19,229.81,3720.2
1718.91,231.09,3702.4
1717.62,232.38,3650.158
1716.34,233.66,3597.49
1715.05,234.95,3571.536
1713.77,236.23,3572.298
1712.49,237.51,3617.438
1711.2,238.8,3635.863
1709.92,240.08,3645.479
1708.64,241.36,3664.422
1707.35,242.65,3709.73
1706.07,243.93,3719.483
1704.78,245.22,3666.8
1703.5,246.5,3693.5
1702.22,247.78,3746.9
1700.93,249.07,3800.3
1699.65,250.35,3782.5
1698.36,251.64,3880.4
1697.08,252.92,3889.3
1695.8,254.2,3898.2
1694.51,255.49,3871.5
1693.23,256.77,3844.8
1691.95,258.05,3854.534
1690.66,259.34,3819.568
1689.38,260.62,3802.478
1688.09,261.91,3820.974
1686.81,263.19,3884.031
1685.53,264.47,3902.526
1684.24,265.76,3894.399
1682.96,267.04,3948.463
1681.67,268.33,3966.866
1680.39,269.61,4003.223
1679.11,270.89,4066.125
1677.82,272.18,4066.79
1676.54,273.46,3998.159
1675.26,274.74,4052.153
1673.97,276.03,4159.616
1672.69,277.31,4169.056
1671.4,278.6,4143.019
1670.12,279.88,4143.765
1668.84,281.16,4206.701
1667.55,282.45,4260.861
1666.27,283.73,4297.166
1664.98,285.02,4297.995
1663.7,286.3,4343.968
1662.42,287.58,4433.33
1661.13,288.87,4442.663
1659.85,290.15,4460.922
1658.57,291.43,4497.034
1657.28,292.72,4524.123
1656,294,4471.172
1654.71,295.29,4453.752
1653.43,296.57,4525.933
1652.15,297.85,4633.112
1650.92,299.08,4740.389
1649.71,300.29,4820.939
1648.5,301.5,4830.316
1647.3,302.7,4848.478
1646.09,303.91,4857.802
1644.88,305.12,4947.164
1643.67,306.33,4992.123
1642.46,307.54,4947.994
1641.25,308.75,5127.031
1640.05,309.95,5065.193
1638.84,311.16,5021.802
1637.63,312.37,4933.164
1636.42,313.58,4808.949
1635.21,314.79,4684.703
1634,316,4480.365
1632.8,317.2,4187.003
1631.59,318.41,4036.35
1630.38,319.62,4040.277
1629.17,320.83,4928.058
1627.96,322.04,4893.555
1626.75,323.25,4957.458
1625.55,324.45,5020.742
1624.34,325.66,5129.308
1623.13,326.87,5299.341
1621.92,328.08,5451.739
1620.71,329.29,5630.937
1619.5,330.5,5640.872
1618.3,331.7,5544.019
1617.09,332.91,4805.142
1615.88,334.12,4448.682
1614.67,335.33,4430.36
1613.46,336.54,4634.601
1612.25,337.75,4794.27
1611.05,338.95,4820.448
1609.84,340.16,4909.009
1608.63,341.37,4970.481
1607.42,342.58,4970.072
1606.21,343.79,4951.588
1605,345,4904.595
1603.8,346.2,4691.835
1602.59,347.41,4701.568
1601.38,348.62,4702.549
1600.17,349.83,4712.226
1598.96,351.04,4775.248
1597.75,352.25,4740.499
1596.55,353.45,4696.739
1595.34,354.66,4733.042
1594.13,355.87,4724.956
1592.92,357.08,4644.355
1591.71,358.29,4572.309
1590.5,359.5,4509.104
1589.29,360.71,4535.163
1588.09,361.91,4569.917
1586.88,363.12,4515.626
1585.67,364.33,4434.826
1584.46,365.54,4389.611
1583.25,366.75,4335.54
1582.04,367.96,4210.298
1580.84,369.16,3622.3
1579.63,370.37,3755.8
1578.42,371.58,3835.9
1577.21,372.79,3889.3
1576,374,3942.7
1574.79,375.21,3924.9
1573.59,376.41,3871.5
1572.38,377.62,3738
1571.17,378.83,3720.2
1569.96,380.04,3649
1568.75,381.25,3631.2
1567.54,382.46,3595.6
1566.35,383.65,3577.8
1565.16,384.84,3595.6
1563.97,386.03,3560
1562.78,387.22,3515.5
1561.59,388.41,3471
1560.4,389.6,3453.2
1559.21,390.79,3355.3
1558.02,391.98,3257.4
1556.83,393.17,3195.697
1555.64,394.36,3142.685
1554.45,395.55,3134.12
1553.26,396.74,3125.578
1552.07,397.93,3108.167
1550.88,399.12,3099.58
1549.69,400.31,3135.53
1548.5,401.5,3162.588
1547.31,402.69,3154.031
1546.12,403.88,3136.62
1544.93,405.07,2861.98
1543.74,406.26,2835.609
1542.55,407.45,2809.222
1541.36,408.64,2791.81
1540.17,409.83,2827.828
1538.98,411.02,2810.594
1537.79,412.21,2837.638
1536.6,413.4,2864.629
1535.41,414.59,2900.505
1534.22,415.78,2891.888
1533.03,416.97,2883.279
1531.84,418.16,2911.999
1530.65,419.35,2895.089
1529.46,420.54,2833.517
1528.27,421.73,2816.445
1527.08,422.92,2835.054
1525.89,424.11,2880.343
1524.7,425.3,2872.212
1523.51,426.49,2828.542
1522.32,427.68,2651.37
1521.13,428.87,2446.361
1519.94,430.06,2320.879
1518.75,431.25,2293.346
1517.56,432.44,2363.856
1516.37,433.63,2389.85
1515.18,434.82,2219.997
1513.99,436.01,2085.182
1512.79,437.21,2226.973
1511.6,438.4,2413.231
1510.41,439.59,2501.606
1509.22,440.78,2589.9
1508.03,441.97,2572.1
1506.84,443.16,2492
1505.65,444.35,2314
1504.46,445.54,2118.2
1503.27,446.73,2109.3
1502.08,447.92,2225
