age (BP),temperature (degC),uncertainty (missing),uncertainty (missing)
-20.035,13.774,15.202,12.347
-1.81,13.433,14.855,12.01
8.43,13.632,15.052,12.213
23.708,13.788,15.207,12.369
41.059,13.515,14.942,12.088
86.122,13.457,14.883,12.031
127.654,13.514,14.936,12.092
148.423,13.761,15.18,12.342
169.161,13.626,15.05,12.202
210.438,13.045,14.487,11.602
230.926,13.444,14.879,12.009
251.28,13.511,14.936,12.086
271.474,12.823,14.258,11.388
291.481,13.349,14.777,11.921
311.277,13.306,14.733,11.879
330.836,13.759,15.218,12.301
350.132,13.553,14.984,12.122
369.14,13.515,14.937,12.093
388.065,13.604,15.032,12.175
407.817,14.294,15.72,12.867
427.418,13.909,15.333,12.485
445.605,13.452,14.892,12.012
461.731,14.047,15.481,12.613
478.776,13.672,15.108,12.236
497.543,13.267,14.698,11.836
518.28,13.744,15.172,12.317
541.24,13.569,15,12.139
580.394,13.344,14.77,11.918
625.957,13.185,14.612,11.757
660.312,13.695,15.118,12.273
698.142,13.678,15.104,12.252
739.699,13.766,15.192,12.34
784.865,14.133,15.559,12.707
831.588,13.991,15.428,12.553
879.497,13.934,15.359,12.51
928.581,13.958,15.389,12.527
978.824,14.228,15.668,12.788
1030.216,13.734,15.184,12.283
1082.741,13.819,15.247,12.392
1136.388,14.031,15.459,12.603
1218.932,13.721,15.147,12.295
1303.925,13.922,15.351,12.494
1361.877,13.432,14.856,12.007
1420.565,13.363,14.808,11.917
1479.973,13.46,14.883,12.036
1540.136,13.273,14.705,11.84
1601.234,13.81,15.254,12.366
1664.051,13.695,15.124,12.266
1728.499,13.548,14.977,12.119
1794.336,13.324,14.763,11.885
1861.319,13.806,15.233,12.378
1929.207,14.085,15.518,12.651
1997.757,13.985,15.428,12.542
2066.728,13.803,15.236,12.371
2135.876,13.79,15.227,12.352
2204.96,14.179,15.614,12.745
2273.737,13.805,15.232,12.378
2341.966,14.143,15.589,12.697
2409.404,13.571,15.023,12.119
2475.808,13.976,15.436,12.517
2540.938,13.679,15.129,12.23
2666.403,13.92,15.354,12.486
2783.86,13.649,15.095,12.203
3029.885,14.179,15.627,12.731
3107.951,13.621,15.094,12.148
3160.552,14.29,15.768,12.813
3208.619,13.968,15.44,12.497
3238.396,13.583,15.111,12.055
3266.534,13.96,15.422,12.497
3293.182,13.416,14.896,11.936
3318.493,13.965,15.418,12.511
3342.616,13.724,15.163,12.285
3365.701,14.056,15.529,12.582
3387.899,14.497,15.967,13.026
3409.361,13.63,15.091,12.169
3430.236,14.355,15.804,12.907
3450.676,14.302,15.745,12.86
3470.831,14.38,15.837,12.924
3490.85,14.184,15.63,12.738
3510.885,14.239,15.693,12.785
3531.086,13.879,15.319,12.439
3551.604,14.098,15.532,12.664
3572.588,14.034,15.488,12.58
3594.189,13.881,15.338,12.424
3616.558,14.176,15.626,12.725
3639.846,13.904,15.358,12.451
3664.201,13.921,15.359,12.483
3689.776,14.414,15.855,12.973
3716.719,13.79,15.221,12.359
3791.057,13.995,15.435,12.555
3876.922,13.966,15.388,12.543
3912.633,14.324,15.786,12.862
3948.059,13.808,15.251,12.366
3983.244,13.943,15.378,12.507
4018.232,13.018,14.48,11.555
4053.07,14.265,15.728,12.802
4122.474,14.403,15.858,12.949
4191.815,14.308,15.748,12.868
4226.574,14.65,16.121,13.178
4261.453,14.832,16.292,13.372
4296.497,14.48,15.925,13.034
4349.468,14.27,15.723,12.817
4403.063,14.745,16.186,13.303
4439.214,14.393,15.837,12.949
4475.755,14.371,15.808,12.934
4512.73,13.779,15.221,12.337
4737.485,14.842,16.305,13.38
4775.013,14.67,16.142,13.197
4812.57,14.036,15.482,12.59
4850.164,14.093,15.527,12.659
4887.797,14.149,15.578,12.721
4944.335,14.558,15.995,13.121
5000.992,14.911,16.354,13.469
5038.838,14.191,15.653,12.73
5076.75,14.123,15.553,12.692
5133.752,13.95,15.383,12.516
5460.612,13.738,15.175,12.3
5499.585,14.324,15.778,12.87
5538.684,14.922,16.37,13.475
5577.916,14.248,15.734,12.762
5736.264,13.191,14.641,11.741
5776.232,13.397,14.843,11.951
5816.363,14.267,15.696,12.838
5856.661,14.056,15.511,12.601
5897.133,13.712,15.147,12.277
5937.782,13.795,15.226,12.363
5978.614,13.684,15.137,12.232
6007.664,14.277,15.709,12.845
