depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,10.343,-23.329,-5.942,699.286
5,537.2,9.957,-24.186,-6.167,605.857
10,1074.4,10.857,-22.814,-5.763,764.714
15,1611.6,11.214,-22.2,-5.332,801.286
20,2148.8,11.086,-22.3,-5.462,801
25,2686,10.843,-23.129,-5.688,745.286
30,3130.5,10.971,-22.186,-5.461,804.857
35,3482.4,11.529,-22.514,-5.269,808.286
40,3834.3,12.014,-23.5,-5.636,737.571
45,4186.2,11.186,-22.5,-5.47,796.571
50,4538,11.286,-22.514,-5.412,799.143
55,4889.9,11.6,-23.714,-5.9,706.286
60,5241.8,10.514,-23.814,-5.845,681.286
65,5593.7,11.257,-23.286,-5.726,706.143
70,5945.6,10.443,-22.814,-5.76,712.857
75,6297.5,10,-24.129,-6.636,535.429
80,6489.3,10.8,-25.4,-7.585,438.143
85,6681.1,9.343,-23.443,-6.537,584.286
90,6873,8.586,-21.929,-6.27,578.714
95,7064.8,10.014,-25.014,-7.55,457.143
100,7256.7,8.886,-23.657,-6.602,575.143
105,7448.5,9.129,-22.086,-6.288,732.429
107.5,7544.4,12.671,-22.986,-4.627,622.429
