depth (cm),age (yr BP),material (),d13C (per mil),error (yr)
27,1110,Humin,-24.8,180
390,4213,TOC,-26.4,70
749,6200,Humin,-25.3,340
900,7080,Humin,-24,200
950,7398,TOC,-25.7,70
1270,9020,Humin,-24.3,190
1275,8415,pollen,-25.4,50
1300,10026,Humin,-24.4,44
1339,12263,Humin,-27.8,75
1449,14459,Humin,-30.3,87
