depth (cm),age (yr bp),error (yr),type (unitless)
0,2070,100,AMS14C
50,4100,120,AMS14C
100,6180,170,AMS14C
140,7820,250,AMS14C
180,8550,80,AMS14C
190,8980,90,AMS14C
220,9210,100,AMS14C
260,9560,110,AMS14C
270,9850,190,AMS14C
280,9880,130,AMS14C
290,9820,130,AMS14C
300,10240,170,AMS14C
320,10180,100,AMS14C
330,10640,230,AMS14C
340,10850,110,AMS14C
350,10560,140,AMS14C
370,10850,150,AMS14C
380,11440,100,AMS14C
390,12500,230,AMS14C
400,12720,130,AMS14C
410,12520,210,AMS14C
420,12360,110,AMS14C
430,12300,210,AMS14C
440,12620,130,AMS14C
460,13060,110,AMS14C
470,14230,230,AMS14C
480,14740,130,AMS14C
490,15220,180,AMS14C
510,16620,390,AMS14C
530,18470,320,AMS14C
550,19090,240,AMS14C
570,20530,320,AMS14C
