year (AD),age (BP),MTWM (degC)
1300,650,22.115
1250,700,22.342
1200,750,21.853
1150,800,22.305
1100,850,22.164
1050,900,22.033
1000,950,22.134
950,1000,22.234
900,1050,22.33
850,1100,22.346
800,1150,22.362
750,1200,22.378
700,1250,22.393
650,1300,22.409
600,1350,22.425
550,1400,22.441
500,1450,22.456
450,1500,22.388
400,1550,22.32
350,1600,22.252
300,1650,22.185
250,1700,22.117
200,1750,22.049
150,1800,21.981
100,1850,22.094
50,1900,22.237
0,1950,22.383
-50,2000,22.55
-100,2050,22.568
-150,2100,22.563
-200,2150,22.557
-250,2200,22.529
-300,2250,22.493
-350,2300,22.711
-400,2350,22.605
-450,2400,22.74
-500,2450,22.806
-550,2500,22.48
-600,2550,22.625
-650,2600,22.469
-700,2650,22.524
-750,2700,22.477
-800,2750,22.503
-850,2800,22.504
-900,2850,22.381
-950,2900,22.7
-1000,2950,22.59
-1050,3000,22.609
-1100,3050,22.554
-1150,3100,22.666
-1200,3150,22.424
-1250,3200,22.506
-1300,3250,22.489
-1350,3300,22.555
-1400,3350,22.576
-1450,3400,22.697
-1500,3450,22.528
-1550,3500,22.804
-1600,3550,22.474
-1650,3600,22.612
-1700,3650,22.667
-1750,3700,22.75
-1800,3750,22.78
-1850,3800,22.584
-1900,3850,22.549
-1950,3900,22.459
-2000,3950,22.659
-2050,4000,22.566
-2100,4050,22.262
-2150,4100,22.546
-2200,4150,22.614
-2250,4200,22.71
-2300,4250,22.584
-2350,4300,22.515
-2400,4350,22.535
-2450,4400,22.627
-2500,4450,22.665
-2550,4500,22.662
-2600,4550,22.652
-2650,4600,22.563
-2700,4650,22.474
-2750,4700,22.454
-2800,4750,22.435
-2850,4800,22.417
-2900,4850,22.399
-2950,4900,22.381
-3000,4950,22.364
-3050,5000,22.348
-3100,5050,22.331
-3150,5100,22.315
-3200,5150,22.299
-3250,5200,22.287
-3300,5250,22.295
-3350,5300,22.304
-3400,5350,22.312
-3450,5400,22.32
-3500,5450,22.329
-3550,5500,22.368
-3600,5550,22.408
-3650,5600,22.448
-3700,5650,22.488
-3750,5700,22.528
-3800,5750,22.537
-3850,5800,22.546
-3900,5850,22.555
-3950,5900,22.564
-4000,5950,22.571
-4050,6000,22.571
-4100,6050,22.571
-4150,6100,22.571
-4200,6150,22.571
-4250,6200,22.612
-4300,6250,22.694
-4350,6300,22.739
-4400,6350,22.655
-4450,6400,22.572
-4500,6450,22.607
-4550,6500,22.644
-4600,6550,22.68
-4650,6600,22.716
-4700,6650,22.618
-4750,6700,22.451
-4800,6750,22.283
-4850,6800,22.115
-4900,6850,22.144
-4950,6900,22.382
-5000,6950,22.546
-5050,7000,22.666
-5100,7050,22.676
-5150,7100,22.708
-5200,7150,22.627
-5250,7200,22.801
-5300,7250,22.765
-5350,7300,22.574
-5400,7350,22.742
-5450,7400,22.7
-5500,7450,22.71
-5550,7500,22.732
-5600,7550,22.574
-5650,7600,22.64
-5700,7650,22.697
-5750,7700,22.729
-5800,7750,22.577
-5850,7800,22.718
-5900,7850,22.659
-5950,7900,22.711
-6000,7950,22.674
-6050,8000,22.7
-6100,8050,22.678
-6150,8100,22.703
-6200,8150,22.529
-6250,8200,22.549
-6300,8250,22.752
-6350,8300,22.682
-6400,8350,22.646
-6450,8400,22.626
-6500,8450,22.607
-6550,8500,22.588
-6600,8550,22.569
-6650,8600,22.55
-6700,8650,22.532
-6750,8700,22.513
-6800,8750,22.494
-6850,8800,22.475
-6900,8850,22.456
-6950,8900,22.437
-7000,8950,22.418
-7050,9000,22.399
-7100,9050,22.381
-7150,9100,22.362
-7200,9150,22.329
-7250,9200,22.291
-7300,9250,22.254
-7350,9300,22.217
-7400,9350,22.179
-7450,9400,22.142
-7500,9450,22.105
-7550,9500,22.067
-7600,9550,22.03
-7650,9600,21.993
-7700,9650,21.955
-7750,9700,21.918
-7800,9750,21.881
-7850,9800,21.843
-7900,9850,21.806
-7950,9900,21.769
-8000,9950,21.731
-8050,10000,21.694
-8100,10050,21.657
-8150,10100,21.619
-8200,10150,21.529
-8250,10200,20.958
-8300,10250,20.387
-8350,10300,19.816
-8400,10350,19.245
-8450,10400,18.674
-8500,10450,18.103
-8550,10500,17.532
-8600,10550,16.961
-8650,10600,16.39
-8700,10650,15.992
-8750,10700,16.014
-8800,10750,16.036
-8850,10800,16.058
-8900,10850,16.079
-8950,10900,16.123
-9000,10950,16.542
-9050,11000,16.96
