year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1950,0,190.53,8.62,0.332,60.664
1820,130,258.273,8.41,0.325,70.547
1570,380,448.026,8.721,0.336,110.218
1510,440,493.972,8.8,0.338,98.556
1440,510,539.543,8.87,0.341,73.061
1360,590,615.618,8.859,0.34,99.196
1250,700,722.26,8.881,0.341,151.133
1150,800,828.58,9.055,0.347,180.191
1040,910,934.748,9.18,0.351,197.323
930,1020,1040.805,9.262,0.354,205.648
830,1120,1146.766,9.485,0.361,206.301
720,1230,1252.63,9.629,0.366,199.415
620,1330,1358.384,9.761,0.371,184.214
510,1440,1463.985,9.094,0.348,158.424
400,1550,1569.264,9.682,0.368,115.431
310,1640,1660.986,9.584,0.365,110.586
240,1710,1739.178,9.539,0.363,152.77
160,1790,1817.092,9.75,0.371,184.932
80,1870,1894.898,9.791,0.372,211.571
0,1950,1972.64,9.935,0.377,234.545
-70,2020,2050.337,10.14,0.384,254.831
-150,2100,2128.001,10.39,0.392,273.021
-230,2180,2205.637,10.164,0.385,289.504
-300,2250,2283.252,10.421,0.393,304.554
-380,2330,2360.848,10.53,0.397,318.372
-460,2410,2438.428,10.445,0.394,331.109
-530,2480,2515.994,10.495,0.396,342.885
-610,2560,2593.547,10.605,0.4,353.794
-690,2640,2671.088,10.573,0.398,363.913
-760,2710,2748.619,11.06,0.415,373.306
-840,2790,2826.14,10.797,0.406,382.026
-920,2870,2903.652,10.721,0.403,390.117
-1000,2950,2981.155,10.722,0.404,397.616
-1070,3020,3058.651,10.678,0.402,404.557
-1150,3100,3136.138,10.963,0.412,410.967
-1230,3180,3213.619,10.534,0.397,416.87
-1300,3250,3291.093,10.842,0.408,422.287
-1380,3330,3368.56,10.971,0.412,427.237
-1460,3410,3446.02,11.264,0.422,431.735
-1530,3480,3523.474,10.8,0.406,435.795
-1610,3560,3600.923,10.899,0.41,439.429
-1690,3640,3678.365,11.043,0.414,442.646
-1760,3710,3755.801,10.975,0.412,445.457
-1840,3790,3833.232,11.391,0.426,447.868
-1920,3870,3910.658,11.299,0.423,449.886
-2000,3950,3988.078,11.51,0.43,451.515
-2070,4020,4065.492,11.569,0.432,452.76
-2150,4100,4142.901,11.504,0.43,453.623
-2230,4180,4220.305,11.492,0.43,454.108
-2300,4250,4297.704,10.637,0.401,454.214
-2380,4330,4375.097,10.786,0.406,453.942
-2460,4410,4452.484,11.388,0.426,453.29
-2530,4480,4529.867,12.156,0.452,452.258
-2610,4560,4607.244,11.706,0.437,450.843
-2690,4640,4684.615,11.883,0.443,449.04
-2760,4710,4761.982,11.661,0.435,446.844
-2920,4870,4916.697,11.537,0.431,441.252
-3000,4950,4994.046,11.935,0.445,437.839
-3070,5020,5071.389,12.078,0.45,434.003
-3150,5100,5148.726,12.007,0.447,429.731
-3230,5180,5226.056,12.282,0.457,425.01
-3300,5250,5303.38,11.903,0.444,419.826
-3380,5330,5380.697,11.233,0.421,414.159
-3460,5410,5458.007,12.33,0.458,407.991
-3530,5480,5535.31,12.381,0.46,401.298
-3610,5560,5612.605,12.961,0.48,394.052
-3690,5640,5689.892,13.248,0.489,386.222
-3760,5710,5767.169,13.171,0.487,377.772
-3840,5790,5844.438,13.399,0.495,368.658
-3920,5870,5921.696,12.768,0.473,358.831
-3990,5940,5998.943,12.641,0.469,348.228
-4070,6020,6076.178,13.81,0.509,336.775
-4150,6100,6153.4,13.733,0.506,324.383
-4230,6180,6230.606,13.535,0.499,310.939
-4300,6250,6307.795,11.747,0.438,296.296
-4380,6330,6384.964,13.492,0.498,280.267
-4460,6410,6462.109,12.716,0.471,262.596
-4530,6480,6539.224,13.537,0.499,242.919
-4610,6560,6616.301,13.605,0.502,220.696
-4690,6640,6693.324,13.69,0.504,195.046
-4760,6710,6770.267,13.584,0.501,164.336
-4840,6790,6847.051,14.086,0.518,124.732
-4920,6870,6923.381,14.211,0.522,82.552
-4990,6940,6999.167,14.758,0.541,121.789
-5060,7010,7074.492,14.47,0.531,158.812
-5130,7080,7149.653,14.185,0.521,186.702
-5200,7150,7224.727,14.691,0.539,209.223
-5270,7220,7299.742,14.504,0.532,227.99
-5340,7290,7374.713,14.633,0.537,243.878
-5410,7360,7449.648,13.02,0.482,257.424
-5480,7430,7524.555,15.023,0.55,268.981
-5550,7500,7599.436,15.16,0.554,278.798
-5620,7570,7674.293,14.976,0.548,287.053
-5690,7640,7749.13,14.747,0.54,293.878
-5760,7710,7823.948,14.379,0.528,299.37
-5830,7780,7898.747,14.661,0.537,303.6
-5900,7850,7973.529,14.808,0.542,306.621
-5970,7920,8048.294,14.72,0.539,308.466
-6040,7990,8123.042,14.497,0.532,309.156
-6110,8060,8197.774,14.207,0.522,308.698
-6180,8130,8272.488,14.801,0.542,307.086
-6250,8200,8347.186,15.165,0.555,304.3
-6320,8270,8421.867,14.694,0.539,300.306
-6390,8340,8496.529,14.546,0.534,295.053
-6460,8410,8571.171,14.566,0.534,288.47
-6530,8480,8645.793,14.52,0.533,280.461
-6600,8550,8720.392,14.47,0.531,270.897
-6670,8620,8794.965,14.396,0.528,259.601
-6740,8690,8869.509,14.294,0.525,246.329
-6810,8760,8944.018,14.095,0.518,230.73
-6880,8830,9018.482,14.254,0.524,212.277
-6950,8900,9092.889,14.658,0.537,190.111
-7020,8970,9167.207,14.001,0.515,162.652
-7090,9040,9241.362,13.034,0.482,126.23
-7160,9110,9314.237,14.128,0.519,86.239
-7230,9180,9381.985,14.509,0.532,121.526
-7300,9250,9448.645,13.989,0.515,156.031
