depth (m) [1-1],age (BP) [1-1],dD (permil) [1-1],age (BP) [1-2],temperature (degC) [1-2],ageMin (BP) [1-2],ageMax (BP) [1-2],dD (permil) [1-2],tempErrorUpper (degC) [1-2],tempErrorLower (degC) [1-2],age (BP) [1-3],temperature (degC) [1-3],ageMin (BP) [1-3],ageMax (BP) [1-3],dD (permil) [1-3],tempErrorUpper (degC) [1-3],tempErrorLower (degC) [1-3]
0,-58,-117,-50,0.242,-100,0,-146.4,0.202,0.304,-55,0.164,-60,-50,-146.9,0.136,0.206
0.08,-57.95,-141.4,50,-0.299,0,100,-149.9,-0.248,-0.375,-45,0.763,-50,-40,-143.1,0.634,0.958
0.15,-57.9,-174.9,150,-0.011,100,200,-148,-0.009,-0.014,-35,0.163,-40,-30,-146.9,0.136,0.205
0.26,-57.82,-149.8,250,-0.274,200,300,-149.7,-0.228,-0.344,-25,0.151,-30,-20,-147,0.125,0.189
0.35,-57.76,-146.2,350,-0.405,300,400,-150.6,-0.337,-0.509,-15,-0.492,-20,-10,-151.1,-0.409,-0.618
0.46,-57.69,-178.9,450,-0.685,400,500,-152.4,-0.569,-0.86,-5,-0.268,-10,0,-149.7,-0.223,-0.337
0.57,-57.61,-177.2,550,-0.987,500,600,-154.3,-0.82,-1.238,5,-0.676,0,10,-152.3,-0.562,-0.848
0.68,-57.53,-131.4,650,-0.351,600,700,-150.2,-0.292,-0.441,15,-0.191,10,20,-149.2,-0.159,-0.24
0.79,-57.46,-125.8,750,-0.869,700,800,-153.5,-0.722,-1.09,25,-1.105,20,30,-155.1,-0.918,-1.386
0.87,-57.4,-160.7,850,-0.457,800,900,-150.9,-0.38,-0.573,35,-0.413,30,40,-150.6,-0.343,-0.518
0.97,-57.33,-194.7,950,-0.508,900,1000,-151.2,-0.422,-0.637,45,-0.649,40,50,-152.1,-0.539,-0.814
1.05,-57.28,-161.1,1050,-0.53,1000,1100,-151.3,-0.44,-0.665,55,0.87,50,60,-142.4,0.723,1.091
1.14,-57.21,-160.3,1150,-0.421,1100,1200,-150.6,-0.35,-0.528,65,-0.483,60,70,-151.1,-0.401,-0.606
1.22,-57.16,-194.3,1250,-0.523,1200,1300,-151.3,-0.435,-0.657,75,-0.039,70,80,-148.2,-0.032,-0.048
1.32,-57.09,-164.6,1350,-0.532,1300,1400,-151.4,-0.442,-0.667,85,-0.081,80,90,-148.5,-0.067,-0.101
1.42,-57.02,-151.7,1450,0.108,1400,1500,-147.3,0.09,0.136,95,0.096,90,100,-147.4,0.08,0.121
1.49,-56.97,-145,1550,-0.093,1500,1600,-148.5,-0.078,-0.117,105,-0.656,100,110,-152.2,-0.546,-0.824
1.57,-56.91,-117.9,1650,-0.644,1600,1700,-152.1,-0.535,-0.808,115,0.506,110,120,-144.7,0.421,0.635
1.64,-56.86,-113.1,1750,-0.279,1700,1800,-149.7,-0.232,-0.35,125,-0.26,120,130,-149.6,-0.216,-0.327
1.74,-56.79,-137.6,1850,0.007,1800,1900,-147.9,0.005,0.008,135,0.473,130,140,-145,0.393,0.594
1.85,-56.71,-148.4,1950,-0.078,1900,2000,-148.4,-0.065,-0.098,145,-0.402,140,150,-150.6,-0.334,-0.505
1.93,-56.65,-123.7,2050,-0.151,2000,2100,-148.9,-0.126,-0.19,155,-0.125,150,160,-148.8,-0.104,-0.157
2.03,-56.58,-134.7,2150,0.038,2100,2200,-147.7,0.031,0.047,165,-0.11,160,170,-148.7,-0.092,-0.139
2.11,-56.52,-126.6,2250,0.26,2200,2300,-146.2,0.216,0.327,175,-0.149,170,180,-148.9,-0.123,-0.186
2.2,-56.46,-129.5,2350,-0.128,2300,2400,-148.7,-0.107,-0.161,185,0.725,180,190,-143.3,0.602,0.909
2.29,-56.39,-152.5,2450,0.27,2400,2500,-146.2,0.225,0.339,195,0.004,190,200,-148,0.003,0.005
2.38,-56.33,-159.9,2550,0.279,2500,2600,-146.1,0.232,0.35,205,0.488,200,210,-144.9,0.406,0.613
2.46,-56.27,-140.5,2650,0.121,2600,2700,-147.1,0.101,0.152,215,-0.106,210,220,-148.7,-0.088,-0.133
2.75,-56.05,-135,2750,0.328,2700,2800,-145.8,0.273,0.412,225,-0.352,220,230,-150.2,-0.293,-0.442
2.86,-55.97,-141.7,2850,0.147,2800,2900,-146.9,0.123,0.185,235,-0.52,230,240,-151.3,-0.433,-0.653
2.97,-55.89,-135.6,2950,0.089,2900,3000,-147.3,0.074,0.112,245,-0.502,240,250,-151.2,-0.417,-0.629
3.08,-55.81,-139.7,3050,0.244,3000,3100,-146.3,0.203,0.306,255,0.271,250,260,-146.2,0.225,0.34
3.19,-55.73,-154.5,3150,0.584,3100,3200,-144.1,0.486,0.733,265,-1.663,260,270,-158.6,-1.382,-2.087
3.25,-55.68,-153.7,3250,0.279,3200,3300,-146.1,0.232,0.35,275,-0.603,270,280,-151.8,-0.501,-0.756
3.3,-55.64,-139,3350,-0.059,3300,3400,-148.2,-0.049,-0.073,285,0.305,280,290,-146,0.253,0.383
3.35,-55.61,-134,3450,0.178,3400,3500,-146.7,0.148,0.224,295,-0.131,290,300,-148.8,-0.109,-0.164
3.4,-55.57,-129.2,3550,0.149,3500,3600,-146.9,0.124,0.187,305,-0.756,300,310,-152.8,-0.628,-0.949
3.41,-55.56,-133.8,3650,0.104,3600,3700,-147.2,0.086,0.13,315,-1.126,310,320,-155.2,-0.936,-1.413
3.45,-55.53,-134,3750,0.373,3700,3800,-145.4,0.31,0.468,325,-0.209,320,330,-149.3,-0.174,-0.262
3.5,-55.49,-140.3,3850,0.316,3800,3900,-145.8,0.262,0.396,335,0.634,330,340,-143.9,0.527,0.796
3.52,-55.48,-141.1,3950,0.45,3900,4000,-144.9,0.374,0.565,345,-0.671,340,350,-152.3,-0.558,-0.842
3.55,-55.46,-139.6,4050,0.253,4000,4100,-146.2,0.21,0.317,355,0.4,350,360,-145.4,0.332,0.502
3.6,-55.42,-143,4150,0.451,4100,4200,-144.9,0.375,0.566,365,0.211,360,370,-146.6,0.175,0.265
3.63,-55.4,-151.9,4250,0.335,4200,4300,-145.7,0.278,0.42,375,-1.715,370,380,-159,-1.426,-2.153
3.65,-55.38,-148.6,4350,0.271,4300,4400,-146.1,0.225,0.339,385,0.204,380,390,-146.7,0.17,0.256
3.7,-55.34,-153.9,4450,0.375,4400,4500,-145.4,0.312,0.471,395,-0.965,390,400,-154.2,-0.802,-1.211
3.74,-55.31,-153.7,4550,0.383,4500,4600,-145.3,0.318,0.48,405,-1.026,400,410,-154.5,-0.853,-1.288
3.75,-55.3,-153.5,4650,0.24,4600,4700,-146.2,0.199,0.301,415,-0.786,410,420,-153,-0.654,-0.987
3.8,-55.27,-151,4750,0.272,4700,4800,-146,0.226,0.342,425,-0.885,420,430,-153.6,-0.735,-1.11
3.85,-55.23,-152.6,4850,0.232,4800,4900,-146.3,0.193,0.291,435,-0.714,430,440,-152.5,-0.593,-0.896
3.9,-55.19,-152.4,4950,0.079,4900,5000,-147.2,0.066,0.099,445,-0.603,440,450,-151.8,-0.501,-0.757
3.96,-55.14,-152.5,5050,0.13,5000,5100,-146.9,0.108,0.163,455,-1.097,450,460,-155,-0.912,-1.376
4,-55.11,-151.4,5150,0.212,5100,5200,-146.4,0.177,0.267,465,-0.126,460,470,-148.8,-0.104,-0.158
4.05,-55.07,-150.2,5250,0.426,5200,5300,-145,0.354,0.534,475,-0.71,470,480,-152.5,-0.59,-0.891
4.07,-55.06,-159.2,5350,-0.061,5300,5400,-148.1,-0.051,-0.077,485,-0.073,480,490,-148.4,-0.06,-0.091
4.1,-55.04,-155.2,5450,-0.046,5400,5500,-148,-0.039,-0.058,495,-0.697,490,500,-152.4,-0.579,-0.875
4.15,-55,-154.8,5550,0.023,5500,5600,-147.5,0.019,0.028,505,-1.143,500,510,-155.3,-0.95,-1.434
4.18,-54.97,-155.6,5650,0.219,5600,5700,-146.3,0.182,0.274,515,-0.47,510,520,-151,-0.39,-0.59
4.2,-54.96,-152.4,5750,0.404,5700,5800,-145.1,0.336,0.507,525,-1.789,520,530,-159.4,-1.487,-2.245
4.25,-54.92,-156,5850,0.039,5800,5900,-147.4,0.033,0.049,535,-0.776,530,540,-152.9,-0.645,-0.974
4.29,-54.89,-162.1,5950,0.159,5900,6000,-146.6,0.132,0.2,545,-0.828,540,550,-153.3,-0.688,-1.039
4.3,-54.88,-161,6050,-0.158,6000,6100,-148.6,-0.132,-0.199,555,-0.687,550,560,-152.4,-0.571,-0.862
4.35,-54.84,-156.9,6150,0.195,6100,6200,-146.3,0.162,0.245,565,-1.105,560,570,-155,-0.918,-1.386
4.4,-54.8,-128.8,6250,0.053,6200,6300,-147.2,0.044,0.067,575,-1.46,570,580,-157.3,-1.214,-1.833
4.45,-54.77,-141.1,6350,0.135,6300,6400,-146.7,0.113,0.17,585,-0.937,580,590,-154,-0.779,-1.176
4.5,-54.73,-147.7,6450,0.156,6400,6500,-146.6,0.129,0.195,595,-0.575,590,600,-151.7,-0.478,-0.721
4.51,-54.72,-154.2,6550,0.127,6500,6600,-146.7,0.106,0.159,605,-0.139,600,610,-148.9,-0.116,-0.175
4.55,-54.69,-150,6650,0.228,6600,6700,-146.1,0.189,0.286,615,-0.338,610,620,-150.1,-0.281,-0.424
4.6,-54.65,-148.9,6750,-0.026,6700,6800,-147.7,-0.021,-0.032,625,-0.623,620,630,-152,-0.518,-0.782
4.62,-54.63,-150.1,6850,0.275,6800,6900,-145.7,0.229,0.345,635,0.002,630,640,-148,0.002,0.003
4.65,-54.61,-144,6950,0.043,6900,7000,-147.2,0.036,0.054,645,-0.966,640,650,-154.2,-0.803,-1.212
