depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
780,113,19.071,-10.386,5.069,940.143
788,245,18.686,-10.771,4.699,968.857
796,378,18.857,-9.914,5.183,950.429
804,512,19.086,-9.986,5.311,970.286
812,647,19.4,-9.443,5.596,941.429
820,783,19.571,-9.243,5.792,929.143
828,921,19.286,-9.571,5.464,942.143
836,1060,19.429,-9.4,5.625,931.571
844,1201,19.014,-10.043,5.175,950.143
852,1342,19.243,-9.929,5.321,988.429
860,1485,19.143,-9.686,5.319,1000.143
868,1629,19.371,-9.743,5.563,973.714
876,1774,19.486,-9.357,5.708,901.571
884,1921,19.443,-9.529,5.673,924.571
892,2069,19.171,-9.7,5.406,971.143
900,2218,19.557,-9.786,5.586,969.143
908,2369,19.571,-9.243,5.792,929.143
916,2520,19.257,-9.7,5.505,1020.143
924,2673,19.257,-9.557,5.499,989.286
932,2828,19.614,-9.757,5.663,939.571
940,2983,19.286,-9.871,5.474,946.571
956,3298,19.386,-9.943,5.399,886.429
964,3457,19.143,-9.771,5.437,944
972,3618,19.1,-9.457,5.537,965.714
980,3780,19.243,-9.6,5.576,929.286
988,3943,18.871,-10.257,5.07,933.429
996,4107,19.014,-9.814,5.344,956.429
1004,4273,19.5,-10,5.517,880.143
1012,4440,19.486,-9.057,5.924,915.429
1020,4608,19.114,-10.257,5.19,903.714
1028,4778,19.386,-9.671,5.601,902.714
1036,4948,19.1,-10.571,5.057,936.143
1059,5446,19.714,-10.686,5.281,839.571
1068,5644,19.557,-10.557,5.321,885.429
1076,5821,19.671,-10.929,5.224,863.571
1080,5910,19.743,-10.986,5.243,849.429
1084,5999,19.8,-11.429,5.093,844.143
1088,6089,19.571,-11.086,5.076,850
1092,6179,19.771,-10.829,5.325,847
1094,6224,19.814,-11.443,5.1,844.286
1096,6269,19.986,-10.286,5.674,851.571
1098,6314,19.614,-11,5.101,843.714
1100,6360,19.686,-11.471,4.942,815
1104,6451,19.957,-10.9,5.319,805.571
1108,6542,19.629,-10.971,5.118,843.429
1112,6633,20.129,-10.786,5.526,811.429
1116,6725,20.243,-11.086,5.463,802.143
1120,6817,20.114,-11.029,5.42,785.571
1122,6864,20.3,-10.486,5.756,788.857
1124,6910,19.829,-11.214,5.129,810.286
1126,6956,20.3,-10.257,5.845,815.286
1128,7003,20.3,-11.043,5.513,801.857
1130,7049,20.114,-11.329,5.299,805.714
1132,7096,19.971,-11.114,5.308,816.571
1136,7189,20.2,-11.157,5.413,803
1140,7283,20.214,-10.914,5.52,784.143
1144,7377,20.2,-10.929,5.504,784
1148,7472,20.314,-11.243,5.44,775
1152,7566,20.3,-11.257,5.424,774.857
1156,7661,20.1,-11.429,5.243,777.429
1160,7757,20.186,-10.929,5.499,784.143
1164,7852,20.271,-11.314,5.387,774.857
1168,7948,20.3,-11.243,5.43,774.714
1172,8044,20.257,-11.314,5.382,775
1176,8141,20.286,-11.257,5.419,774.714
1180,8238,20.286,-11.257,5.419,774.714
1182,8287,20.314,-10.429,5.785,787.714
1184,8335,19.671,-10.629,5.321,796.143
1188,8433,19.671,-10.629,5.321,796.143
1192,8531,19.443,-10.871,5.09,802
1196,8629,19.9,-10.357,5.56,793
1200,8727,19.957,-11.186,5.269,787
1204,8826,20.186,-10.914,5.501,783.429
1208,8925,19.529,-11.2,5,792.571
1216,9125,19.671,-12.243,4.774,817.286
1220,9225,19.771,-10.957,5.242,787
1228,9426,19.671,-10.629,5.321,796.143
1232,9527,19.643,-10.614,5.301,798.143
1236,9628,19.6,-12.086,4.764,779.429
1244,9832,19.414,-11.8,4.743,791.143
1260,10243,18.957,-11.571,4.508,799.571
1276,10659,18.871,-11.614,4.36,817
1292,11080,NA,NA,NA,NA
