depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated ()
4,50,30,760,70,320,400,20,1,4,1
102,1030,1010,2465,70,2025,2100,20,1,5,1
149,1500,1480,3350,70,2910,3185,20,1,6,1
249,2500,2480,5720,75,5280,6105,20,1,7,3
299,3000,2980,6885,65,6445,7350,20,1,1,2
334,3350,3330,7755,65,7315,8170,20,1,2,2
349,3500,3480,7880,60,7440,8280,20,1,8,2
374,3750,3730,8495,70,8055,9080,20,1,3,2
466.5,4680,4650,9325,75,8885,9950,30,1,9,2
