year (AD),age (BP),AnnualPrecipitation (mm/yr)
1950,0,1104.857
1900,50,1141.782
1850,100,1151.129
1800,150,1153.438
1750,200,1188.714
1700,250,1167.935
1650,300,1151.26
1600,350,1176.715
1550,400,1202.17
1500,450,1227.625
1450,500,1225.831
1400,550,1209.27
1350,600,1192.71
1300,650,1176.149
1250,700,1169.979
1200,750,1164.184
1150,800,1158.39
1100,850,1160.375
1050,900,1179.168
1000,950,1197.961
950,1000,1216.755
900,1050,1214.818
850,1100,1202.564
800,1150,1190.31
750,1200,1178.056
700,1250,1165.802
650,1300,1148.945
600,1350,1118.036
550,1400,1106.308
500,1450,1127.201
450,1500,1148.094
400,1550,1168.988
350,1600,1189.881
300,1650,1210.774
250,1700,1220.812
200,1750,1209.085
150,1800,1197.358
100,1850,1185.631
50,1900,1173.904
0,1950,1162.177
-50,2000,1150.45
-100,2050,1138.723
-150,2100,1149.741
-200,2150,1164.302
-250,2200,1178.862
-300,2250,1162.688
-350,2300,1134.312
-400,2350,1105.936
-450,2400,1077.56
-500,2450,1049.184
-550,2500,1058.419
-600,2550,1073.391
-650,2600,1088.362
-700,2650,1103.334
-750,2700,1116.973
-800,2750,1114.781
-850,2800,1112.59
-900,2850,1110.398
-950,2900,1108.207
-1000,2950,1106.015
-1050,3000,1103.824
-1100,3050,1101.632
-1150,3100,1099.441
-1200,3150,1097.249
-1250,3200,1095.058
-1300,3250,1092.866
-1350,3300,1099.416
-1400,3350,1106.616
-1450,3400,1113.816
-1500,3450,1121.017
-1550,3500,1128.217
-1600,3550,1102.309
-1650,3600,1072.361
-1700,3650,1042.413
-1750,3700,1027.71
-1800,3750,1029.803
-1850,3800,1031.897
-1900,3850,1033.99
-1950,3900,1036.083
-2000,3950,1038.176
-2050,4000,1041.515
-2100,4050,1044.923
-2150,4100,1048.331
-2200,4150,1051.739
-2250,4200,1055.147
-2300,4250,1058.554
-2350,4300,1061.962
-2400,4350,1065.818
-2450,4400,1070.846
-2500,4450,1075.874
-2550,4500,1080.902
-2600,4550,1085.93
-2650,4600,1090.959
-2700,4650,1095.987
-2750,4700,1087.363
-2800,4750,1078.703
-2850,4800,1070.043
-2900,4850,1067.299
-2950,4900,1066.732
-3000,4950,1066.165
-3050,5000,1065.597
-3100,5050,1065.03
-3150,5100,1064.462
-3200,5150,1063.895
-3250,5200,1063.328
-3300,5250,1084.937
-3350,5300,1117.254
-3400,5350,1149.57
-3450,5400,1181.887
-3500,5450,1182.628
-3550,5500,1155.632
-3600,5550,1128.635
-3650,5600,1101.76
-3700,5650,1117.873
-3750,5700,1133.986
-3800,5750,1150.099
-3850,5800,1166.212
-3900,5850,1182.325
-3950,5900,1198.438
-4000,5950,1204.879
-4050,6000,1171.081
-4100,6050,1137.283
-4150,6100,1103.484
-4200,6150,1084.878
-4250,6200,1072.199
-4300,6250,1066.719
-4350,6300,1079.233
-4400,6350,1091.747
-4450,6400,1084.608
-4500,6450,1067.35
-4550,6500,1050.092
-4600,6550,1053.574
-4650,6600,1101.973
-4700,6650,1145.139
-4750,6700,1174.517
-4800,6750,1149.517
-4850,6800,1124.517
-4900,6850,1099.517
-4950,6900,1074.518
-5000,6950,1049.518
-5050,7000,1040.21
-5100,7050,1033.97
-5150,7100,1032.479
-5200,7150,1033.953
-5250,7200,1037.315
-5300,7250,1048.571
-5350,7300,1059.828
-5400,7350,1071.085
-5450,7400,1076.773
-5500,7450,1074.276
-5550,7500,1064.226
-5600,7550,1054.177
-5650,7600,1050.673
-5700,7650,1078.113
-5750,7700,1063.143
-5800,7750,1063.143
-5850,7800,1063.143
-5900,7850,1099.556
-5950,7900,1093.923
-6000,7950,1088.291
-6050,8000,1082.658
-6100,8050,1077.026
-6150,8100,1071.393
-6200,8150,1065.761
-6250,8200,1069.598
-6300,8250,1081.658
-6350,8300,1093.719
-6400,8350,1091.621
-6450,8400,1088.445
-6500,8450,1085.27
-6550,8500,1082.095
-6600,8550,1078.92
-6650,8600,1075.744
-6700,8650,1072.569
-6750,8700,1069.394
-6800,8750,1066.218
-6850,8800,1063.043
-6900,8850,1059.868
-6950,8900,1056.693
-7000,8950,1053.517
-7050,9000,1050.342
-7100,9050,1047.167
-7150,9100,1037.419
-7200,9150,1027.307
-7250,9200,1017.196
-7300,9250,1007.084
-7350,9300,996.972
-7400,9350,986.86
-7450,9400,976.748
-7500,9450,966.636
-7550,9500,956.524
-7600,9550,951.644
-7650,9600,961.979
-7700,9650,972.313
-7750,9700,966.349
-7800,9750,943.5
-7850,9800,920.651
-7900,9850,923.226
-7950,9900,942.134
-8000,9950,940.974
-8050,10000,936.438
-8100,10050,930.636
-8150,10100,894.884
-8200,10150,877.782
-8250,10200,839.849
-8300,10250,824.116
-8350,10300,822.514
-8400,10350,820.913
-8450,10400,819.312
-8500,10450,817.723
-8550,10500,821.121
-8600,10550,824.52
-8650,10600,827.918
-8700,10650,827.236
-8750,10700,812.031
-8800,10750,796.826
-8850,10800,781.621
-8900,10850,776.566
-8950,10900,779.046
-9000,10950,781.525
-9050,11000,784.005
