depth (cm),age (yr bp),type (unitless),material (unitless)
57,2800,tuningtiepoint,NA
98,4000,tuningtiepoint,NA
115,6310,AMS14C,G. rubber
120,7200,tuningtiepoint,NA
136,8160,AMS14C,G. rubber
150,9000,tuningtiepoint,NA
175,10000,tuningtiepoint,NA
185,10830,AMS14C,G. bulloides
204,11400,tuningtiepoint,NA
225,12910,AMS14C,G. bulloides
249,13200,tuningtiepoint,NA
295,15480,AMS14C,G. bulloides
340,16990,AMS14C,G. bulloides
360,19000,tuningtiepoint,NA
450,24120,AMS14C,G. bulloides
