depth (cm),dateType (),measurementMaterial (),sensorSpecies (),age14C (kyr),age14CUncertainty (kyr),reservoirAge (kyr)
3.3,14C,Mollusca,Mizuhopecten yessoensis (Jay),1.08,0.08,NA
27.5,14C,Mollusca,Mizuhopecten yessoensis (Jay),4.03,0.1,NA
27.5,14C,Benthic foraminifera,Mixed species,4.17,0.09,0.63
111.5,14C,Mollusca,Leionucula tenuis (Montagu),4.93,0.09,NA
177.4,14C,Mollusca,Ringiculina doliaris (Gould),5.6,0.11,NA
177.4,14C,Benthic foraminifera,Mixed species,5.61,0.1,0.63
248.6,14C,Mollusca,Mizuhopecten yessoensis (Jay),6.16,0.12,NA
403.9,14C,Mollusca,Mercenaria stimpsoni (Gould),7.83,0.11,NA
633.9,14C,Mollusca,Raetellops pulchellus (Adams & Reeve),9.45,0.09,NA
674.5,14C,Mollusca,Macoma cf. tokyoensis(Makiyama),9.49,0.09,NA
