depth (m),CaCO3 (percent),depth (m),d18O (permil),depth (m),planktic.d13C (permil),planktic.d18O (permil),depth (m),age (BP),temperature (degC),TOC (percent),C37.concentration (g),C37.concentration (g),Uk37 (missing)
0.03,77.1,0.01,2.49,0.01,0.67,1.08,0.03,400,19.2,1.69,496,1105,0.69
0.08,78.6,0.06,2.5,0.04,0.72,0.82,0.08,1200,19.3,1.54,484,1097,0.694
0.13,78.9,0.11,2.24,0.07,0.65,0.76,0.13,1900,19.2,1.38,466,1042,0.691
0.18,79.9,0.16,2.48,0.1,0.88,0.88,0.18,2700,19,1.32,439,956,0.685
0.23,79.8,0.21,2.48,0.11,0.63,0.46,0.23,3400,19.3,1.27,422,958,0.694
0.28,80.6,0.26,2.46,0.13,0.58,0.91,0.28,4100,18.8,1.34,505,1066,0.678
0.33,80,0.31,2.3,0.16,0.78,1.1,0.33,5000,19.2,1.28,492,1101,0.691
0.38,80.7,0.36,2.39,0.19,0.59,0.71,0.38,5800,19.7,1.3,289,701,0.708
0.43,81.3,0.41,2.39,0.21,0.6,0.9,0.43,6700,19.4,1.21,284,653,0.697
0.48,80.3,0.46,2.44,0.22,0.77,0.86,0.48,7100,20,1.28,425,1086,0.719
0.53,80.4,0.51,2.48,0.25,0.7,0.81,0.53,7500,19.3,1.35,333,756,0.694
0.58,80.4,0.56,3.4,0.26,0.45,0.72,0.58,7900,19.3,1.32,334,765,0.696
0.63,79.7,0.61,2.64,0.31,0.55,0.85,0.63,8400,19.3,1.33,377,856,0.694
0.68,78,0.66,2.77,0.36,0.84,1.03,0.68,8800,19.4,1.45,393,911,0.698
0.73,77.4,0.71,3.05,0.41,0.28,0.76,0.73,9200,19.2,1.65,478,1078,0.693
0.77,75.9,0.76,2.8,0.46,0.46,0.7,0.77,9500,18.9,1.84,814,1738,0.681
0.83,76.8,0.81,3.26,0.51,0.5,0.81,0.83,10100,18.6,1.66,470,962,0.672
0.88,77.7,0.86,3.56,0.56,0.69,1.08,0.88,10500,18.4,1.67,400,786,0.663
0.93,76,0.91,3.39,0.61,0.49,0.87,0.93,10900,18.3,1.88,432,839,0.66
