depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
6.5,Carbon-14,110199,40,960,organic silt,NA
39.5,Carbon-14,110200,40,2590,organic silt,NA
65.5,Carbon-14,110201,50,3950,organic silt,NA
91.5,Carbon-14,110202,60,5030,sandy silt,NA
