depth (cm),age (BP),temperature (degC),precipitation (mm/yr),age14C (BP),age (BP),temperature (degC)
1,17,0,139.333,17,17,0
12,268,4.233,89.333,211,268,1.6
20,415,6.533,-28,354,415,4.367
32,578,8.833,42.667,574,578,4.5
40,674,5.7,163.333,723,674,2.867
50,827,6.133,137.667,913,827,2.8
60,1021,4.533,-72.333,1107,1021,3.167
70,1235,3.567,-143,1305,1235,1.533
80,1399,4.4,-121.667,1506,1399,2.733
90,1620,5.567,97.333,1711,1620,3.417
100,1868,4.1,146.333,1920,1868,1.4
110,2114,2.533,-157.333,2133,2114,-0.267
120,2366,7.967,290.333,2349,2366,3.3
130,2709,4.6,59.667,2569,2709,1.733
140,2894,5.033,96.333,2793,2894,2.433
152,3288,7.8,168,3067,3288,4.05
160,3476,3.233,-137,3252,3476,0.85
170,3762,4.633,81.667,3488,3762,1.633
180,4074,4.267,65.667,3726,4074,1.05
190,4431,5.7,35.333,3969,4431,4.217
200,4794,3.533,159.333,4216,4794,1.483
208,4985,6.4,26.333,4415,4985,3.85
216,5346,7.767,-8.667,4618,5346,4.517
224,5567,3.233,-48.333,4822,5567,2.1
228,5661,4.633,-74.667,4925,5661,3.467
232,5768,8.2,-32.333,5029,5768,4.633
236,5887,6.4,-37.667,5134,5887,3.65
240,6001,5.267,-22.667,5239,6001,3.683
242,6066,9.167,24.667,5291,6066,4.333
244,6141,5.9,-19,5344,6141,4.217
252,6350,6,-22.333,5557,6350,3.15
254,6396,5.867,-53.333,5611,6396,4.2
256,6447,7.8,4,5665,6447,4.833
258,6506,8.6,141,5719,6506,4.467
260,6573,5.667,15,5773,6573,4.333
262,6639,6.8,-48,5827,6639,3.683
264,6702,2.967,-4.667,5881,6702,1.967
266,6763,8.267,40.333,5936,6763,5.483
268,6825,5.633,2.333,5990,6825,4.417
272,6967,4.3,-54.333,6100,6967,3.15
274,7051,5.1,101.333,6155,7051,2.617
282,7310,5.333,-87.333,6377,7310,3.583
284,7360,4.5,-56.333,6433,7360,3.117
285,7384,4.567,-63,6461,7384,3.183
286,7407,4.867,55,6489,7407,2.517
288,7453,5.633,-38.333,6545,7453,3.933
292,7538,5.533,105.333,6658,7538,3.15
294,7580,4.933,-17.667,6715,7580,3.533
295,7601,4.867,-14,6743,7601,3.533
305,7862,5,308.333,7029,7862,2.033
315,8131,4.467,144,7319,8131,2.6
325,8416,5.767,213.667,7612,8416,2.45
335,8703,5.333,164.333,7909,8703,2.1
344,9122,6.433,327,8179,9122,2.95
352,9443,4.467,144,8422,9443,2.6
356,9527,6.7,231.333,8545,9527,2.917
358,9569,4.533,96,8606,9569,1.417
360,9620,6.867,169.667,8668,9620,3.317
362,9688,4.467,144,8730,9688,2.6
364,9787,5.767,213.667,8791,9787,2.45
366,9940,4.467,144,8853,9940,2.6
368,10095,4.467,144,8916,NA,NA
370,10164,8.233,131.333,8978,NA,NA
372,10216,10.8,324.333,9040,NA,NA
374,10265,16.4,583,9103,NA,NA
376,10320,25.1,1041.333,9166,NA,NA
378,10390,17.833,822,9229,NA,NA
382,10580,17.833,822,9355,NA,NA
384,10648,17.833,822,9418,NA,NA
386,10713,17.833,822,9482,NA,NA
388,10795,17.6,934.333,9546,NA,NA
