depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),Uk37 (missing),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),d13C (permil),d18O (permil),d13C (permil),d18O (permil),depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),depth (m),age (BP),BSi (percent)
0,1100,6.8,6.9,9.3,0.272,0,1100,1.27,0.025,1200,NA,NA,-1.32,3.63,0.005,1120,3.1,2.6,0.76,0.015,1160,44.8
0.01,1140,6.8,6.9,9.3,0.271,0.01,1150,2.5,0.075,1410,NA,NA,-1.26,3.71,0.025,1200,NA,2.25,NA,0.055,1330,41.2
0.05,1310,6.5,6.6,9,0.261,0.05,1310,2.83,0.175,1830,NA,NA,-1.42,3.7,0.055,1330,2.8,2.81,0.72,0.155,1750,42.4
0.1,1520,5.6,5.7,8.2,0.231,0.1,1520,1.48,0.225,2040,NA,NA,-1.13,3.48,0.075,1410,NA,2.52,NA,0.255,2170,43
0.15,1730,6.3,6.4,8.8,0.254,0.15,1730,1.5,0.275,2260,NA,NA,-1.31,3.61,0.105,1540,4.2,NA,0.89,0.355,2590,42.8
0.2,1940,5.9,5.9,8.5,0.24,0.2,1950,1.18,0.325,2470,NA,NA,-1.29,3.64,0.155,1750,3.3,2.7,0.78,0.455,3010,37.2
0.25,2150,6.5,6.6,9,0.26,0.25,2160,3.5,0.375,2680,NA,NA,-1.49,3.57,0.175,1830,NA,1.95,NA,0.555,3430,41.4
0.3,2360,6.2,6.3,8.7,0.25,0.3,2370,2.13,0.425,2890,NA,NA,-1.43,3.72,0.205,1960,3.8,2.71,0.84,0.655,3850,45.6
0.35,2570,6.2,6.2,8.7,0.249,0.35,2580,3.5,0.475,3100,NA,NA,-1.31,3.7,0.225,2040,NA,2.57,NA,0.755,4280,36
0.4,2780,6,6,8.5,0.242,0.36,2620,4.02,0.625,3730,NA,NA,-1.41,3.55,0.255,2170,3.4,2.74,0.79,0.855,4700,34
0.45,2990,6.9,6.9,9.3,0.272,0.44,2950,4.41,0.705,4070,-0.72,3.58,NA,NA,0.275,2260,NA,2.49,NA,0.955,5120,27.3
