age (grayscale),year (AD),age (BP),depth (missing),age (BP),grayscale_detrended (grayscale),grayscale20lp_detrended (grayscale),depth (missing),age (BP),d18O_raw (permil),d13C (permil),depth (missing),age (BP),d18O (permil),d13C (permil)
189.68,1850.027,99.973,17.522,101,27.289,24.913,0.77,-48,-5.48,-0.4,0.77,-48,-0.62,-1.42
189.497,1849.831,100.169,17.606,102,22.069,24.725,1.52,-42.796,-5.42,-0.19,1.491,-43,-0.58,-1.23
190.543,1849.635,100.365,17.69,103,23.646,23.982,1.99,-39.544,-5.22,-0.03,2.211,-38,-0.41,-1.11
190.71,1849.438,100.562,17.775,104,26.806,22.669,2.41,-36.617,-5.23,-0.1,2.933,-33,-0.72,-1.42
193.947,1849.242,100.758,17.859,105,27.998,20.796,2.88,-33.364,-5.47,-0.31,3.655,-28,-1.06,-1.86
195.523,1849.046,100.954,17.944,106,26.67,18.406,3.49,-29.136,-6.09,-1,4.377,-23,-0.62,-1.19
194.517,1848.85,101.15,18.031,107,25.203,15.574,4.01,-25.558,-5.3,-0.35,5.1,-18,0.06,-0.55
194.347,1848.654,101.346,18.119,108,22.271,12.408,4.57,-21.655,-5.42,0.03,5.823,-13,-0.94,-1.35
192.673,1848.457,101.543,18.207,109,10.565,9.036,5.04,-18.403,-4.78,0.58,7.387,-8,-1.77,-2.03
190.843,1848.261,101.739,18.295,110,-5.308,5.555,5.33,-16.451,-4.33,0.48,8.578,-3,-0.73,0.04
189.17,1848.065,101.935,18.37,111,-13.139,2.358,5.56,-14.825,-5.48,0.02,9.041,2,-1.28,-0.14
187.623,1847.868,102.132,18.438,112,-19.05,-0.206,5.86,-12.746,-5.69,-0.26,9.47,7,-0.74,0.21
188.71,1847.671,102.329,18.505,113,-7.109,-2.554,5.99,-11.848,-6.06,-0.77,9.9,12,1.05,0.72
190.68,1847.475,102.525,18.573,114,-5.414,-4.73,6.21,-11.206,-5.91,-1.1,10.325,17,1.13,0.76
190.927,1847.279,102.721,18.64,115,-9.043,-6.732,6.5,-10.436,-6.73,-1.37,10.753,22,1.41,0.72
190.077,1847.083,102.917,18.708,116,-12.221,-8.542,6.78,-9.666,-6.06,-0.78,11.183,27,0.89,0.48
191.117,1846.887,103.113,18.775,117,-13.436,-10.11,7.11,-8.768,-6.7,-1.29,11.614,32,0.56,0.34
190.83,1846.69,103.31,18.843,118,-8.378,-11.537,7.5,-7.688,-6.38,-0.72,12.041,37,0.28,0.2
191.203,1846.494,103.506,18.91,119,-5.089,-12.839,7.96,-6.415,-5.64,0.59,12.468,42,0.35,0.21
194.04,1846.298,103.702,18.978,120,-19.444,-14.021,8.39,-4.771,-5.45,1.08,12.894,47,0.15,0.2
196.047,1846.102,103.898,19.045,121,-14.267,-15.109,8.74,-1.479,-5.39,1.31,13.322,52,0,0.16
196.877,1845.906,104.094,19.113,122,-13.017,-16.157,9.12,2.91,-6.1,0.97,13.753,57,0.14,0.01
194.16,1845.709,104.29,19.18,123,-14.505,-17.177,9.4,6.202,-4.9,1.68,14.18,62,0.2,0.07
191.923,1845.513,104.487,19.248,124,-6.979,-18.184,9.64,8.946,-6.6,0.74,14.609,67,0.09,0.02
189.9,1845.317,104.683,19.315,125,-7.43,-19.19,9.92,12.238,-3.35,2.03,15.036,72,0.06,-0.04
190.12,1845.121,104.879,19.383,126,-13.527,-20.195,10.34,17.176,-3.5,1.98,15.463,77,-0.07,-0.01
191.8,1844.925,105.075,19.45,127,-23.603,-21.194,10.81,22.663,-3.16,1.95,15.89,82,-0.28,-0.04
192.737,1844.728,105.271,19.518,128,-32.226,-22.172,11.14,26.504,-3.68,1.74,16.321,87,-0.18,-0.09
196.177,1844.532,105.468,19.585,129,-24.072,-23.102,11.52,30.893,-3.95,1.62,16.75,92,-0.25,-0.13
197.927,1844.336,105.664,19.653,130,-23.967,-23.977,11.94,35.831,-4.27,1.48,17.179,97,-0.36,-0.18
198.443,1844.14,105.86,19.72,131,-36.402,-24.787,12.32,40.221,-4.36,1.39,17.606,102,-0.42,-0.27
196.4,1843.943,106.057,19.788,132,-27.024,-25.48,12.64,44.062,-4.04,1.57,18.031,107,-0.58,-0.41
192.187,1843.746,106.254,19.855,133,-30.652,-26.056,13.02,48.451,-4.59,1.41,18.438,112,-0.52,-0.21
191.573,1843.55,106.45,19.923,134,-31.682,-26.522,13.44,53.389,-4.54,1.44,18.775,117,-0.31,0.2
194.717,1843.354,106.646,19.992,135,-22.397,-26.872,13.82,57.779,-4.37,1.25,19.113,122,-0.3,0.16
197.507,1843.158,106.842,20.07,136,-14.73,-27.037,14.1,61.071,-4.3,1.36,19.45,127,-0.2,0.12
200.55,1842.962,107.038,20.149,137,-22.671,-27.054,14.43,64.912,-4.46,1.33,19.788,132,-0.06,0.14
197.21,1842.765,107.235,20.227,138,-32.673,-26.928,14.9,70.398,-4.42,1.26,20.149,137,-0.08,0.19
191.517,1842.569,107.431,20.305,139,-34.08,-26.653,15.32,75.337,-4.56,1.23,20.573,142,-0.16,0.14
188.19,1842.373,107.627,20.384,140,-14.894,-25.825,15.65,79.177,-4.63,1.36,21.081,147,-0.27,0.02
186.453,1842.177,107.823,20.471,141,-16.364,-24.533,15.93,82.469,-4.83,1.24,21.588,152,-0.23,-0.18
185.69,1841.981,108.019,20.573,142,-27.287,-22.771,16.55,89.661,-4.61,1.2,22.096,157,0.22,-0.14
185.23,1841.744,108.256,20.674,143,-33.476,-20.516,16.93,94.106,-4.9,1.16,22.604,162,0.75,0.13
185.023,1841.508,108.492,20.776,144,-28.332,-17.773,17.44,100.031,-4.84,1.12,23.111,167,0.8,0.13
185.17,1841.271,108.729,20.878,145,-10.868,-14.626,17.94,105.958,-5.06,0.94,23.609,172,0.75,0.07
179.747,1841.034,108.966,20.979,146,-9.36,-11.197,18.33,110.402,-5.09,0.96,24.05,177,0.66,0.01
172.477,1840.798,109.202,21.081,147,-4.017,-7.612,18.68,115.587,-4.77,1.59,24.44,182,0.54,-0.08
166.957,1840.561,109.439,21.182,148,-10.757,-3.993,19.03,120.772,-4.75,1.56,24.998,187,0.5,-0.15
162.227,1840.325,109.675,21.284,149,7.742,-0.586,19.33,125.216,-4.72,1.55,26.162,192,-0.02,-0.32
159.153,1840.097,109.903,21.385,150,4.16,2.512,19.63,129.66,-4.48,1.5,26.995,197,0.26,-0.09
158.717,1839.868,110.132,21.487,151,2.992,5.2,19.98,134.845,-4.46,1.62,27.744,202,-0.32,-0.23
157.14,1839.64,110.36,21.588,152,2.364,7.392,20.43,140.593,-4.52,1.6,28.43,207,-0.38,-0.4
154.92,1839.41,110.59,21.69,153,18.184,9.029,20.93,145.517,-4.62,1.51,29.113,212,-0.44,-0.47
151.49,1839.129,110.871,21.791,154,20.068,10.123,21.43,150.442,-4.71,1.33,29.797,217,-0.08,0.1
150.06,1838.83,111.17,21.893,155,7.66,10.723,21.88,154.873,-4.4,1.15,30.471,222,0.32,0.36
148.147,1838.529,111.471,21.994,156,20.219,10.902,22.38,159.797,-3.79,1.51,31.091,227,0.58,0.36
