year (AD),age (BP),temperature (degC),dD (permil)
1847,103,4.87,-111.585
1634,316,5.06,-124.51
1421,529,5.28,-116.1
1208,742,6.756,-118.296
1016,934,7.229,NA
804,1146,5.007,-115.64
591,1359,2.434,-124.943
378,1572,4.156,NA
165,1785,5.057,NA
-48,1998,5.391,-116.975
-261,2211,3.965,-125.056
-474,2424,3.003,-113.514
-687,2637,3.269,-116.145
-857,2807,3.199,NA
-1198,3148,3.133,-122.45
-1411,3361,3.238,-148.664
-1624,3574,7.786,-120.037
-2277,4227,5.819,-116.615
-2834,4784,7.187,-112.518
-3390,5340,5.539,-98.72
-3947,5897,4.41,-99.41
-4503,6453,4.793,-83.516
-5115,7065,5.004,-98.416
-5783,7733,4.141,-93.943
-6339,8289,4.809,NA
-6877,8827,6.398,-128.998
-6991,8941,8.23,-128.838
-7106,9056,3.6,-117.419
-7227,9177,6.096,-138.125
-7341,9291,4.723,-119.004
-7637,9587,5.867,NA
-8169,10119,5.075,-119.961
-8501,10451,2.754,-125.536
-8667,10617,4.097,-137.462
-8833,10783,5.001,-131.332
-9166,11116,4.428,-146.593
