year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1790,160,122.484,11.65,0.435,113.175
1660,290,230.35,11.45,0.428,110.902
1400,550,446.554,11.3,0.423,127.278
1270,680,553.791,11.4,0.427,163.221
1130,820,662.103,11.6,0.433,181.825
1000,950,771.146,11.3,0.423,188.294
740,1210,991.236,11.5,0.43,167.849
610,1340,1102.597,11.5,0.43,136.029
480,1470,1216.314,11.7,0.437,69.571
340,1610,1334.024,11.6,0.433,129.271
80,1870,1577.298,11.45,0.428,228.256
-50,2000,1699.923,11.25,0.421,261.827
-180,2130,1822.867,10.9,0.41,290.136
-310,2260,1946.042,11.5,0.43,314.609
-580,2530,2192.896,11.8,0.44,355.115
-710,2660,2316.52,11.9,0.444,372.07
-840,2790,2440.251,12.1,0.45,387.226
-970,2920,2564.078,11.6,0.433,400.788
-1230,3180,2811.983,12.2,0.454,423.729
-1370,3320,2936.047,11.3,0.423,433.331
-1500,3450,3060.18,10.5,0.396,441.8
-1630,3580,3184.376,10.8,0.406,449.201
-1890,3840,3432.951,11,0.413,461.001
-2020,3970,3557.325,10.7,0.403,465.478
-2160,4110,3681.755,11,0.413,469.044
-2290,4240,3806.238,10.6,0.399,471.722
-2550,4500,4055.366,11.2,0.42,474.47
-2680,4630,4180.009,10.4,0.393,474.558
-2810,4760,4304.706,10.6,0.399,473.79
-2940,4890,4429.456,10.4,0.393,472.165
-3230,5180,4704.1,10.5,0.396,465.525
-3340,5290,4804.039,10.5,0.396,462.04
-3470,5420,4929.016,10.6,0.399,456.854
-3570,5520,5054.055,10.7,0.403,450.717
-3780,5730,5304.332,10.8,0.406,435.433
-3880,5830,5429.578,10.7,0.403,426.181
-3990,5940,5554.905,10.8,0.406,415.767
-4100,6050,5680.319,10.8,0.406,404.105
-4310,6260,5931.453,10.4,0.393,376.576
-4420,6370,6057.203,10.2,0.386,360.402
-4540,6490,6208.307,9.8,0.372,338.475
-4630,6580,6309.195,10.1,0.382,322.086
-4840,6790,6562.207,10.4,0.393,273.143
-4970,6920,6714.988,10.2,0.386,236.272
-5050,7000,6817.88,10.7,0.403,207.172
-5160,7110,6946.136,10.6,0.399,199.512
-5370,7320,7201.159,10.4,0.393,265.062
-5480,7430,7330.149,10.4,0.393,289.287
-5590,7540,7459.551,10.9,0.41,309.505
-5780,7730,7719.175,10.9,0.41,340.506
-5890,7840,7849.294,10.6,0.399,352.088
-5990,7940,7979.581,11.5,0.43,361.4
-6100,8050,8110.016,10.8,0.406,368.608
-6250,8200,8240.588,10.2,0.386,373.83
-6440,8390,8502.114,11.3,0.423,378.604
-6540,8490,8633.059,11.3,0.423,378.224
-6650,8600,8764.123,11.8,0.44,376
-6760,8710,8895.308,11.3,0.423,371.898
-6970,8920,9158.058,11.7,0.437,357.779
-7080,9030,9289.636,11.7,0.437,347.523
-7180,9130,9421.367,11.7,0.437,334.894
-7310,9260,9579.672,11.5,0.43,316.21
-7420,9370,9711.817,11.9,0.444,297.216
-7610,9560,9950.366,11.8,0.44,252.843
-7710,9660,10083.466,11.1,0.416,220.219
-7820,9770,10217.327,12.7,0.471,178.303
-8020,9970,10402.424,12.8,0.474,112.325
-8100,10050,10433.234,13.2,0.488,124.175
-8220,10170,10485.438,11.6,0.433,139.731
-8270,10220,10506.478,12,0.447,144.624
-8400,10350,10559.355,11.9,0.444,153.923
-8450,10400,10580.605,11.9,0.444,156.542
-8570,10520,10633.97,11.6,0.433,160.442
-8630,10580,10660.792,11.7,0.437,160.958
-8710,10660,10693.13,11.3,0.423,160.235
-8770,10720,10720.248,11.5,0.43,158.389
-8820,10770,10742.115,11,0.413,155.94
-8880,10830,10769.935,10.8,0.406,151.089
-9040,10990,11297.85,10.3,0.389,265.015
-9120,11070,11628.349,11.2,0.42,277.334
-9200,11150,11961.653,13.1,0.484,259.044
-9360,11310,12389.854,12.5,0.464,186.766
-9460,11410,12419.303,11.7,0.437,185.363
-9540,11490,12444.394,11.1,0.416,183.808
-9620,11570,12469.763,9.55,0.364,181.861
-9780,11730,12521.1,8.4,0.325,176.703
-9850,11800,12541.826,8,0.311,174.138
-10010,11960,12594.109,8,0.311,166.358
-10180,12130,12652.61,7.7,0.301,155.307
-10260,12210,12679.831,7.6,0.297,149.343
-10330,12280,12702.542,7.5,0.294,144.237
-10410,12360,12736.363,7.6,0.297,146.471
-10570,12520,12809.694,7.55,0.296,150.714
-10650,12600,12847.049,7.3,0.287,150.278
-10730,12680,12884.736,7.4,0.291,148.059
-10890,12840,12961.296,8.1,0.314,137.629
-10970,12920,13000.979,8.5,0.328,128.622
-11060,13010,13064.516,9.4,0.359,153.374
-11140,13090,13136.752,10.8,0.406,179.658
-11220,13170,13209.805,10,0.379,200.65
-11380,13330,13357.08,10.3,0.389,232.226
-11460,13410,13431.101,10.3,0.389,244.161
-11540,13490,13505.32,10.4,0.393,254.033
-11620,13570,13579.715,12.9,0.478,262.074
-11780,13730,13728.995,10.4,0.393,273.265
-11860,13810,13803.879,10.7,0.403,276.607
-11940,13890,13878.933,9,0.345,278.523
-12020,13970,13954.175,10.3,0.389,279.036
-12180,14130,14105.36,9.7,0.369,275.833
-12260,14210,14181.454,9,0.345,272.04
-12350,14300,14258.152,9.3,0.355,266.663
-12430,14380,14336.577,11.1,0.416,259.423
-12670,14620,14693.636,12.1,0.45,316.3
-12750,14700,14817.701,10.8,0.406,330.225
-12830,14780,14942.14,8.5,0.328,341.461
-12990,14940,15191.819,11.3,0.423,356.908
