depth (m),age (BP),temperature (degC),planktic.d18O (permil),Uk37 (missing),IRD (missing),depth (m),CaCO3 (percent),TOC (percent)
0,0,NA,0.03,NA,NA,0.03,32.6,0.39
0.03,874,NA,0.22,NA,NA,0.08,32.19,0.45
0.05,1458,19.985,NA,0.703,NA,0.13,35.63,0.32
0.08,2332,NA,0.61,NA,NA,0.18,32.87,0.46
0.1,2722,20.186,NA,0.709,NA,0.23,32.99,0.52
0.13,3307,NA,0.52,NA,NA,0.28,31.4,0.47
0.15,3697,19.649,NA,0.691,NA,0.33,31.33,0.49
0.18,4282,NA,0.47,NA,NA,0.43,31.83,0.56
0.2,4474,20.136,NA,0.707,NA,0.48,33.62,0.55
0.23,4761,NA,0.49,NA,NA,0.53,32.52,0.56
0.25,4953,19.88,NA,0.699,NA,0.58,34.55,0.56
0.28,5240,NA,0.41,NA,NA,0.63,33.88,0.65
0.3,5452,20.597,NA,0.723,NA,0.68,34.48,0.61
0.33,5770,NA,0.25,NA,NA,0.73,33.22,0.65
0.35,5983,20.476,NA,0.719,NA,0.83,32.48,0.62
0.38,6301,NA,0.31,NA,NA,0.88,30.81,0.69
0.4,6372,20.766,NA,0.728,NA,0.93,29.98,0.75
0.43,6479,NA,0.21,NA,NA,0.98,31.78,0.72
0.45,6551,20.618,NA,0.723,NA,1.03,30.21,0.62
0.48,6658,NA,-0.03,NA,NA,1.07,29.93,0.75
0.5,6729,20.316,NA,0.713,NA,1.12,29.09,0.72
0.53,6836,NA,0.14,NA,NA,1.17,30.02,0.69
0.55,6908,20.58,NA,0.722,NA,1.22,29.09,0.74
0.58,7015,NA,0.12,NA,NA,1.27,30.86,0.72
0.6,7086,20.551,NA,0.721,NA,1.32,29.77,0.62
0.65,7265,20.722,NA,0.727,NA,1.37,30.78,0.69
0.68,7372,NA,-0.01,NA,NA,1.47,29.91,0.71
0.7,7443,20.464,NA,0.718,NA,1.52,29.09,0.72
0.75,7622,20.682,NA,0.726,NA,1.57,29.35,0.72
0.8,7800,20.172,NA,0.709,NA,1.62,29.29,0.71
0.85,7979,20.134,NA,0.707,NA,1.67,29.97,0.74
0.88,8086,NA,0.35,NA,NA,1.72,29.31,0.76
0.93,8208,NA,0.06,NA,NA,1.77,27.74,0.73
0.95,8223,20.138,NA,0.708,NA,1.82,27.65,0.79
0.98,8245,NA,0.14,NA,NA,1.87,28.09,0.71
1,8260,20.53,NA,0.72,NA,1.92,27.3,0.73
1.03,8283,NA,-0.04,NA,NA,1.97,27.92,0.71
1.05,8298,20.91,NA,0.733,NA,2.03,29.12,0.77
1.07,8313,NA,-0.06,NA,NA,2.08,28.44,0.69
1.1,8335,20.974,NA,0.735,NA,2.18,27.37,0.69
1.12,8350,NA,-0.14,NA,NA,2.23,26.94,0.69
1.15,8373,20.51,NA,0.72,NA,2.28,28.01,0.65
1.17,8388,NA,0,NA,NA,2.33,28.64,0.72
1.2,8410,20.602,NA,0.723,NA,2.38,29.05,0.59
1.22,8425,NA,0.15,NA,NA,2.43,27.66,0.72
1.25,8448,20.92,NA,0.733,NA,2.48,28.01,0.76
1.27,8463,NA,0.03,NA,NA,2.53,25.98,0.78
1.3,8485,20.58,NA,0.722,NA,2.58,26.21,0.76
1.32,8500,NA,0.09,NA,NA,2.63,27.13,0.75
1.35,8523,20.996,NA,0.736,NA,2.65,29.49,0.77
1.37,8538,NA,0.2,NA,NA,2.68,29.19,0.69
1.4,8560,20.673,NA,0.725,NA,2.73,28.14,0.73
1.42,8575,NA,0.37,NA,NA,2.78,28.03,0.74
1.45,8598,21.048,NA,0.738,NA,2.83,28.65,0.73
1.47,8613,NA,0.22,NA,NA,2.88,28.78,0.69
1.5,8635,20.93,NA,0.734,NA,2.93,29.27,0.63
1.52,8650,NA,0.4,NA,NA,3.03,30.29,0.62
1.55,8673,20.723,NA,0.727,NA,3.07,28.39,0.62
1.57,8688,NA,0.37,NA,NA,3.12,28.42,0.69
1.6,8710,20.206,NA,0.71,NA,3.17,27.68,0.66
1.62,8725,NA,0.27,NA,NA,3.22,27.64,0.63
1.65,8748,20.384,NA,0.716,NA,3.27,28.06,0.61
1.67,8763,NA,0.26,NA,NA,3.32,29.42,0.48
1.7,8785,20.931,NA,0.734,NA,3.37,29.38,0.46
1.72,8800,NA,0.44,NA,NA,3.42,29.94,0.39
1.75,8823,20.916,NA,0.733,NA,3.47,29.7,0.41
1.77,8838,NA,0.12,NA,NA,3.52,28.94,0.44
1.8,8860,20.856,NA,0.731,NA,3.62,27.9,0.41
1.82,8875,NA,0.26,NA,NA,3.67,28.1,0.39
1.85,8898,20.839,NA,0.731,NA,3.72,27.85,0.32
1.87,8913,NA,0.2,NA,NA,3.77,27.63,0.32
1.9,8935,20.802,NA,0.729,NA,3.82,29.63,0.24
1.92,8941,NA,0.02,NA,NA,3.87,27.61,0.32
1.95,8950,21.126,NA,0.74,NA,3.92,29.53,0.28
1.97,8957,NA,0.08,NA,NA,3.97,29.76,0.18
2,8966,20.649,NA,0.724,NA,4.03,28.32,0.32
2.03,8975,NA,0.04,NA,NA,4.08,29.67,0.32
2.05,8981,20.65,NA,0.724,NA,4.13,27.9,0.37
2.08,8991,NA,0.04,NA,NA,4.18,29.1,0.32
2.1,8997,21.24,NA,0.744,NA,4.23,28.83,0.34
2.13,9006,NA,-0.03,NA,NA,4.28,29.49,0.3
2.15,9012,20.796,NA,0.729,NA,4.38,28.05,0.32
2.18,9022,NA,0.3,NA,NA,4.43,27.45,0.33
2.23,9037,NA,0.11,NA,NA,4.48,26.25,0.34
2.25,9043,20.792,NA,0.729,NA,4.53,26.98,0.25
2.28,9052,NA,0.42,NA,NA,4.58,28.74,0.22
2.3,9059,20.814,NA,0.73,NA,4.63,29.18,0.22
2.33,9068,NA,-0.22,NA,NA,4.65,28.92,0.24
2.35,9074,21.282,NA,0.745,NA,4.73,25.69,0.34
2.38,9083,NA,0.23,NA,NA,4.78,27.13,0.35
2.4,9090,21.042,NA,0.737,NA,4.83,26.89,0.33
2.43,9099,NA,0.08,NA,NA,4.88,26.19,0.35
2.45,9105,21.251,NA,0.744,NA,4.93,25.29,0.26
2.48,9114,NA,-0.16,NA,NA,5.03,24.25,0.38
2.5,9121,21.601,NA,0.756,NA,5.07,23.76,0.38
2.53,9130,NA,-0.04,NA,NA,5.12,24.35,0.38
2.55,9136,21.393,NA,0.749,NA,5.17,25.27,0.34
2.58,9145,NA,0.35,NA,NA,5.22,28.38,0.31
2.6,9151,21.115,NA,0.74,NA,5.27,29.69,0.33
2.63,9161,NA,0.02,NA,NA,5.32,30.37,0.31
2.65,9167,21.451,0.31,0.751,NA,5.37,30.61,0.39
2.68,9176,NA,0.18,NA,NA,5.42,30.55,0.53
2.7,9182,21.322,NA,0.747,NA,5.47,31.8,0.36
2.73,9192,NA,0.04,NA,NA,5.57,31.37,0.34
2.75,9198,21.523,NA,0.753,NA,5.62,31.75,0.36
2.78,9207,NA,-0.22,NA,NA,5.67,31.05,0.32
2.8,9213,20.797,NA,0.729,NA,NA,NA,NA
2.83,9223,NA,-0.33,NA,NA,NA,NA,NA
2.85,9229,20.726,NA,0.727,NA,NA,NA,NA
