age (bp) [1-1],depth (cm) [1-1],depth_top (mm) [1-1],depth_bot (mm) [1-1],age14C (bp) [1-1],age_error (1s) [1-1],thickness (mm) [1-1],age (bp) [2-1],depth (cm) [2-1],depth_top (mm) [2-1],depth_bot (mm) [2-1],age14C (bp) [2-1],age_error (1s) [2-1],thickness (mm) [2-1],age_type () [2-1],core_name () [2-1],lab_id () [2-1],material_dated () [2-1],rejected_dates () [2-1]
-51,0,0,0,NA,NA,0,2620,1.5,10,20,2565,30,10,2,1,1,1,1
2030,1.5,10,20,2060,30,10,2310,24.5,240,250,2320,45,10,2,1,8,1,1
1955,24.5,240,250,2000,40,10,2330,45.5,450,460,2315,25,10,2,1,3,1,1
2310,57.5,570,580,2315,45,10,1840,78.5,780,790,1910,45,10,1,1,5,2,NA
6340,72.5,720,730,5530,40,10,3450,100.5,1000,1010,3215,60,10,2,1,6,1,NA
9055,82.5,820,830,8090,40,10,5390,124.5,1240,1250,4675,35,10,2,1,2,1,NA
9660,88.5,880,890,8645,70,10,5810,132.5,1320,1330,5050,30,10,2,1,4,1,NA
NA,NA,NA,NA,NA,NA,NA,7305,151.5,1510,1520,6375,70,10,2,1,7,1,NA
