depth (m),age (BP),planktic.d13C (permil),planktic.d18O (permil),planktic.d13C (permil),planktic.d18O (permil),d13C (permil),d18O (permil),depth (m),age (BP),TOC (percent),CaCO3 (percent),depth (m),temperature (degC)
0,-59,0.01,2.8,NA,NA,NA,NA,0.075,180,1.35,16.38,0,5.29
0.005,-42,0.5,3.15,-0.97,2.77,0.92,4.07,0.085,214,NA,NA,0.005,3.771
0.015,-8,0.44,3.12,NA,NA,0.87,3.97,0.095,249,NA,NA,0.015,3.714
0.025,27,0.65,3.22,-0.93,2.55,0.65,3.78,0.105,284,1.36,16.36,0.045,3.431
0.035,61,0.54,3.3,NA,NA,0.75,4.03,0.115,319,NA,NA,0.055,3.591
0.045,95,0.51,3.09,NA,NA,0.86,3.81,0.125,354,1.33,16.08,0.155,3.511
0.055,130,0.8,3.3,-0.92,2.64,0.86,4,0.135,389,NA,NA,0.205,3.345
0.065,164,0.56,3.25,NA,NA,1,4.1,0.145,424,1.35,15.97,0.255,2.85
0.075,198,0.62,3.28,NA,NA,0.86,3.93,0.155,458,NA,NA,0.305,3.398
0.085,233,0.55,3.22,-0.99,2.69,0.93,4.1,0.165,493,1.33,15.74,0.355,3.478
0.095,267,0.56,3.04,NA,NA,1.06,4.05,0.175,528,1.33,NA,0.405,4.004
0.105,301,0.57,3.36,-0.71,3,0.97,4.03,0.185,563,1.32,13.81,0.455,3.041
0.115,336,0.61,3.37,NA,NA,1.05,4.08,0.195,598,1.32,14.79,0.505,3.563
0.125,370,0.52,3.07,-1.01,2.88,0.99,4.04,0.205,633,1.34,14.29,0.555,3.318
0.135,404,0.72,3.38,NA,NA,1,4.05,0.215,668,1.32,12.95,0.595,4.189
0.145,438,0.61,3.51,NA,NA,1.06,4.12,0.225,703,1.32,15.59,0.655,3.415
0.155,473,0.46,3.47,-0.43,3.39,1.11,4.26,0.235,738,1.3,13.31,0.705,3.612
0.165,507,0.34,3.28,NA,NA,0.89,4.23,0.245,772,1.27,14.21,0.755,3.126
0.175,541,0.57,3.26,NA,NA,0.88,4.14,0.255,807,1.3,14.52,0.805,3.428
0.185,576,0.47,3.34,-0.83,2.94,0.89,4.18,0.265,842,1.32,16.39,0.855,2.964
0.195,610,0.51,3.34,NA,NA,0.9,4.06,0.275,877,1.28,13.3,0.905,3.174
0.205,644,0.54,3.5,-0.93,2.7,0.95,4.26,0.285,912,1.27,18.48,0.955,3.087
0.215,679,0.56,3.47,NA,NA,0.8,4.2,0.295,947,1.29,23.01,1.005,3
0.225,713,0.52,3.43,-0.86,2.93,1.06,4.21,0.305,982,1.29,14.6,1.055,3.831
0.235,747,0.64,3.33,NA,NA,0.82,4.24,0.315,1016,1.27,14.63,1.105,3.33
0.245,782,0.49,3.32,NA,NA,0.58,4.24,0.325,1051,1.29,24.13,1.155,3.413
0.255,816,0.4,3.37,-0.9,2.71,0.81,4.19,0.335,1086,1.25,18.52,1.205,3.827
0.265,850,0.44,2.94,NA,NA,0.69,4.03,0.345,1121,1.25,10.89,1.255,3.532
0.275,885,0.32,3.24,NA,NA,0.86,4.09,0.355,1156,1.25,15.75,1.305,4.052
0.285,919,0.6,3.46,-0.92,3.17,0.72,4.25,0.365,1191,1.35,19.29,1.355,4.369
0.295,953,0.5,3.33,NA,NA,0.71,4.15,0.375,1226,1.27,16.83,1.405,4.511
0.305,988,0.28,3.32,-0.81,2.88,0.8,4.23,0.385,1261,1.29,13.87,1.455,4.405
0.315,1022,0.56,3.18,NA,NA,0.97,4.07,0.395,1296,1.27,12.24,1.505,5.123
0.325,1056,0.52,3.27,-0.94,2.93,0.83,4.13,0.405,1330,1.24,14.68,1.545,3.501
0.335,1091,0.43,3.26,NA,NA,0.91,4.21,0.415,1365,1.28,11.92,1.585,5.161
0.345,1125,0.55,3.18,NA,NA,1.03,4.11,0.425,1400,1.31,13.99,1.605,3.73
0.355,1159,0.33,3.2,-1.14,2.52,0.98,4.13,0.435,1435,1.35,13.92,1.645,4.815
0.365,1194,0.46,3.39,NA,NA,0.92,4.25,0.445,1470,1.35,12.84,1.685,5.048
0.375,1228,0.37,3.19,NA,NA,0.75,4.14,0.455,1505,1.32,10.98,1.725,5.05
0.385,1262,0.54,3.3,-1.02,2.93,0.95,4.08,0.465,1540,1.31,17.64,1.765,5.042
0.395,1297,0.57,3.32,NA,NA,0.87,4.08,0.475,1574,1.34,13.08,1.795,4.735
0.405,1331,0.52,3.23,-0.9,2.99,1.08,4.12,0.485,1609,1.31,19.37,1.825,4.513
0.415,1365,0.38,3.15,NA,NA,1.02,4.08,0.495,1644,1.33,11.98,1.865,4.577
0.425,1400,0.57,3.19,-1.1,2.72,0.88,4.04,0.505,1679,1.32,15.97,1.905,3.406
0.435,1434,0.46,3.23,NA,NA,0.84,4.23,0.515,1714,1.36,12.49,1.935,3.592
0.445,1468,0.34,3.21,NA,NA,1.08,4.14,0.525,1754,1.32,16,1.975,4.383
0.455,1503,0.46,3.41,-0.85,2.92,0.89,4.27,0.535,1795,1.28,12.96,1.995,4.715
0.465,1537,0.54,3.37,NA,NA,0.96,4.15,0.545,1835,1.22,18.67,2.035,4.057
0.475,1571,0.33,3.17,NA,NA,0.68,4.14,0.555,1875,1.25,10.07,2.075,4.135
0.485,1606,0.53,3.16,NA,NA,0.9,4.19,0.565,1916,1.28,8.14,2.115,4.442
0.495,1640,0.53,3.32,NA,NA,0.74,4.17,0.575,1956,1.3,19.74,2.155,4.25
0.505,1674,0.57,3.26,-1.02,2.71,0.76,4.24,0.585,1996,1.33,20.47,2.195,4.626
0.515,1709,0.53,3.35,NA,NA,0.94,4.11,0.595,2037,1.28,19.9,2.235,4.815
0.525,1749,0.43,3.11,NA,NA,0.8,4.05,0.605,2077,1.26,12.92,2.275,4.49
0.535,1789,0.62,3.3,NA,NA,0.88,4.15,0.615,2117,1.27,10.4,2.315,5.404
0.545,1830,0.55,3.38,NA,NA,0.94,4.16,0.625,2157,1.27,15.35,2.355,5.285
0.555,1870,0.58,3.42,-1,3.11,0.97,4.15,0.635,2198,1.27,16.99,2.385,5.148
0.565,1911,0.59,3.35,NA,NA,0.85,4.2,0.645,2238,1.28,10.51,2.435,5.272
0.575,1951,0.51,3.3,NA,NA,1.03,4.17,0.655,2278,1.26,12.18,2.475,5.357
0.585,1991,0.66,3.3,NA,NA,0.92,4.1,0.665,2319,1.27,15.49,2.495,5.58
0.595,2032,0.63,3.47,NA,NA,0.64,4.14,0.675,2359,1.27,23.71,2.505,4.628
0.605,2072,0.52,3.29,-0.96,2.58,1.04,4.12,0.685,2399,1.27,9.65,2.515,4.252
0.615,2113,0.66,3.4,NA,NA,0.84,4.05,0.695,2440,1.26,12.73,2.525,4.316
0.625,2153,0.56,3.28,NA,NA,0.94,4.04,0.705,2480,1.28,12.12,2.535,4.628
0.635,2193,0.45,3.35,NA,NA,0.95,4.06,0.715,2520,1.23,12.27,2.545,4.374
0.645,2234,0.42,3.5,NA,NA,NA,NA,0.725,2561,1.26,12.34,2.555,4.494
