year (AD),age (BP),d18O (permil)
1963,-13,-7.49
1960.4,-10.4,-7.422
1955.3,-5.3,-7.323
1952.8,-2.8,-7.201
1950.2,-0.2,-7.212
1947.7,2.3,-7.043
1945.1,4.9,-7.002
1942.6,7.4,-7.273
1940,10,-7.575
1937.4,12.6,-7.6
1934.9,15.1,-7.628
1932.3,17.7,-7.707
1929.8,20.2,-7.702
1927.2,22.8,-7.621
1924.7,25.3,-7.421
1922.1,27.9,-7.29
1919.6,30.4,-7.247
1917,33,-7.258
1914.5,35.5,-7.698
1911.9,38.1,-7.879
1909.4,40.6,-7.607
1906.8,43.2,-7.553
1904.2,45.8,-7.642
1901.7,48.3,-7.845
1899.1,50.9,-7.766
1896.6,53.4,-7.533
1894,56,-7.227
1891.5,58.5,-7.471
1888.9,61.1,-7.379
1886.4,63.6,-7.424
1883.8,66.2,-7.389
1881.3,68.7,-7.262
1878.7,71.3,-7.097
1876.2,73.8,-7.201
1873.6,76.4,-7.481
1871,79,-7.511
1868.5,81.5,-7.579
1865.9,84.1,-7.53
1863.4,86.6,-7.736
1860.8,89.2,-7.699
1858.3,91.7,-7.513
1855.7,94.3,-7.42
1853.2,96.8,-7.279
1850.6,99.4,-7.261
1848.1,101.9,-7.127
1845.5,104.5,-7.059
1843,107,-7.084
1840.4,109.6,-7.197
1837.8,112.2,-7.158
1835.3,114.7,-7.163
1832.7,117.3,-7.112
1830.2,119.8,-7.231
1827.6,122.4,-7.261
1825.1,124.9,-7.262
1822.5,127.5,-7.347
1820,130,-7.39
1817.4,132.6,-7.419
1814.9,135.1,-7.468
1812.3,137.7,-7.482
1809.8,140.2,-7.403
1807.2,142.8,-7.347
1804.6,145.4,-7.292
1802.1,147.9,-7.273
1799.5,150.5,-7.384
1797,153,-7.6
1794.4,155.6,-7.591
1791.9,158.1,-7.684
1789.3,160.7,-7.68
1786.8,163.2,-7.652
1784.2,165.8,-7.675
1781.7,168.3,-7.546
1779.1,170.9,-7.386
1776.6,173.4,-7.273
1774,176,-7.193
1772.4,177.6,-7.276
1770.8,179.2,-7.298
1769.2,180.8,-7.225
1767.6,182.4,-7.147
1766,184,-7.079
1764.4,185.6,-7.034
1761.2,188.8,-7.159
1759.6,190.4,-7.211
1758,192,-7.161
1756.4,193.6,-7.101
1754.8,195.2,-7.083
1753.2,196.8,-7.14
1751.6,198.4,-7.267
1750,200,-7.336
1748.4,201.6,-7.254
1746.8,203.2,-7.216
1745.2,204.8,-7.287
1743.6,206.4,-7.364
1742,208,-7.308
1740.4,209.6,-7.38
1738.8,211.2,-7.377
1737.2,212.8,-7.467
1735.6,214.4,-7.358
1734,216,-7.215
1732.4,217.6,-7.298
1730.8,219.2,-7.447
1729.2,220.8,-7.624
1727.6,222.4,-7.557
1726,224,-7.336
1724.4,225.6,-7.276
1722.8,227.2,-7.247
1721.2,228.8,-7.169
1719.6,230.4,-7.174
1718,232,-7.218
1716.4,233.6,-7.168
1714.8,235.2,-7.067
1713.2,236.8,-6.941
1711.6,238.4,-6.934
1710,240,-7.005
1708.4,241.6,-7.217
1706.8,243.2,-7.276
1705.2,244.8,-7.177
1703.6,246.4,-7.165
1702,248,-7.159
1700.4,249.6,-7.102
1698.8,251.2,-7.039
1697.2,252.8,-6.989
1695.6,254.4,-7.152
1694,256,-7.377
1692.4,257.6,-7.142
1690.8,259.2,-6.908
1689.2,260.8,-6.915
1687.6,262.4,-6.994
1686,264,-7.016
1684.4,265.6,-6.921
1682.8,267.2,-6.942
1681.2,268.8,-7.086
1679.6,270.4,-7.277
1678,272,-7.404
1676.4,273.6,-7.348
1674.8,275.2,-7.393
1673.2,276.8,-7.477
