year (AD),age (BP),temperature (degC)
1959.54,-9.54,9.15
1707.29,242.71,9.27
1444.07,505.93,9.5
1180.85,769.15,9.38
917.64,1032.36,8.81
654.42,1295.58,8.79
522.81,1427.19,8.67
391.2,1558.8,8.96
127.98,1822.02,8.97
-135.23,2085.23,8.63
-266.84,2216.84,9.47
-398.45,2348.45,10.05
-661.67,2611.67,9.92
-924.89,2874.89,9.84
-1188.11,3138.11,9.58
-1319.71,3269.71,9.34
-1451.32,3401.32,9.93
-1714.54,3664.54,10.13
-1977.76,3927.76,9.76
-2240.98,4190.98,9.14
-2504.19,4454.19,10.32
-2767.41,4717.41,10.11
-3030.63,4980.63,9.98
-3293.84,5243.84,9.79
-3557.06,5507.06,9.34
-3820.28,5770.28,9.78
-4083.5,6033.5,10.1
-4346.71,6296.71,10.03
-4478.32,6428.32,10.99
-4609.93,6559.93,11.16
-4873.15,6823.15,10.89
-5136.37,7086.37,11.84
-5399.58,7349.58,11.29
-5662.8,7612.8,11.8
-5926.02,7876.02,11.63
-6057.63,8007.63,11.92
-6101.51,8051.51,12.15
-6145.37,8095.37,11.65
-6189.24,8139.24,10.26
-6320.85,8270.85,10.26
-6364.71,8314.71,10.56
-6408.58,8358.58,11.34
-6452.45,8402.45,11.34
-6715.67,8665.67,11.97
-6978.89,8928.89,12.15
-7242.11,9192.11,12.03
-7373.71,9323.71,11.73
-7505.32,9455.32,12.14
-7768.54,9718.54,11.33
-8031.76,9981.76,11.63
-8294.98,10244.98,12.48
-8558.19,10508.19,12.34
-8998.19,10948.19,11.51
