depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,541.7,7.4,-9.186,-1.585,983.429
20,1083.4,7.914,-13.471,-3.363,767
30,1625.1,7.629,-11.643,-2.79,792
40,2166.8,7.629,-11.643,-2.79,792
50,2708.5,7.329,-10.071,-2.092,846
60,3250.2,7.4,-9.186,-1.585,983.429
70,3791.9,7.329,-10.071,-2.092,846
80,4333.6,7.557,-12.529,-3.298,654.571
90,4875.3,7.557,-12.529,-3.298,654.571
100,5246.2,7.443,-9.157,-1.546,977.714
110,5446.2,7.4,-9.186,-1.585,983.429
120,5646.1,7.586,-8.229,-0.976,1115.429
130,5846.1,7.543,-9.186,-1.471,868.714
140,6046.1,8.357,-15.514,-4.526,676.143
150,6246.1,7.343,-10.143,-2.089,742.143
160,6446,7.514,-11.4,-2.588,798
170,6646,7.543,-9.186,-1.471,868.714
180,6846,7.543,-9.186,-1.471,868.714
190,7046,7.8,-7.043,-0.175,1148.143
200,7245.9,8.429,-12.414,-2.723,876.286
210,7445.9,7.7,-8.257,-0.892,1001
230,7845.9,7.714,-10.443,-1.97,924.571
240,8045.8,7.743,-9.571,-1.471,1071
250,8245.8,7.543,-9.186,-1.471,868.714
260,8445.8,8.286,-8.6,-0.752,970.429
270,8645.8,7.771,-7.357,-0.355,1141.714
280,8845.7,7.929,-6.986,-0.094,1134
290,9045.7,7.786,-7.271,-0.358,1242
300,9245.7,8.186,-9.386,-1.181,955.714
310,9445.7,7.286,-10.1,-2.13,851.714
320,9751.4,7.743,-8.014,-0.71,903.571
340,10574.6,7.529,-8.9,-1.33,880.857
350,10986.2,7.771,-7.914,-0.674,1001.714
360,11424.4,NA,NA,NA,NA
370,11889.2,NA,NA,NA,NA
380,12354.1,NA,NA,NA,NA
400,13283.8,NA,NA,NA,NA
410,13748.7,NA,NA,NA,NA
420,14213.5,NA,NA,NA,NA
430,14678.4,NA,NA,NA,NA
440,15143.3,NA,NA,NA,NA
450,15608.1,NA,NA,NA,NA
460,16073,NA,NA,NA,NA
470,16537.8,NA,NA,NA,NA
480,17002.7,NA,NA,NA,NA
490,17467.6,NA,NA,NA,NA
500,17932.4,NA,NA,NA,NA
510,18188.7,NA,NA,NA,NA
540,18332.1,NA,NA,NA,NA
560,18427.7,NA,NA,NA,NA
600,18618.9,NA,NA,NA,NA
620,18714.5,NA,NA,NA,NA
640,18810.1,NA,NA,NA,NA
665,18929.6,NA,NA,NA,NA
700,19096.9,NA,NA,NA,NA
