year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1750,200,196.657,26.39,0.414,139.257
1550,400,399.922,27.47,0.422,142.411
1350,600,607.706,27.13,0.415,86.718
1130,820,818.521,26.82,0.419,172.373
920,1030,1032.087,27.81,0.424,228.598
700,1250,1246.631,26.95,0.424,264.323
490,1460,1461.835,28.26,0.415,286.018
270,1680,1677.514,27.55,0.419,297.646
60,1890,1893.657,27.3,0.424,299.591
-150,2100,2110.226,27.8,0.425,292.807
-370,2320,2327.311,28.26,0.418,275.855
-580,2530,2545.004,28.85,0.427,247.687
-800,2750,2763.769,28.02,0.427,202.384
-1010,2960,2987.426,27.78,0.435,128.326
-1360,3310,3321.182,28.49,0.428,235.149
-1700,3650,3661.04,27.81,0.432,290.951
-2050,4000,4002.369,28.25,0.425,319.099
-2390,4340,4344.62,29.24,0.415,328.3
-2740,4690,4687.774,27.68,0.438,318.417
-3090,5040,5031.849,28.45,0.479,288.998
-3430,5380,5377.396,27.27,0.429,229.557
-3780,5730,5729.045,29.28,0.432,97.589
-4170,6120,6119.744,28.93,0.427,238.568
-4970,6920,6917.91,28.47,0.43,305.29
-5360,7310,7319.516,27.84,0.436,288.621
-5760,7710,7723.152,27.72,0.432,232.339
-6160,8110,8134.157,26.58,0.424,93.753
-6420,8370,8374.49,27.63,0.43,180.049
-6680,8630,8621.161,27.53,0.427,209.269
-6930,8880,8870.339,27.11,0.438,202.453
-7190,9140,9125.855,26.49,0.435,163.725
-7520,9470,9463.358,26.91,0.422,246.874
-7850,9800,9807.191,27.52,0.429,293.252
-8190,10140,10152.636,27.23,0.422,314.485
-8520,10470,10499.159,27.6,0.438,317.103
-8850,10800,10846.854,27.9,0.428,299.837
-9180,11130,11196.019,27.6,0.423,260.758
-9510,11460,11534.301,27.56,0.427,200.474
-9740,11690,11755.716,27.72,0.425,227.013
-10200,12150,12174.724,29.57,0.428,259.661
-10430,12380,12385.671,30.31,0.433,256.419
-10660,12610,12597.432,29.47,0.429,240.581
-10890,12840,12810.411,27.36,0.433,207.532
-11130,13080,13028.176,28.01,0.425,146.381
-11410,13360,13330.008,27.89,0.447,231.582
-11700,13650,13638.156,27.19,0.428,275.185
-11990,13940,13948.274,26.06,0.429,294.541
-12280,14230,14260.19,26.15,0.426,296.006
-12570,14520,14576.16,26.09,0.431,285.531
-12850,14800,14897.141,27.97,0.418,316.976
