age (bp),depth (cm),lab_id (),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1_s),thickness (mm),14C ()
1250,53,NA,530,530,NA,NA,0,1
NA,77.5,16272,750,800,2530,80,50,1
NA,102.5,16273,1000,1050,3600,90,50,1
NA,162.5,16275,1600,1650,5700,90,50,1
NA,172.5,16276,1700,1750,5820,100,50,1
NA,182.5,16277,1800,1850,6960,100,50,1
NA,217.5,16280,2150,2200,7700,100,50,1
NA,247.5,16283,2450,2500,8720,150,50,1
NA,252.5,16284,2500,2550,8940,220,50,1
NA,262.5,16285,2600,2650,9270,180,50,1
NA,272.5,16286,2700,2750,9350,90,50,1
NA,277.5,16287,2750,2800,10050,110,50,1
