depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
557,14,12.492,13.787,11.197,Y
560,250,11.794,13.137,10.451,Y
562,519,11.612,12.918,10.307,Y
566,844,11.597,12.89,10.304,Y
570,1160,12.014,13.317,10.712,Y
573.5,1429,10.157,11.518,8.796,Y
576.5,1654,11.976,13.243,10.708,Y
579.5,1874,11.222,12.501,9.944,Y
582.5,2091,11.493,12.792,10.195,Y
585.5,2302,11.255,12.536,9.976,Y
588.5,2510,11.669,12.984,10.355,Y
591,2681,10.806,12.075,9.537,Y
595,2949,11.871,13.185,10.558,Y
599,3211,10.571,11.848,9.294,Y
603,3468,11.541,12.821,10.261,Y
607,3720,11.512,12.775,10.249,Y
611,3967,11.099,12.357,9.841,Y
615,4212,11.679,12.948,10.41,Y
619,4452,12.094,13.356,10.831,Y
623,4690,12.038,13.307,10.769,Y
627,4926,12.014,13.296,10.733,Y
631,5160,12.266,13.533,10.999,Y
635,5393,12.063,13.322,10.803,Y
639,5624,12.044,13.323,10.765,Y
643,5855,11.581,12.87,10.291,Y
647,6086,11.698,12.996,10.399,Y
651,6317,11.322,12.584,10.06,Y
655,6549,12.547,13.816,11.278,Y
659,6782,11.745,13.037,10.454,Y
663,7017,11.48,12.742,10.218,Y
667,7254,11.793,13.083,10.503,Y
671,7492,11.943,13.221,10.664,Y
675,7734,12.017,13.31,10.724,Y
679,7978,11.672,12.99,10.354,Y
683,8226,12.398,13.673,11.123,Y
687,8477,11.792,13.07,10.514,Y
691,8733,11.964,13.232,10.695,Y
695,8993,12.856,14.119,11.592,Y
699,9257,11.897,13.207,10.588,Y
703,9527,12.624,13.894,11.353,Y
705,9664,12.453,13.758,11.147,Y
707,9802,12.136,13.468,10.804,Y
709,9941,13.258,14.546,11.969,Y
711.5,10118,11.901,13.165,10.637,Y
