year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1510,440,283.216,26.759,4.335,71.185
1037.647,912.353,763.919,26.792,4.348,271.451
565.294,1384.706,1247.148,27.258,4.534,365.431
92.941,1857.059,1730.852,26.892,4.387,429.902
-379.412,2329.412,2214.829,26.757,4.334,477.002
-851.765,2801.765,2699.003,26.067,4.073,511.557
-1324.118,3274.118,3183.333,26.323,4.168,536.002
-1796.471,3746.471,3667.799,25.998,4.048,551.683
-2268.824,4218.824,4152.389,26.608,4.276,559.338
-2741.176,4691.176,4637.097,25.404,3.837,559.296
-3213.529,5163.529,5121.925,26.455,4.218,551.555
-4158.235,6108.235,6091.964,26.017,4.055,511.226
-4630.588,6580.588,6577.209,25.838,3.99,476.534
-5102.941,7052.941,7062.649,25.607,3.908,429.244
-5575.294,7525.294,7548.363,25.584,3.9,364.471
-6047.647,7997.647,8034.551,26.539,4.25,269.855
-6520,8470,8523.265,25.918,4.019,62.605
-7134.545,9084.545,9112.399,25.762,3.963,292.696
-7749.091,9699.091,9704.496,25.398,3.835,389.188
-8363.636,10313.636,10297.195,25.946,4.029,449.184
-8978.182,10928.182,10890.27,25.607,3.908,486.482
-9592.727,11542.727,11483.639,25.678,3.933,506.189
-10207.273,12157.273,12077.272,26.301,4.16,510.403
-10821.818,12771.818,12671.17,25.754,3.96,499.576
-11436.364,13386.364,13265.362,25.45,3.853,472.752
-12665.455,14615.455,14455.099,25.059,3.72,355.586
-13280,15230,15053.232,25.57,3.895,239.677
