depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-14,10.414,-27.643,-9.646,194.714
10,86,10.886,-27.443,-9.248,204.571
20,187,9.543,-27.571,-9.904,286.429
30,287,10.357,-27.743,-9.735,203
45,437,13.829,-13.414,-0.151,411.143
55,537,10.214,-27.757,-9.829,195
65,638,9.643,-27.486,-9.832,278.571
75,738,9.857,-27.3,-9.604,273.571
85,838,10.829,-26.3,-8.346,307.143
95,939,11,-27.329,-9.114,200.857
105,1039,10.314,-27.686,-9.738,193.571
120,1189,10.329,-27.1,-9.2,283.571
130,1289,9.757,-27.371,-9.699,274.857
140,1390,9.843,-26.871,-9.23,305.857
155,1540,9.643,-27.486,-9.827,278.714
165,1640,9.657,-27.457,-9.775,282.571
175,1741,10.157,-27.814,-9.929,203.714
185,1841,10.214,-27.757,-9.829,195
195,1956,10.157,-27.814,-9.929,203.714
205,2156,10.214,-27.757,-9.829,195
215,2356,10.214,-27.757,-9.829,195
225,2556,10.157,-27.814,-9.929,203.714
235,2756,10.157,-27.814,-9.929,203.714
245,2956,9.714,-21.271,-6.657,607.857
255,3156,9.786,-26.614,-9.338,275.429
265,3356,9.986,-24.557,-8.224,399.286
275,3555,9.829,-21.157,-6.529,604
285,3755,10.171,-27.8,-9.871,194.286
295,3955,10.229,-27.171,-9.295,284.857
305,4155,9.271,-27.714,-10.05,271.714
320,4455,9.357,-20.643,-6.611,597.286
335,4709,8.671,-17.771,-5.449,684
345,4817,8.771,-21.8,-7.355,585.286
355,4925,10.243,-25.443,-8.195,295.571
365,5033,9.386,-27.629,-9.898,261
375,5141,8.986,-26.271,-9.711,186.857
385,5249,8.871,-26.343,-9.821,190
395,5357,8.957,-26.014,-9.364,271.286
405,5465,8.871,-26.343,-9.821,190
415,5573,9.057,-25.729,-9.219,278.857
420,5627,11.8,-22.514,-6.012,225.714
430,5735,14.471,-10.143,2.126,557.143
440,5842,15.429,-10.314,2.592,532.286
450,5950,17.114,-9.129,3.896,544.143
460,6058,11.929,-10.071,0.66,635.857
