depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
45,Carbon-14,110214,90,1480,gyttja,NA
145,Carbon-14,110215,90,2530,gyttja,NA
245,Carbon-14,110216,100,3880,gyttja,NA
360,Carbon-14,110217,100,4660,gyttja,NA
419,Carbon-14,110218,100,6520,gyttja,NA
449,Carbon-14,110219,100,7660,gyttja,NA
