depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0,0,6.972,8.092,5.852,Y
2,291,8.886,10.006,7.766,Y
4,490,7.94,9.06,6.82,Y
6,699,8.789,9.909,7.669,Y
8,918,8.595,9.715,7.475,Y
10,1146,8.926,10.046,7.806,Y
12,1382,8.889,10.009,7.769,Y
14,1622,8.761,9.881,7.641,Y
16,1864,9.823,10.944,8.704,Y
18,2105,8.491,9.611,7.371,Y
20,2341,8.771,9.891,7.651,Y
22,2570,8.389,9.509,7.269,Y
24,2791,9.386,10.506,8.266,Y
26,3002,8.512,9.632,7.392,Y
28,3203,9.21,10.33,8.09,Y
30,3394,6.97,8.09,5.85,Y
32,3575,8.861,9.981,7.741,Y
34,3746,9.02,10.14,7.9,Y
36,3909,8.64,9.76,7.52,Y
38,4064,7.794,8.914,6.674,Y
40,4211,9.637,10.757,8.517,Y
42,4352,9.366,10.486,8.246,Y
44,4486,9.173,10.293,8.053,Y
46,4614,9.426,10.546,8.306,Y
48,4737,9.358,10.478,8.238,Y
50,4855,9.718,10.838,8.598,Y
52,4969,9.192,10.312,8.072,Y
54,5078,9.254,10.374,8.134,Y
56,5184,9.415,10.535,8.295,Y
58,5286,9.597,10.717,8.477,Y
60,5384,9.604,10.724,8.484,Y
62,5480,9.984,11.104,8.864,Y
64,5572,8.643,9.763,7.523,Y
