age (BP),temperature (degC)
0,5.673
81.5,5.329
163.1,4.935
244.6,5.722
326.2,5.529
407.7,6.036
489.2,5.724
590.5,5.795
711.5,5.126
832.5,6.777
953.5,5.623
1074.5,5.848
1195.5,5.493
1316.5,5.908
1437.5,6.641
1558.5,5.138
1679.5,5.324
1818.5,6.515
1975.5,6.692
2132.5,5.542
2289.5,5.857
2446.5,5.49
2603.5,6.192
2760.5,5.731
2917.5,5.687
3074.5,6.304
3231.5,4.96
3353,5.914
3439,6.782
3525,6.824
3611,6.688
3697,6.272
3783,6.204
3869,5.957
3955,7.138
4041,6.524
4127,6.983
4209,6.301
4287,6.886
4365,7.409
4443,7.653
4521,6.417
4599,8.741
4677,8.425
4755,8.164
4833,7.642
4911,7.815
5010.5,8.184
5131.5,7.611
5252.5,8.425
5373.5,8.741
5494.5,8.164
5615.5,8.399
5736.5,8.75
5857.5,8.296
5978.5,7.916
6099.5,7.787
6214,8.66
6322,8.734
6430,9.161
6538,9.435
6646,8.639
6754,8.072
6862,7.712
6970,8.789
7078,8.813
7186,8.725
7279,8.199
7357,8.501
7435,7.954
7591,7.787
7669,6.864
7747,7.262
7825,7.716
7903,8.649
7981,7.502
8044.5,7.521
8093.5,7.813
8142.5,7.741
8191.5,6.898
8240.5,6.892
8289.5,7.597
8338.5,7.654
8387.5,7.564
8436.5,6.699
8485.5,4.887
8569,4.929
8687,5.361
8805,6.365
8923,6.521
