year (AD) [1-1],age (BP) [1-1],temperature (degC) [1-1],year (AD) [2-1],age (BP) [2-1],Marine09 (BP) [2-1],ageUncertainty (yr) [2-1]
1991,-41,17.51,1925,25,10.93,28.45
1969,-19,17.42,1903,47,33.27,67.82
1947,3,17.1,1881,69,56.16,86.49
1925,25,17.22,1859,91,79.18,100.25
1903,47,17.24,1836,114,102.27,111.05
1881,69,17.29,1814,136,125.43,119.7
1859,91,17.33,1792,158,148.63,126.67
1836,114,17.11,1770,180,171.87,132.21
1814,136,17.32,1748,202,195.14,136.52
1792,158,17.07,1726,224,218.44,139.69
1770,180,16.96,1704,246,241.77,141.81
1748,202,17.45,1682,268,265.13,142.92
1726,224,17.57,1660,290,288.51,143.06
1704,246,17.61,1638,312,311.92,142.21
1682,268,17.21,1616,334,335.36,140.36
1660,290,17.66,1594,356,358.82,137.47
1638,312,17.47,1572,378,382.32,133.47
1616,334,17.71,1549,401,405.85,128.25
1594,356,16.56,1527,423,429.41,121.66
1572,378,17.58,1505,445,453.02,113.45
1549,401,17.07,1483,467,476.69,103.22
1527,423,17.36,1461,489,500.44,90.25
1505,445,17.8,1439,511,524.32,72.96
1483,467,17.67,1417,533,548.75,44.9
1461,489,17.81,1395,555,572.46,45.39
1439,511,18.08,1373,577,595.48,74.27
1417,533,17.76,1351,599,619.08,92.2
1395,555,18.25,1340,610,642.82,105.82
1373,577,18.05,1314,636,666.64,116.73
1351,599,17.75,1288,662,690.52,125.68
1340,610,17.73,1235,715,738.41,139.14
1314,636,17.7,1209,741,762.41,144.07
1288,662,18,1183,767,786.43,147.99
1235,715,18.19,1131,819,834.56,153.04
1209,741,17.96,1104,846,858.66,154.28
1183,767,18.28,1078,872,882.79,154.69
1131,819,18.37,1052,898,906.94,154.28
1104,846,18.08,1026,924,931.11,153.04
1078,872,17.98,999,951,955.31,150.95
1052,898,17.89,973,977,979.53,147.98
1026,924,18.42,947,1003,1003.78,144.07
999,951,18.2,921,1029,1028.06,139.14
973,977,18.46,894,1056,1052.37,133.09
947,1003,17.97,868,1082,1076.72,125.73
921,1029,18.31,842,1108,1101.12,116.84
894,1056,18.09,816,1134,1125.57,106.01
868,1082,18.18,789,1161,1150.11,92.55
842,1108,17.44,763,1187,1174.78,74.94
816,1134,17.82,737,1213,1200.04,47.66
789,1161,17.84,705,1245,1228.28,52.25
763,1187,18.44,672,1278,1259.58,86.64
737,1213,18.24,640,1310,1291.52,108.87
705,1245,17.87,608,1342,1323.61,126.41
672,1278,18.2,575,1375,1355.79,141.09
640,1310,18.33,543,1407,1388.02,153.77
608,1342,17.71,478,1472,1452.62,174.8
575,1375,18.28,446,1504,1484.96,183.65
543,1407,17.75,414,1536,1517.33,191.61
478,1472,17.53,381,1569,1549.72,198.79
446,1504,17.59,349,1601,1582.13,205.26
414,1536,18.01,317,1633,1614.56,211.1
381,1569,17.94,285,1665,1647,216.35
349,1601,17.67,252,1698,1679.46,221.05
317,1633,18.51,220,1730,1711.94,225.25
285,1665,18.62,188,1762,1744.42,228.96
252,1698,18.25,155,1795,1776.92,232.22
220,1730,18.33,123,1827,1809.44,235.03
188,1762,18.33,91,1859,1841.96,237.42
155,1795,18.34,58,1892,1874.5,239.4
123,1827,18.18,26,1924,1907.04,240.98
91,1859,17.54,-6,1956,1939.6,242.16
58,1892,18.16,-39,1989,1972.17,242.96
26,1924,17.85,-71,2021,2004.75,243.37
-6,1956,17.63,-103,2053,2037.34,243.41
-39,1989,17.07,-168,2118,2102.55,242.32
-71,2021,18.17,-233,2183,2167.8,239.69
-103,2053,18.29,-297,2247,2233.1,235.46
-168,2118,17.71,-362,2312,2298.44,229.53
-233,2183,17.89,-427,2377,2363.84,221.78
-297,2247,18.5,-491,2441,2429.29,212.01
-362,2312,19.07,-556,2506,2494.81,199.91
-427,2377,18.67,-620,2570,2560.41,185.03
-491,2441,18.9,-685,2635,2626.11,166.62
-556,2506,19.24,-750,2700,2691.95,143.31
-620,2570,19.18,-814,2764,2758.04,112.02
-685,2635,19.06,-879,2829,2825.16,59.98
-750,2700,18.62,-952,2902,2894.97,95.29
-814,2764,18.66,-1025,2975,2967.01,136.28
-879,2829,18.59,-1099,3049,3039.44,164.83
-952,2902,18.71,-1172,3122,3112.07,186.88
-1025,2975,18.99,-1245,3195,3184.82,204.56
-1099,3049,18.7,-1318,3268,3257.67,218.94
-1172,3122,18.49,-1391,3341,3330.59,230.64
-1245,3195,18.84,-1465,3415,3403.58,240.05
-1318,3268,18.91,-1538,3488,3476.62,247.43
-1391,3341,19.02,-1611,3561,3549.72,252.96
-1465,3415,18.75,-1684,3634,3622.86,256.77
-1538,3488,19.37,-1757,3707,3696.05,258.92
-1611,3561,19.16,-1831,3781,3769.28,259.46
-1684,3634,19.76,-1904,3854,3842.56,258.4
-1757,3707,19.01,-1977,3927,3915.88,255.71
-1831,3781,19.4,-2050,4000,3989.25,251.35
-1904,3854,19.12,-2123,4073,4062.67,245.22
-1977,3927,19.65,-2197,4147,4136.15,237.19
-2050,4000,19.42,-2270,4220,4209.68,227.06
-2123,4073,19.9,-2343,4293,4283.28,214.52
-2197,4147,19.46,-2416,4366,4356.97,199.11
-2270,4220,19.58,-2489,4439,4430.76,180.11
-2343,4293,19.46,-2563,4513,4504.71,156.18
-2416,4366,19.69,-2636,4586,4578.91,124.43
-2489,4439,18.82,-2789,4739,4730.35,106.39
-2563,4513,19.55,-2869,4819,4808.15,146.61
-2636,4586,18.76,-2948,4898,4886.36,175.24
-2789,4739,19.11,-3108,5058,5043.3,215.4
-2869,4819,19.55,-3188,5138,5121.93,229.97
-2948,4898,19.11,-3267,5217,5200.64,241.81
-3108,5058,19.51,-3347,5297,5279.42,251.32
-3188,5138,19.28,-3427,5377,5358.26,258.75
-3267,5217,19.04,-3507,5457,5437.14,264.27
-3347,5297,20.06,-3586,5536,5516.08,268.01
-3427,5377,19.68,-3666,5616,5595.07,270.03
-3507,5457,19.89,-3746,5696,5674.1,270.38
-3586,5536,19.36,-3826,5776,5753.18,269.05
-3666,5616,20.99,-3905,5855,5832.31,266.04
-3746,5696,19.64,-3985,5935,5911.48,261.27
-3826,5776,19.94,-4065,6015,5990.71,254.64
-3905,5855,19.73,-4145,6095,6069.99,246.01
-3985,5935,19.97,-4224,6174,6149.34,235.15
-4065,6015,20.2,-4304,6254,6228.75,221.73
-4145,6095,19.74,-4384,6334,6308.26,205.23
-4224,6174,20.31,-4464,6414,6387.87,184.84
-4304,6254,20.37,-4543,6493,6467.64,159.03
-4384,6334,20.63,-4623,6573,6547.68,124.32
-4464,6414,20.22,-4703,6653,6628.84,65.6
-4543,6493,20.37,-4783,6733,6687.89,85.92
-4623,6573,20.66,-4863,6813,6740.64,118.12
-4703,6653,20.11,-4942,6892,6793.75,139.87
-4783,6733,20.69,-5022,6972,6847.04,155.77
-4863,6813,20.58,-5102,7052,6900.46,167.56
-4942,6892,20.27,-5182,7132,6953.98,176.06
-5022,6972,20.75,-5265,7215,6980.77,179.24
-5102,7052,20.6,-5433,7383,7276.65,173.29
-5182,7132,20.31,-5493,7443,7357.75,157.64
-5265,7215,21.38,-5578,7528,7610.71,78.75
-5433,7383,20.53,-5665,7615,7645.44,103.06
-5493,7443,20.32,-5756,7706,7715.46,135.1
-5578,7528,20.71,-5847,7797,7803.45,159.96
-5665,7615,20.69,-5937,7887,7891.74,174.6
-5756,7706,20.49,-6027,7977,7980.25,181.52
-5847,7797,20.67,-6206,8156,8157.85,174.88
-5937,7887,21.06,-6295,8245,8246.97,160.47
-6027,7977,20.65,-6384,8334,8336.38,135.97
-6206,8156,21.13,-6559,8509,8518.69,83.7
-6295,8245,20.19,-6641,8591,8614.05,134.91
-6384,8334,20.52,-6724,8674,8710.14,163.19
-6559,8509,19.23,-6887,8837,8903.23,187.84
-6641,8591,19.95,-6968,8918,9019.5,187.69
-6724,8674,20.26,-7129,9079,9213.99,162.39
-6887,8837,19.66,-7212,9162,9311.7,133.51
-6968,8918,20.04,-7405,9355,9532.43,113.8
-7129,9079,19.35,-7682,9632,9811.62,216.54
-7212,9162,19.24,-7961,9911,10092.29,269.99
-7405,9355,19.75,-8245,10195,10373.6,301.85
-7682,9632,19.33,-8389,10339,10514.43,311.97
-7961,9911,19.93,-8457,10407,10598.98,316.43
-8245,10195,18.29,-8527,10477,10683.56,319.75
-8389,10339,18.09,-8597,10547,10739.96,321.35
-8457,10407,19.85,-8667,10617,10824.6,322.84
-8527,10477,19.88,-8736,10686,10881.04,323.24
-8597,10547,18.82,-8806,10756,10965.73,322.96
-8667,10617,18.29,-8876,10826,11022.21,322.18
-8736,10686,18.72,-8946,10896,11106.96,320.12
-8806,10756,18.12,-9017,10967,11163.47,318.14
-8876,10826,17.1,-9088,11038,11248.28,314.25
-8946,10896,16.84,-9159,11109,11304.84,311.03
-9017,10967,17.64,-9230,11180,11389.71,305.2
-9088,11038,17.95,-9300,11250,11446.31,300.63
-9159,11109,16.13,-9369,11319,11531.26,292.69
-9230,11180,16.61,-9439,11389,11616.25,283.35
-9300,11250,16.72,-9508,11458,11672.95,276.28
-9369,11319,15.81,-9577,11527,11758.04,264.29
-9439,11389,15.61,-9646,11596,11814.81,255.27
-9508,11458,15.86,-9715,11665,11900.05,239.99
-9577,11527,14.69,-9784,11734,11956.94,228.48
-9646,11596,15.41,-9853,11803,12042.41,208.82
-9715,11665,15.44,-9922,11872,12099.52,193.8
-9784,11734,15.98,-10060,12010,12244.93,156.24
-9853,11803,13.95,NA,NA,NA,NA
-9922,11872,15.17,NA,NA,NA,NA
-10060,12010,15.13,NA,NA,NA,NA
