depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
54,Carbon-14,109802,90,2640,twigs and bark,NA
62,Carbon-14,109803,155,3105,peat,NA
135,Carbon-14,109804,80,6300,Pinus contorta twigs and needles,NA
170,Carbon-14,109805,70,7700,Abies cf. lasiocarpa wood,NA
219,Carbon-14,109806,80,8260,insol. fraction bulk sediment,NA
