year (AD),age (BP),sampleID (missing),d13C (missing)
1531,419,1033,-27.95
1527,423,1032,-27.91
1523,427,1031,-28.55
1519,431,1030,-28.59
1514,436,1029,-28.15
1509,441,1028,-27.53
1508,442,1027,-26.87
1504,446,1026,-27.61
1500,450,1025,-28.12
1496,454,1024,-28.03
1495,455,1023,-28.18
1491,459,1022,-27.92
1487,463,1021,-27.59
1483,467,1020,-27.61
1476,474,1019,-27.48
1471,479,1018,-27.65
1467,483,1017,-27.72
1463,487,1016,-27.9
1462,488,1015,-27.34
1459,491,1014,-28.12
1458,492,1013,-28.46
1454,496,1012,-28.32
1448,502,1011,-27.7
1444,506,1010,-27.7
1439,511,1009,-27.84
1433,517,1008,-27.77
1429,521,1007,-28.24
1423,527,1006,-28.1
1417,533,1005,-28.22
1413,537,1004,-27.9
1410,540,1003,-27.89
1407,543,1002,-28.36
1400,550,1001,-28.85
1394,556,1000,-28.94
1383,567,999,-27.56
1378,572,998,-27.41
1377,573,997,-28.49
1376,574,996,-28.91
1369,581,995,-29.04
1364,586,994,-28.54
1360,590,993,-28.54
1356,594,992,-28.22
1348,602,991,-28.54
1342,608,990,-28.63
1336,614,989,-28.27
1330,620,988,-28.61
1325,625,987,-28.56
1323,627,986,-28.91
1313,637,985,-28.74
1303,647,984,-28.97
1302,648,983,-29.16
1297,653,982,-28.34
1293,657,981,-27.43
1292,658,980,-28.42
1290,660,979,-28.53
1286,664,978,-28.88
1281,669,977,-29.54
1274,676,976,-29.3
1268,682,975,-28.73
1263,687,974,-27.72
1262,688,973,-28.8
1259,691,972,-28.92
1256,694,971,-28.19
1251,699,970,-27.6
1246,704,969,-28.53
1243,707,968,-28.74
1237,713,967,-29.01
1230,720,966,-29.28
1220,730,965,-29.29
1214,736,964,-29.22
1209,741,963,-28.83
1203,747,962,-28.65
1196,754,961,-28.86
1192,758,960,-28.83
1187,763,959,-28.82
1180,770,958,-28.47
1174,776,957,-28.1
1166,784,956,-28.79
1161,789,955,-28.67
1154,796,954,-28.79
1148,802,953,-28.94
1140,810,952,-27.6
1131,819,951,-26.23
1131,819,950,-27.45
1130,820,949,-28.34
1130,820,948,-28.81
1122,828,947,-28.76
1115,835,946,-28.54
1112,838,945,-29.18
1108,842,944,-28.68
1102,848,943,-29.22
1097,853,942,-29.21
1090,860,941,-30.11
1083,867,940,-29.28
1075,875,939,-28.6
1069,881,938,-29.04
1068,882,937,-30.48
1062,888,936,-30.07
1060,890,935,-29.32
1051,899,934,-29.82
1047,903,933,-30.65
1041,909,932,-30.67
1034,916,931,-30.76
1026,924,930,-30.33
1021,929,929,-31.23
1012,938,928,-30.77
1009,941,927,-31.76
1003,947,926,-33.26
996,954,925,-33.7
989,961,924,-32.79
982,968,923,-32.11
974,976,922,-32.14
965,985,921,-30.75
964,986,920,-29.33
959,991,919,-31.27
950,1000,918,-31.18
933,1017,917,-32.05
920,1030,916,-32.71
906,1044,915,-33.08
894,1056,914,-33.14
868,1082,913,-33.42
858,1092,912,-33.62
843,1107,911,-33.8
835,1115,910,-33.09
823,1127,909,-33.1
812,1138,908,-33.41
804,1146,907,-33.84
797,1153,906,-34.02
783,1167,905,-34.5
771,1179,904,-33.68
755,1195,903,-33.52
740,1210,902,-34.07
733,1217,901,-34.2
715,1235,900,-33.44
704,1246,899,-33.25
689,1261,898,-33.55
679,1271,897,-33.52
670,1280,896,-33.24
661,1289,895,-32.98
652,1298,894,-33.31
642,1308,893,-33.19
632,1318,892,-33.19
624,1326,891,-33.3
615,1335,890,-32.82
608,1342,889,-32.79
602,1348,888,-32.5
596,1354,887,-32.86
587,1363,886,-33.29
566,1384,885,-32.94
559,1391,884,-33.4
552,1398,883,-32.7
542,1408,882,-32.95
531,1419,881,-33.8
522,1428,880,-33
512,1438,879,-33.24
504,1446,878,-33.35
497,1453,877,-33.64
488,1462,876,-33.81
481,1469,875,-33.45
474,1476,874,-33.29
467,1483,873,-33.72
461,1489,872,-33.64
455,1495,871,-33.63
446,1504,870,-33.56
428,1522,869,-33.17
417,1533,868,-33.65
408,1542,867,-33.67
398,1552,866,-33.76
387,1563,865,-33.29
377,1573,864,-33.53
368,1582,863,-32.93
361,1589,862,-33.11
355,1595,861,-33.63
349,1601,860,-33.68
341,1609,859,-33.27
333,1617,858,-33.66
326,1624,857,-33.45
317,1633,856,-33.15
314,1636,855,-32.64
306,1644,854,-32.1
288,1662,853,-31.08
278,1672,852,-30.56
264,1686,851,-30.53
258,1692,850,-30.48
249,1701,849,-30.25
240,1710,848,-29.44
234,1716,847,-29.69
226,1724,846,-29.09
222,1728,845,-29.26
218,1732,844,-29.67
211,1739,843,-29.34
202,1748,842,-29.43
195,1755,841,-29.58
182,1768,840,-29.4
178,1772,839,-29.06
175,1775,838,-28.48
167,1783,837,-28.14
161,1789,836,-28.26
151,1799,835,-29.05
142,1808,834,-28.94
133,1817,833,-28.92
130,1820,832,-28.9
127,1823,831,-29.15
124,1826,830,-29.19
120,1830,829,-29.04
115,1835,828,-28.92
110,1840,827,-28.82
106,1844,826,-28.83
99,1851,825,-29.16
92,1858,824,-29.2
85,1865,823,-29.16
78,1872,822,-29.13
71,1879,821,-28.98
64,1886,820,-29.09
61,1889,819,-29.11
56,1894,818,-29
54,1896,817,-28.79
51,1899,816,-28.9
47,1903,815,-28.73
45,1905,814,-28.8
43,1907,813,-28.7
37,1913,812,-28.78
31,1919,811,-28.89
27,1923,810,-28.75
21,1929,809,-28.69
15,1935,808,-28.41
10,1940,807,-28.48
6,1944,806,-29.09
2,1948,805,-28.23
1,1949,804,-28.63
1,1949,803,-28.53
-4,1954,802,-28.77
-10,1960,801,-28.74
-23,1973,800,-28.82
-30,1980,799,-28.69
-33,1983,798,-28.7
-36,1986,797,-28.6
-49,1999,796,-28.66
-67,2017,795,-28.77
-85,2035,794,-28.81
-93,2043,793,-28.96
-102,2052,792,-28.87
-114,2064,791,-29.16
-124,2074,790,-29.03
-134,2084,789,-29.27
-137,2087,788,-29.49
-145,2095,787,-29.63
-156,2106,786,-29.14
