year (AD),age (BP),age (BP),temperature (degC),Foram_warm_season_T (degC),Foram_cold_season_T (degC),ageUncertainty (yr)
396.277,1553.723,1635.213,26.99,28.06,25.92,118.683
84.701,1865.299,1902.07,25.92,26.91,24.93,215.85
-517.789,2467.789,2413.585,26.87,28.01,25.73,300.671
-1093.854,3043.854,2919.103,27.37,28.35,26.39,326.584
-1644.61,3594.61,3420.326,27.22,27.79,26.65,309.17
-2170.947,4120.947,3915.552,27.235,28.02,26.45,239.188
-2673.565,4623.565,4417.206,26.91,27.91,25.91,238.134
-3153.018,5103.018,4925.127,27.355,27.92,26.79,310.433
-3609.743,5559.743,5427.011,27.3,28.09,26.51,333.127
-4044.101,5994.101,5924.568,27.36,28.23,26.49,316.875
-4456.399,6406.399,6416.088,27.355,28.13,26.58,253.828
-4846.926,6796.926,6879.267,28.04,28.55,27.53,238.051
-5215.978,7165.978,7315.482,27.455,28.23,26.68,290.554
-5563.882,7513.882,7745.2,27.285,28.04,26.53,308.068
-5891.017,7841.017,8168.421,27.635,28.27,27,296.265
-6197.839,8147.839,8482.529,27.98,28.49,27.47,268.867
-6484.893,8434.893,8694.1,26.64,27.47,25.81,246.603
-6752.83,8702.83,8901.158,27.035,28.13,25.94,211.066
-7002.426,8952.426,9103.705,27.145,28.13,26.16,152.024
-7234.586,9184.586,9464.458,27.465,28.27,26.66,160.816
-7450.355,9400.355,9758.14,27.765,28.58,26.95,130.079
-7650.93,9600.93,9846.481,27.31,28.01,26.61,134.968
-7837.658,9787.658,9930.999,28.09,28.59,27.59,130.086
-8012.04,9962.04,10027.683,26.91,28.01,25.81,134.195
-8175.733,10125.733,10134.393,26.24,27.54,24.94,147.45
-8330.549,10280.549,10237.655,26.68,27.89,25.47,145.834
-8478.446,10428.446,10337.469,26.585,27.57,25.6,126.641
-8621.526,10571.526,10533.354,26.755,27.82,25.69,139.119
-8762.024,10712.024,10790.393,26.715,27.81,25.62,147.301
-8902.299,10852.299,11011.361,27.015,28.15,25.88,165.231
-9044.818,10994.818,11234.918,26.47,27.8,25.14,213.456
-9192.143,11142.143,11430.222,26.725,27.76,25.69,228.563
-9346.913,11296.913,11602.302,28.48,28.81,28.15,230.219
-9511.824,11461.824,11768.891,27.7,28.42,26.98,235.918
-9689.607,11639.607,11904.096,27.7,28.43,26.97,233.487
-9883.004,11833.004,12008.908,27.47,28.38,26.56,223.733
-10094.741,12044.741,12109.996,26.2,27.32,25.08,215.736
-10327.501,12277.501,12207.359,27.57,28.35,26.79,207.321
-10583.889,12533.889,12583.233,27.13,28.27,25.99,196.828
-10866.406,12816.406,13407.896,27.15,28.18,26.12,238.684
-11177.406,13127.406,13971.803,26.33,27.58,25.08,243.584
-11519.064,13469.064,14125.359,27.81,28.6,27.02,229.523
-11893.335,13843.335,14246.01,27.09,27.95,26.23,221.495
-12301.909,14251.909,14338.029,27.94,28.43,27.45,216.566
-12746.172,14696.172,14426.147,26.545,27.71,25.38,212.597
-13227.155,15177.155,14590.255,28.12,28.46,27.78,220.036
-13745.489,15695.489,14824.962,26.07,27.21,24.93,248.869
