depth (cm),age (BP),age (missing),temperature (degC),temperature (missing),temperature (missing),temperatureComposite (degC),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
1,-19,-29,4.085,-10.332,16.585,-0.948,1,-9,7.035,3.889,Y,-0.576,-11.508,Y,18.602,16.156,Y
10,260,221,4.011,-9.336,16.142,-0.788,2,287,9.071,3.575,Y,-4.444,-10.806,Y,21.493,16.018,Y
20,570,494,4.431,-10.806,16.465,-1.03,3,620,5.751,3.889,Y,-3.588,-11.747,Y,18.552,16.235,Y
30,881,766,4.627,-9.738,17.742,-0.183,4,955,9.071,-0.142,Y,-1.663,-16.659,Y,21.493,11.593,Y
40,1191,1039,4.414,-8.749,18.068,0.184,5,1290,9.071,-0.142,Y,-4.444,-16.659,Y,21.493,17.156,Y
50,1316,1178,4.694,-6.929,17.454,0.679,6,1412,7.035,3.889,Y,-0.576,-8.746,Y,18.552,16.235,Y
60,1361,1245,4.991,-5.759,17.064,1.038,7,1465,7.035,3.889,Y,-0.576,-8.508,Y,18.552,16.11,Y
70,1407,1289,5.04,-6.916,17.46,0.801,8,1532,8.122,0.918,Y,-2.427,-14.682,Y,18.551,16.235,Y
80,1452,1319,4.182,-8.016,17.251,0.079,9,1602,5.751,0.918,Y,-3.588,-14.682,Y,18.552,16.235,Y
90,1498,1339,4.576,-7.509,17.476,0.454,10,1676,5.751,3.889,Y,-3.588,-8.747,Y,18.552,16.235,Y
100,1536,1374,4.61,-7.457,17.313,0.428,11,1724,8.122,0.918,Y,-2.452,-14.682,Y,18.551,16.235,Y
110,1567,1424,4.36,-7.704,17.224,0.233,12,1731,6.581,0.918,Y,-3.394,-14.682,Y,17.701,16.235,Y
120,1597,1465,3.058,-10.778,17.574,-1.109,13,1747,6.581,-0.142,Y,-3.394,-16.659,Y,19.122,17.056,Y
130,1628,1501,4.261,-8.406,17.493,0.056,14,1771,6.581,0.918,Y,-3.394,-14.682,Y,19.122,16.235,Y
140,1659,1537,4.871,-7.683,17.774,0.594,15,1793,8.122,0.918,Y,-2.427,-14.682,Y,18.613,17.056,Y
150,1689,1560,3.379,-10.2,17.492,-0.837,16,1817,8.122,-0.142,Y,-2.452,-16.659,Y,18.551,17.056,Y
160,1720,1586,2.361,-12.653,17.824,-1.883,17,1843,8.122,-0.896,Y,-2.452,-17.143,Y,19.122,16.389,Y
170,1751,1605,3.795,-9.615,17.56,-0.48,18,1885,9.443,-0.899,Y,-0.124,-17.146,Y,19.072,16.387,Y
180,1942,1797,4.904,-7.651,17.802,0.625,19,2080,8.122,0.918,Y,-2.427,-14.682,Y,18.613,17.056,Y
190,2293,2154,4.116,-8.839,17.533,-0.124,20,2423,8.089,-0.14,Y,-2.427,-16.658,Y,18.498,17.056,Y
200,2644,2506,4.933,-7.585,17.79,0.652,21,2786,8.122,0.918,Y,-2.427,-14.682,Y,18.613,17.056,Y
210,2995,2841,4.96,-7.545,17.809,0.681,22,3160,8.122,0.918,Y,-2.427,-14.682,Y,18.613,17.056,Y
220,3346,3171,4.967,-7.403,17.67,0.684,23,3540,8.122,0.918,Y,-2.427,-14.682,Y,18.551,17.056,Y
230,3697,3492,4.723,-8.07,17.909,0.46,24,3934,8.122,-0.14,Y,-2.427,-16.658,Y,18.613,17.056,Y
240,3910,3701,4.191,-8.693,17.714,0.01,25,4147,6.581,-0.14,Y,-3.394,-16.658,Y,19.122,17.301,Y
250,3984,3775,6.374,-5.933,18.7,1.987,26,4210,9.443,1.677,Y,-0.124,-15.265,Y,19.122,18.489,Y
260,4058,3822,4.473,-8.287,17.647,0.217,27,4310,8.122,-0.14,Y,-2.427,-16.658,Y,18.551,17.056,Y
270,4132,3866,3.775,-9.477,17.462,-0.474,28,4432,8.167,-0.14,Y,-1.389,-16.658,Y,17.726,17.301,Y
280,4206,3893,5.888,-6.056,18.075,1.575,29,4571,8.122,0.918,Y,-2.423,-14.682,Y,18.613,17.056,Y
290,4280,3922,4.901,-7.539,17.659,0.613,30,4711,8.122,0.918,Y,-2.427,-14.682,Y,18.551,17.056,Y
