OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,450,450,Core top,-48,NA,NA,Y,NA
LuS-5858,489,492,C14 Uncalibrated,4010,4060,3960,Y,Aquatic moss remains
Ua-16765,504,506.5,C14 Uncalibrated,4865,4940,4790,Y,Aquatic moss remains
LuS-5857,531,532.5,C14 Uncalibrated,7205,7265,7145,Y,Terrestrial plant remains
Ua-16766,552.4,554,C14 Uncalibrated,8255,8345,8165,Y,Terrestrial plant remains
Ua-16767,567.5,569,C14 Uncalibrated,8790,8885,8695,Y,Terrestrial plant remains
