age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-48.188,473,4730,4730,NA,NA,0,2,NA,NA,1
NA,508.5,5080,5090,1205,35,10,1,2,1,NA
NA,553.5,5530,5540,2520,45,10,1,3,1,NA
NA,599.5,5990,6000,3260,45,10,1,4,1,NA
NA,681,6800,6820,5230,50,20,1,5,1,NA
NA,739,7380,7400,7120,40,20,1,1,1,NA
NA,785.5,7850,7860,8315,70,10,1,6,1,NA
