depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing)
5,73.356,10.006,10.836,9.176
15,200.713,13.265,14.095,9.176
25,328.069,10.146,10.976,12.435
35,455.425,11.722,12.552,9.316
45,600,10.14,10.97,10.892
55,728.571,10.928,11.758,9.31
65,922.857,10.034,10.864,10.098
75,1117.14,12.103,12.933,9.204
85,1311.43,9.879,10.709,11.273
95,1410.17,10.741,11.571,9.049
105,1477.07,11.28,12.11,9.911
115,1543.97,10.853,11.683,10.45
125,1610.86,8.231,9.061,10.023
135,1677.76,10.252,11.082,7.401
145,1744.66,9.928,10.758,9.422
155,1811.55,11.967,12.797,9.098
165,1878.45,10.66,11.49,11.137
175,1945.34,10.954,11.784,9.83
185,2012.24,10.37,11.2,10.124
195,2079.14,10.594,11.424,9.54
205,2146.03,10.638,11.468,9.764
215,2212.93,9.746,10.576,9.808
225,2279.83,10.15,10.98,8.916
235,2366.57,11.089,11.919,9.32
245,2512.87,10.563,11.393,10.259
255,2659.17,10.344,11.174,9.733
265,2805.46,10.427,11.257,9.514
275,2951.76,9.157,9.987,9.597
285,3098.06,10.102,10.932,8.327
295,3244.35,9.576,10.406,9.272
305,3390.65,10.492,11.322,8.746
315,3536.94,12.611,13.441,9.662
325,3683.24,11.892,12.722,11.781
335,3829.54,11.487,12.317,11.062
345,3939.84,11.951,12.781,10.657
355,4006.14,15.901,16.731,11.121
365,4072.45,11.313,12.143,15.071
375,4138.75,11.325,12.155,10.483
385,4205.05,11.418,12.248,10.495
395,4271.36,14.8,15.63,10.588
405,4337.66,14.768,15.598,13.97
415,4403.97,8.403,9.233,13.938
425,4470.27,6.963,7.793,7.573
435,4536.58,12.475,13.305,6.133
445,4602.88,11.31,12.14,11.645
455,4669.18,12.475,13.305,10.48
475,4801.79,13.265,14.095,11.645
485,4868.1,12.727,13.557,12.435
495,4934.4,11.896,12.726,11.897
505,5000.71,14.212,15.042,11.066
515,5067.01,11.896,12.726,13.382
525,5137.74,11.068,11.898,11.066
535,5292.6,9.897,10.727,10.238
545,5447.47,11.9,12.73,9.067
555,5602.33,11.041,11.871,11.07
565,5757.19,14.58,15.41,10.211
575,5912.05,10.534,11.364,13.75
585,6066.91,14.513,15.343,9.704
595,6221.77,12.7,13.53,13.683
605,6376.63,14.199,15.029,11.87
615,6531.49,11.534,12.364,13.369
625,6686.35,13.65,14.48,10.704
635,6841.22,10.086,10.916,12.82
645,6996.08,16.791,17.621,9.256
655,7511.01,11.599,12.429,15.961
665,7795.92,11.301,12.131,10.769
675,7933.84,12.883,13.713,10.471
685,8020.12,9.702,10.532,12.053
695,8107.59,11.669,12.499,8.872
705,8200.19,16.163,16.993,10.839
715,8292.78,13.101,13.931,15.333
725,8385.37,11.743,12.573,12.271
735,8429.11,11.863,12.693,10.913
745,8489.27,12.242,13.072,11.033
755,8549.44,11.559,12.389,11.412
765,8609.61,13.021,13.851,10.729
775,8656.54,11.495,12.325,12.191
785,8662.55,14.052,14.882,10.665
795,8668.57,14.078,14.908,13.222
805,8674.59,13.133,13.963,13.248
815,8731.89,9.791,10.621,12.303
825,8835.68,13.8,14.63,8.961
835,8939.47,11.342,12.172,12.97
845,9043.26,12.633,13.463,10.512
855,9147.05,11.174,12.004,11.803
865,9250.83,11.583,12.413,10.344
875,9354.62,10.381,11.211,10.753
885,9458.41,12.327,13.157,9.551
895,9562.2,10.695,11.525,11.497
905,9769.77,8.872,9.702,9.865
915,9873.56,14.513,15.343,8.042
925,9977.35,8.872,9.702,13.683
935,10080.5,13.265,14.095,8.042
945,10182.1,12.475,13.305,12.435
955,10283.6,11.991,12.821,11.645
965,10385.2,10.612,11.442,11.161
975,10486.8,11.442,12.272,9.782
985,10588.4,7.679,8.509,10.612
995,10689.9,9.223,10.053,6.849
1005,10791.5,10.753,11.583,8.393
1015,10893.1,10.695,11.525,9.923
1025,10994.7,7.556,8.386,9.865
1035,11096.3,8.059,8.889,6.726
1045,11197.8,8.721,9.551,7.229
1055,11299.4,9.873,10.703,7.891
1065,11401,6.329,7.159,9.043
1075,11502.6,11.442,12.272,5.499
1095,11705.7,8.872,9.702,10.612
1125,11999.9,10.24,11.07,8.042
1145,12132.9,11.068,11.898,9.41
1155,12199.4,10.24,11.07,10.238
1165,12265.8,9.662,10.492,9.41
1175,12332.3,8.192,9.022,8.832
1185,12398.8,12.11,12.94,7.362
1195,12465.2,7.489,8.319,11.28
1205,12531.7,9.105,9.935,6.659
1215,12598.2,10.082,10.912,8.275
1225,12664.6,9.929,10.759,9.252
1235,12731.1,8.872,9.702,9.099
1245,12797.6,8.496,9.326,8.042
1255,12864.1,7.082,7.912,7.666
1265,12930.5,9.223,10.053,6.252
1275,12997,6.97,7.8,8.393
1285,13063.5,10.48,11.31,6.14
1295,13132.7,8.239,9.069,9.65
1305,13208.2,9.303,10.133,7.409
1315,13283.7,8.721,9.551,8.473
1325,13359.2,9.623,10.453,7.891
1335,13434.7,8.968,9.798,8.793
1345,13510.2,9.623,10.453,8.138
1355,13585.7,8.531,9.361,8.793
1365,13661.2,11.657,12.487,7.701
1375,13736.7,8.19,9.02,10.827
1385,13812.2,10.554,11.384,7.36
1395,13887.8,8.47,9.3,9.724
1405,13963.3,8.107,8.937,7.64
1415,14038.8,8.721,9.551,7.277
1425,14114.3,9.056,9.886,7.891
1435,14189.8,8.633,9.463,8.226
1445,14265.3,5.757,6.587,7.803
1455,14340.8,8.338,9.168,4.927
1465,14416.3,9.039,9.869,7.508
