depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1_s),thickness (mm),age_type (),lab_id ()
2,10,30,506,36,20,1,3
10,90,110,1547,49,20,1,1
22,210,230,2943,45,20,1,2
42,410,430,4475,38,20,1,4
58,570,590,8090,70,20,1,5
78,770,790,8940,90,20,1,6
