year (AD),age (BP),depth (unknown),precipitation (mm/yr),temperature (degC),precipitation (mm/yr)
1943,7,1,814,2.5,248
1915,35,2,1079,1.8,311
1887,63,3,928,2.4,297
1859,91,4,1079,3.3,306
1830,120,5,986,2,311
1802,148,6,917,1.2,286
1773,177,7,1194,1.6,359
1744,206,8,937,2.6,315
1714,236,9,1148,2.9,313
1685,265,10,1199,4.5,309
1655,295,11,1024,3.7,305
1625,325,12,1063,3.5,300
1595,355,13,1063,3.5,300
1564,386,14,1099,4,304
1534,416,15,1100,5.3,272
1503,447,16,1079,3.3,306
1472,478,17,1063,3.5,300
1441,509,18,1136,2.9,312
1409,541,19,1110,4.6,285
1377,573,20,1069,3.1,305
1345,605,21,1143,5,266
1281,669,22,1195,4.9,308
1150,800,23,1134,6,257
1116,834,24,1093,5,298
1083,867,25,1069,3.1,305
1049,901,26,1069,3.1,305
1015,935,27,1134,6,257
980,970,28,1189,4.3,308
946,1004,29,1202,4.3,307
911,1039,30,1093,4.1,303
876,1074,31,1143,5,266
841,1109,32,1138,2.8,312
806,1144,33,1143,5,266
735,1215,34,1189,4.3,308
699,1251,35,1069,4.1,300
663,1287,36,1124,7,260
626,1324,37,1121,4.1,303
590,1360,38,1189,4.3,308
553,1397,39,1202,4.3,307
516,1434,40,1094,5.2,282
479,1471,41,1189,4.3,308
441,1509,42,1040,5.3,262
404,1546,43,895,4.1,287
366,1584,44,1134,6,257
328,1622,45,1093,4.1,303
289,1661,46,1143,5,266
251,1699,47,900,4,281
212,1738,48,1134,6,257
173,1777,49,1119,5.1,266
134,1816,50,1143,5,266
95,1855,51,885,4.5,242
55,1895,52,1107,5.2,281
15,1935,53,966,5.6,251
-25,1975,54,1084,3.7,313
-65,2015,55,841,4.2,273
-105,2055,56,1056,5,262
-146,2096,57,846,4.3,283
-187,2137,58,1138,4.5,317
-228,2178,59,852,4.1,241
-269,2219,60,958,4.1,265
-352,2302,61,1117,5.3,275
-394,2344,62,850,4.1,262
-436,2386,63,1031,4.9,272
-478,2428,64,1097,4.1,301
-521,2471,65,1044,4.4,265
-607,2557,66,958,4.1,265
-650,2600,67,819,3.9,284
-693,2643,68,1199,4.5,309
-737,2687,69,845,4.2,260
-781,2731,70,925,5.1,268
-825,2775,71,959,5.2,248
-869,2819,72,883,4.3,272
-913,2863,73,959,5.2,248
-958,2908,74,1050,4.5,268
-1003,2953,75,896,4.3,275
-1048,2998,76,1083,4.9,274
-1093,3043,77,926,5.3,269
-1139,3089,78,951,5.3,271
-1185,3135,79,959,5.2,248
-1231,3181,80,989,5.7,261
-1277,3227,81,874,4.4,232
-1323,3273,82,867,4.8,224
-1370,3320,83,842,4.1,258
-1417,3367,84,1050,4.5,268
-1464,3414,85,825,4.1,265
-1511,3461,86,871,4,278
-1558,3508,87,906,4.5,244
-1606,3556,88,830,4.1,267
-1654,3604,89,838,4.2,248
-1702,3652,90,1091,6.2,249
-1750,3700,91,926,4.4,274
-1799,3749,92,826,4.1,265
-1847,3797,93,889,4.5,220
-1896,3846,94,858,4.1,243
-1945,3895,95,822,4,267
-1995,3945,96,829,4.8,270
-2094,4044,97,821,4.4,251
-2144,4094,98,856,3.7,241
-2194,4144,99,840,3.9,249
-2245,4195,100,812,4,285
-2295,4245,101,840,3.9,249
-2346,4296,102,845,4.2,234
-2397,4347,103,877,4.1,261
-2448,4398,104,811,3.9,282
-2552,4502,105,842,4.5,253
-2761,4711,106,830,4.5,250
-2866,4816,107,824,5.3,255
-2919,4869,108,832,3.8,268
-2973,4923,109,836,4.3,250
-3080,5030,110,826,3.8,266
-3189,5139,111,832,3.8,268
-3298,5248,112,840,3.9,249
-3422,5372,113,803,4.3,281
-3463,5413,114,881,5.6,277
-3519,5469,115,818,5.1,278
-4028,5978,116,879,4.6,290
-4614,6564,117,801,4.1,302
-5221,7171,118,885,4.7,263
-5850,7800,119,784,4.3,279
-6500,8450,120,866,4.8,271
-7171,9121,121,916,4.8,241
