depth (cm),age (Calibrated),temperature (degC),ageMin (unitless),AgeOld (unitless),uncertaintyHigh (unitless),uncertaintyLow (unitless),ReliabIeYN1 (unitless)
54.5,2048.2,13.388,1757.8,2375.2,13.948,12.828,Y
55.5,2125.8,12.163,1772.7,2530.4,12.723,11.603,Y
56.5,2201.9,13.252,1912.2,2555.1,13.812,12.692,Y
57.5,2278.8,12.061,2033.4,2587.7,12.621,11.501,Y
58.5,2356.1,12.133,2135.2,2621.7,12.693,11.573,Y
59.5,2433.3,11.402,2208.3,2665.9,11.963,10.842,Y
60.5,2510.4,12.449,2267.4,2743.9,13.009,11.889,Y
61.5,2566.5,12.649,2388.2,2771.5,13.209,12.089,Y
62.5,2622.7,12.31,2467.3,2811.2,12.87,11.75,Y
63.5,2678.6,13.277,2500.9,2872,13.836,12.716,Y
64.5,2735,12.486,2524.2,2956.8,13.046,11.926,Y
65.5,2791.7,12.783,2544.7,3056.4,13.343,12.223,Y
66.5,2831.9,12.907,2605.3,3071.6,13.467,12.347,Y
67.5,2872.5,12.96,2649,3091.4,13.52,12.4,Y
68.5,2913.3,11.501,2675.9,3116.5,12.061,10.941,Y
69.5,2953.8,12.628,2703.1,3150.6,13.188,12.068,Y
70.5,2994,11.732,2730.3,3199.1,12.292,11.172,Y
71.5,3046.9,12.071,2849.8,3223.1,12.631,11.511,Y
72.5,3099.7,12.175,2952.9,3247.8,12.735,11.615,Y
73.5,3152.8,12.708,3011.6,3290,13.268,12.148,Y
74.5,3206,13.468,3050.8,3372.5,14.028,12.908,Y
75.5,3259.2,12.351,3079.6,3479.4,12.911,11.791,Y
76.5,3336.6,11.511,3136.4,3567.5,12.071,10.951,Y
77.5,3413.5,11.967,3165.5,3711.8,12.527,11.407,Y
78.5,3488.8,12.976,3190.9,3885.6,13.536,12.416,Y
79.5,3563.7,12.051,3210.1,4078.9,12.611,11.491,Y
80.5,3639.6,12.466,3226.6,4266.1,13.025,11.905,Y
81.5,3726.9,12.902,3295.1,4340.1,13.462,12.342,Y
82.5,3813.5,13.536,3335.6,4446.8,14.096,12.976,Y
83.5,3900.6,13.649,3375,4572.5,14.209,13.088,Y
84.5,3986.2,13.312,3408.8,4710.8,13.872,12.752,Y
85.5,4070.7,12.225,3433,4847.5,12.785,11.665,Y
86.5,4148.4,13.195,3504.9,4889,13.755,12.635,Y
87.5,4226,12.941,3562.1,4930,13.501,12.381,Y
88.5,4305.3,12.571,3609.9,4990.4,13.131,12.011,Y
89.5,4383.2,12.514,3652.2,5078.3,13.074,11.954,Y
90.5,4461.6,12.171,3686.6,5171.8,12.731,11.611,Y
91.5,4543.3,12.948,3824.5,5209.3,13.508,12.388,Y
92.5,4624.7,12.255,3920.3,5248.6,12.815,11.695,Y
93.5,4707.9,11.746,4000,5297.7,12.306,11.186,Y
94.5,4791.2,11.789,4057.5,5357.2,12.348,11.229,Y
95.5,4873.7,12.427,4111,5462.8,12.987,11.867,Y
96.5,4951.8,13.4,4293.7,5475.6,13.96,12.84,Y
97.5,5029.9,12.524,4459.5,5497.1,13.084,11.964,Y
98.5,5107.5,12.389,4587.8,5514.4,12.948,11.829,Y
99.5,5185,12.073,4682.7,5550.6,12.633,11.513,Y
100.5,5263.4,12.649,4759.2,5614.5,13.209,12.089,Y
101.5,5339,12.893,4927.2,5632.8,13.453,12.333,Y
102.5,5414.9,12.047,5087.6,5657.2,12.607,11.487,Y
103.5,5491.9,11.582,5196.3,5699.8,12.143,11.023,Y
104.5,5568.7,12.868,5277,5755.9,13.428,12.308,Y
105.5,5645.8,12.569,5341.5,5845.7,13.129,12.009,Y
106.5,5725.2,12.253,5438.1,5919,12.813,11.693,Y
107.5,5805.8,12.009,5530.7,6016.2,12.569,11.449,Y
108.5,5885.5,11.294,5598.5,6126.5,11.854,10.734,Y
109.5,5965,11.946,5626.9,6260.2,12.506,11.386,Y
110.5,6044.3,11.794,5648.7,6400.7,12.354,11.234,Y
111.5,6120.1,12.336,5797.5,6421.1,12.896,11.776,Y
112.5,6195.5,12.135,5940.1,6443.4,12.695,11.575,Y
113.5,6270.8,12.007,6063.3,6465.5,12.567,11.447,Y
114.5,6346.9,11.072,6170,6502,11.633,10.512,Y
115.5,6423.3,12.424,6259.4,6569.3,12.984,11.864,Y
116.5,6548.7,12.344,6401,6679.9,12.904,11.784,Y
117.5,6674,12.089,6480.7,6886,12.649,11.529,Y
118.5,6798.6,12.58,6510.7,7130.9,13.14,12.02,Y
119.5,6922.6,12.514,6535.1,7385.7,13.074,11.954,Y
120.5,7047.4,12.398,6564.8,7645.8,12.958,11.838,Y
