year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],temperature (degC) [1-1],CoreSect1H (missing) [1-1],Top (missing) [1-1],Bot (missing) [1-1],sumUK37 (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CaCO3MAR (g/cm2/yr) [2-1],core (missing) [2-1],section (missing) [2-1],top (missing) [2-1],bot (missing) [2-1],sedRate (missing) [2-1],Corg (missing) [2-1],CaCO3 (missing) [2-1],WetBD (missing) [2-1],EstDryBD (missing) [2-1],bulkMAR (missing) [2-1],CordMAR (missing) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSi (percent) [3-1],year (AD) [4-1],age (BP) [4-1],depth (cm) [4-1],Thalassionema_nitzschioides (percent) [4-1],core_section (missing) [4-1],range (missing) [4-1],Actinocyclus_curvatulus (percent) [4-1],Azpeitia_nodulifer (percent) [4-1],A_tabularis (percent) [4-1],Coscinodiscus_radiatus (percent) [4-1],Delphineis (percent) [4-1],Hemidiscus_cuneiformis (percent) [4-1],Neodenticula_seminae (percent) [4-1],Nitzschia_interruptestriata (percent) [4-1],N_sicula (percent) [4-1],Pseudoeunotia_doliolus (percent) [4-1],Rhizosolenia (percent) [4-1],Roperia_tesselata (percent) [4-1],Stephanopyxis (percent) [4-1],Thalassiosira_excentrica (percent) [4-1],T_oestrupii (percent) [4-1],T_pacifica (percent) [4-1],T_spp (percent) [4-1],Thalassiothrix_longissima (percent) [4-1],Other_planktic (percent) [4-1],Actinoptychus (percent) [4-1],Paralia_sucata (percent) [4-1],Minidiscus? (percent) [4-1],Benthic (percent) [4-1],Freshwater_planktic (percent) [4-1],Reworked (percent) [4-1],total_non_Chaetoceros_counted (missing) [4-1],Chaetoceros_spores (missing) [4-1],Diatoms_per_traverse (missing) [4-1],year (AD) [5-1],age (BP) [5-1],depth (cm) [5-1],Sequoia (percent) [5-1],core_section (missing) [5-1],interval (cm) [5-1],Abies (percent) [5-1],Alnus (percent) [5-1],Artemisia (percent) [5-1],Chenopodiacaeae (percent) [5-1],Compositae (percent) [5-1],Cyperaceae (percent) [5-1],Gramineae (percent) [5-1],Picea (percent) [5-1],Pinus (percent) [5-1],Pseudtsuga (percent) [5-1],Quercus (percent) [5-1],RRA (missing) [5-1],Tsuga_heterophylla (missing) [5-1],T_mertensianna (missing) [5-1],TCT (missing) [5-1],Total_grains_counted (missing) [5-1],pollen_grains/gram (missing) [5-1]
1790,160,0.06,11.7,1,5,7,2.93,1790,160,0.06,0.403,1H,1,5,7,0.38,2.13,1.37,1.5,0.77,29.39,0.626,770,1180,0.45,3.73,1790,160,0.06,46.1,1H-1,-2,3,0.4,0.4,3,0.9,0.4,NA,NA,0.2,13.7,1.7,2.6,1.3,3,2.2,4.3,5.7,3.5,1.7,0.4,0.9,0.9,2.6,0.4,0.4,230,67,167,1790,160,0.06,26,1H-1,-2,NA,21.9,4.7,3.6,5.5,0.6,5.2,NA,8,NA,12.7,3.4,0.3,NA,8.1,616,7
1790,160,0.06,11.6,1,5,7,2.76,1660,290,0.11,0.403,1H,1,10,12,0.38,2.08,1.37,1.5,0.77,29.39,0.611,660,1290,0.49,3.7,1660,290,0.11,50.4,1H-1,-2,4.4,0.5,NA,4.9,1.5,1,1,NA,0.5,12.3,1.5,1.5,NA,2.5,4,3.5,2,1.7,3,1,1,NA,2,NA,NA,203,74,83,1660,290,0.11,19.2,1H-1,-2,1.9,12.9,2.5,2.2,2.8,0.9,1.6,6,22,2.8,8.8,0.9,8.8,NA,6.6,318,17
1660,290,0.11,11.5,1,10,12,2.66,1500,450,0.17,0.453,1H,1,15,19,0.38,2.15,1.54,1.5,0.77,29.39,0.632,560,1390,0.53,3.93,1400,550,0.21,54.6,1H-1,-2,2.2,NA,1.8,2.7,0.2,0.4,1.3,NA,NA,12.2,2.2,0.4,0.9,1.3,1.3,3.5,4.4,2,0.4,1.3,NA,NA,5.3,1.3,NA,226,70,47,1530,420,0.16,23.1,1H-1,-2,0.9,10.9,2.8,4.4,3.1,0.3,2.5,4.1,19.7,3.8,8.4,4.4,7.8,NA,3.8,320,17
1660,290,0.11,11.4,1,10,12,2.61,1400,550,0.21,0.403,1H,1,20,22,0.38,2.16,1.37,1.5,0.77,29.39,0.635,450,1500,0.57,3.57,1270,680,0.26,53.2,1H-1,-2,1.4,NA,0.5,2.8,NA,NA,1.9,NA,NA,16.6,1.4,0.9,0.5,4.7,3.3,3.7,3.3,2.6,0.5,0.9,0.9,NA,0.5,0.5,NA,214,73,57,1400,550,0.21,28.9,1H-1,-2,1,10.3,2.9,1.9,3.2,1,3.2,3.5,21.2,1.9,8.7,1,5.8,NA,5.5,311,24
1400,550,0.21,11.3,1,20,22,2.38,1270,680,0.26,0.315,1H,1,25,27,0.38,2.17,1.07,1.5,0.77,29.39,0.638,340,1610,0.61,3.47,1130,820,0.31,46.7,1H-1,-2,1.3,NA,NA,3.9,0.2,NA,0.7,NA,0.4,14.6,2.2,1.3,NA,5.7,2.6,7.4,7,1.7,0.4,0.9,NA,0.4,1.7,0.9,NA,230,71,293,1270,680,0.26,22.4,1H-1,-2,1.3,9.4,1.3,2.3,1.3,0.3,2.9,4.9,26,2.3,9.4,0.3,9.7,NA,6.2,308,12
1270,680,0.26,11.4,1,25,27,2.7,1130,820,0.31,0.383,1H,1,30,32,0.38,2.14,1.23,1.53,0.82,31.15,0.667,240,1710,0.65,3.65,1000,950,0.36,53.1,1H-1,-2,1.5,NA,NA,3,0.5,1,0.5,NA,0.5,16.9,3,0.5,NA,4.5,1.5,3,2.5,2.7,3,NA,NA,NA,2,0.5,NA,202,69,321,1080,870,0.33,26.2,1H-1,-2,NA,24.4,2.9,3.8,5.9,0.5,2.6,0.3,8.5,0.3,10.8,3.2,1,NA,9.7,627,10
1130,820,0.31,11.6,1,30,32,2.34,1000,950,0.36,0.438,1H,1,35,37,0.38,2.06,1.38,1.54,0.84,31.74,0.654,130,1820,0.69,3.35,740,1210,0.46,57.6,1H-1,-2,2.4,NA,NA,3.9,NA,NA,2.2,1,NA,12.1,0.5,0.5,NA,2.4,1,4.8,2.9,1.9,1.5,0.5,NA,1.9,2.4,0.5,NA,207,74,52,980,970,0.37,29.7,1H-1,-2,2.2,8.2,3.8,1.9,1.9,NA,4.1,7.6,18.4,3.2,5.1,0.6,7.9,NA,5.4,316,10
1000,950,0.36,11.3,1,35,37,2.4,830,1120,0.43,0.676,1H,1,40,45,0.38,2.03,2.13,1.54,0.84,31.74,0.644,30,1920,0.73,3.64,610,1340,0.51,55.4,1H-1,-2,4,NA,0.4,2.2,NA,0.4,NA,0.2,NA,14.1,1.3,0.9,0.4,1.3,2.2,1.3,7.5,2,2.6,0.4,0.4,1.3,1.3,NA,NA,227,74,417,870,1080,0.41,22.9,1H-1,-2,1.3,11,1.3,0.6,2.9,1,3.5,4.8,21.9,3.5,8.4,1.6,9,NA,6.1,310,13
740,1210,0.46,11.5,1,45,7,2.21,740,1210,0.46,0.368,1H,1,45,47,0.38,2,1.16,1.54,0.84,31.74,0.635,-80,2030,0.77,3.78,480,1470,0.56,53.5,1H-1,-2,1.5,NA,1,2.5,0.2,1,1.7,0.2,NA,24.1,1.5,NA,NA,2,1,3.5,NA,1.2,0.5,NA,NA,0.5,2.5,1.5,NA,201,78,226,740,1210,0.46,18.6,1H-1,-2,2,13.9,3.1,1.4,2.4,0.3,3.1,6.8,27.1,4.4,4.7,0.7,6.1,NA,5.4,295,13
610,1340,0.51,11.5,1,50,52,2.28,610,1340,0.51,0.414,1H,1,50,52,0.38,2,1.28,1.55,0.85,32.33,0.647,-180,2130,0.81,4.01,340,1610,0.61,44.1,1H-1,-2,1.5,NA,NA,5,0.7,NA,NA,0.5,NA,19.3,3,0.5,1,3,3.5,3.5,4.5,3.2,2,1,NA,1,2,1,NA,202,78,339,610,1340,0.51,26.5,1H-1,-2,1.3,12.9,2.9,2.9,2.9,0.3,3.2,4.9,17.5,1.9,9.7,1.6,5.2,NA,6.1,309,16
