depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
5,Carbon-14,108762,1,101,bulk sediment,NA
94.5,Carbon-14,108763,80,1390,bulk sediment,NA
194.5,Carbon-14,108764,100,2170,bulk sediment,NA
295,Carbon-14,108765,110,3090,bulk sediment,NA
395,Carbon-14,108766,90,3820,bulk sediment,NA
495,Carbon-14,108767,120,4900,bulk sediment,NA
592,Carbon-14,108768,150,6480,bulk sediment,NA
695,Carbon-14,108769,110,7430,bulk sediment,NA
787,Carbon-14,108770,140,8310,bulk sediment,NA
884,Carbon-14,108771,140,10370,bulk sediment,NA
983.5,Carbon-14,108772,540,15180,bulk sediment,Baker et al. (1992) reject as too old.
1077.5,Carbon-14,108773,1100,22600,bulk sediment,Baker et al. (1992) reject as too old.
