year (AD),age (BP),d18O (permil)
-1703,3653,-5.99
-1709,3659,-6.343
-1715,3665,-6.371
-1721,3671,-6.157
-1727,3677,-6.107
-1733,3683,-6.139
-1739,3689,-6.265
-1745,3695,-6.42
-1751,3701,-6.456
-1757,3707,-6.474
-1763,3713,-6.6
-1769,3719,-6.737
-1775,3725,-6.997
-1781,3731,-7.168
-1787,3737,-6.738
-1793,3743,-6.389
-1799,3749,-6.367
-1805,3755,-6.402
-1811,3761,-6.606
-1817,3767,-6.723
-1823,3773,-6.637
-1829,3779,-6.627
-1835,3785,-6.775
-1841,3791,-6.809
-1847,3797,-6.607
-1853,3803,-6.507
-1859,3809,-6.625
-1865,3815,-6.783
-1871,3821,-7.039
-1877,3827,-7.19
-1883,3833,-6.974
-1889,3839,-6.782
-1895,3845,-6.726
-1901,3851,-6.673
-1907,3857,-6.653
-1913,3863,-6.634
-1919,3869,-6.664
-1925,3875,-6.696
-1931,3881,-6.68
-1937,3887,-6.655
-1943,3893,-6.168
-1949,3899,-5.518
-1955,3905,-4.868
-1961,3911,-4.627
-1967,3917,-4.593
-1973,3923,-4.704
-1979,3929,-4.723
-1985,3935,-5.45
-1991,3941,-5.787
-1997,3947,-4.835
-2003,3953,-4.559
-2009,3959,-4.757
-2015,3965,-5.084
-2021,3971,-4.683
-2027,3977,-4.615
-2033,3983,-4.711
-2039,3989,-4.85
-2045,3995,-4.693
-2051,4001,-4.708
-2057,4007,-4.707
-2063,4013,-4.708
-2069,4019,-4.843
-2075,4025,-4.886
-2081,4031,-4.658
-2087,4037,-4.456
-2093,4043,-4.484
-2099,4049,-4.512
-2105,4055,-4.898
-2111,4061,-5.303
-2117,4067,-5.692
-2123,4073,-5.891
-2129,4079,-5.68
-2135,4085,-5.469
-2141,4091,-5.669
-2147,4097,-5.868
-2153,4103,-5.776
-2159,4109,-5.429
-2165,4115,-5.334
-2171,4121,-5.71
-2177,4127,-6.114
-2183,4133,-6.01
-2189,4139,-5.441
-2195,4145,-5.496
-2201,4151,-5.703
-2207,4157,-6.184
-2213,4163,-6.114
-2219,4169,-5.838
-2225,4175,-5.725
-2231,4181,-5.91
-2237,4187,-5.849
-2243,4193,-5.713
-2249,4199,-5.681
-2255,4205,-5.706
-2261,4211,-5.179
-2267,4217,-5.584
-2273,4223,-5.599
-2279,4229,-5.748
-2285,4235,-5.871
-2291,4241,-5.729
-2297,4247,-5.65
-2303,4253,-5.572
-2309,4259,-5.587
-2315,4265,-5.733
-2321,4271,-5.88
-2327,4277,-5.786
-2333,4283,-5.686
-2339,4289,-5.663
-2345,4295,-5.755
-2351,4301,-5.604
-2357,4307,-5.347
-2363,4313,-6.236
-2369,4319,-6.443
-2375,4325,-6.402
-2381,4331,-6.588
-2387,4337,-6.548
-2393,4343,-6.212
-2399,4349,-6.398
-2405,4355,-6.566
-2411,4361,-6.401
-2417,4367,-6.235
-2423,4373,-6.07
-2429,4379,-5.85
-2435,4385,-5.676
-2441,4391,-5.625
-2447,4397,-5.586
-2453,4403,-5.591
-2459,4409,-6
-2465,4415,-6.346
-2471,4421,-6.087
-2477,4427,-6.322
-2483,4433,-6.694
-2507,4457,-6.085
-2513,4463,-5.862
-2519,4469,-6.151
-2525,4475,-6.288
-2531,4481,-5.901
-2537,4487,-6.218
-2543,4493,-6.611
-2549,4499,-6.212
-2555,4505,-6.183
-2561,4511,-6.457
-2567,4517,-6.23
-2573,4523,-5.879
-2579,4529,-6.052
-2585,4535,-6.204
-2591,4541,-6.304
-2597,4547,-6.476
-2603,4553,-6.651
-2609,4559,-6.188
-2615,4565,-6.072
-2621,4571,-6.134
-2627,4577,-6.089
-2633,4583,-6.077
-2639,4589,-6.205
-2645,4595,-6.259
-2651,4601,-6.203
-2657,4607,-6.325
-2663,4613,-6.419
-2669,4619,-6.196
-2675,4625,-6.208
-2681,4631,-6.296
-2687,4637,-6.163
-2693,4643,-6.056
-2699,4649,-6.055
-2705,4655,-6.034
-2711,4661,-6.003
-2717,4667,-6.032
-2723,4673,-6.063
-2729,4679,-6.11
-2735,4685,-6.139
-2741,4691,-6.165
-2747,4697,-6.22
-2753,4703,-6.343
-2759,4709,-6.517
-2765,4715,-6.618
-2771,4721,-6.647
-2777,4727,-6.626
-2783,4733,-6.545
-2789,4739,-6.308
-2795,4745,-6.49
-2801,4751,-6.693
-2807,4757,-6.491
-2813,4763,-6.439
-2819,4769,-6.475
-2825,4775,-6.194
-2831,4781,-5.94
-2837,4787,-6.043
-2843,4793,-6.083
-2849,4799,-6.022
-2855,4805,-6.314
-2861,4811,-6.576
-2867,4817,-6.251
-2873,4823,-6.121
-2879,4829,-6.085
-2885,4835,-6.081
-2891,4841,-6.102
-2897,4847,-6.092
-2903,4853,-5.713
-2909,4859,-5.691
-2915,4865,-5.746
-2921,4871,-5.765
-2927,4877,-5.546
-2933,4883,-5.796
-2939,4889,-6.159
-2945,4895,-6.057
-2951,4901,-6.033
-2957,4907,-6.182
-2963,4913,-6.119
-2969,4919,-5.962
-2975,4925,-6.193
-2981,4931,-6.328
-2987,4937,-6.136
-2993,4943,-6.207
