year (AD),age (BP),d13C (permil),d18O (permil),temperature (permil)
1497,453,-3.13,-7.98,-3.13
1487,463,-3.21,-7.21,-3.21
1477,473,-3.13,-7.29,-3.13
1472,478,-3.06,-8.01,-3.06
1467,483,-2.99,-7.14,-2.99
1461,489,-3.11,-7.05,-3.11
1456,494,-3.09,-6.7,-3.09
1451,499,-2.99,-6.86,-2.99
1446,504,-2.9,-7.46,-2.9
1436,514,-3.06,-7.09,-3.06
1436,514,-3.34,-8.03,-3.34
1426,524,-2.95,-7.61,-2.95
1421,529,-3.47,-8.52,-3.47
1416,534,-3.39,-7.24,-3.39
1406,544,-3.29,-7.35,-3.29
1401,549,-3.19,-6.49,-3.19
1396,554,-3.2,-6.95,-3.2
1385,565,-3.14,-6.66,-3.14
1380,570,-3.35,-7.91,-3.35
1375,575,-3.21,-7.27,-3.21
1370,580,-3.04,-6.03,-3.04
1365,585,-3.11,-6.89,-3.11
1360,590,-3.23,-5.99,-3.23
1350,600,-3.48,-6.9,-3.48
1345,605,-3.19,-6.45,-3.19
1330,620,-3.14,-6.71,-3.14
1320,630,-3.54,-7.42,-3.54
1309,641,-3.16,-7.27,-3.16
1304,646,-3,-6.78,-3
1299,651,-3.1,-7.16,-3.1
1295,655,-3.22,-7.95,-3.22
1294,656,-3.24,-8.02,-3.24
1289,661,-3.07,-7.19,-3.07
1279,671,-3.08,-6.74,-3.08
1274,676,-3.13,-7.05,-3.13
1269,681,-3.16,-7.32,-3.16
1259,691,-3.2,-7.95,-3.2
1254,696,-3.26,-6.35,-3.26
1243,707,-3.45,-8.46,-3.45
1233,717,-3.33,-7.75,-3.33
1228,722,-3.22,-7.06,-3.22
1218,732,-3.44,-7.94,-3.44
1203,747,-3.28,-6.76,-3.28
1180,770,-3.11,-5.58,-3.11
1143,807,-3.24,-7.88,-3.24
1122,828,-3.44,-8.29,-3.44
1064,886,-3.09,-7.43,-3.09
1007,943,-3.14,-7.02,-3.14
980,970,-3.28,-7.77,-3.28
949,1001,-3.58,-8.25,-3.58
909,1041,-3.3,-7.74,-3.3
891,1059,-3.34,-7.78,-3.34
834,1116,-3.15,-6.32,-3.15
833,1117,-3.31,-7.72,-3.31
776,1174,-3.51,-7.67,-3.51
718,1232,-3.32,-6.71,-3.32
661,1289,-3.21,-7.76,-3.21
637,1313,-3.31,-7.71,-3.31
603,1347,-3.16,-7.04,-3.16
511,1439,-3.48,-7.14,-3.48
434,1516,-3.37,-7.73,-3.37
418,1532,-3.33,-7.36,-3.33
315,1635,-3.17,-6.08,-3.17
257,1693,-3.46,-7.37,-3.46
223,1727,-3.75,-8.65,-3.75
223,1727,-3.32,-7.83,-3.32
157,1793,-3.5,-7.79,-3.5
90,1860,-3.51,-7.14,-3.51
23,1927,-3.45,-7.29,-3.45
6,1944,-3.35,-7.73,-3.35
-44,1994,-3.39,-7.31,-3.39
-120,2070,-3.39,-7.25,-3.39
-186,2136,-3.09,-6.7,-3.09
-218,2168,-3.13,-7.52,-3.13
-262,2212,-3.01,-5.88,-3.01
-329,2279,-3.36,-7.97,-3.36
-396,2346,-3.24,-6.82,-3.24
-447,2397,-3.41,-7.45,-3.41
-463,2413,-3.18,-7.37,-3.18
-538,2488,-3.43,-7.47,-3.43
-605,2555,-3.28,-7.87,-3.28
-672,2622,-3.34,-6.89,-3.34
-682,2632,-3.35,-7.65,-3.35
-747,2697,-3.16,-6.63,-3.16
-814,2764,-3.09,-6.1,-3.09
-864,2814,-3.19,-6.29,-3.19
-884,2834,-3.01,-5.15,-3.01
-921,2871,-3.53,-7.47,-3.53
-975,2925,-3.22,-6.02,-3.22
-1055,3005,-3.18,-6.71,-3.18
-1145,3095,-3.04,-4.32,-3.04
-1165,3115,-3.06,-6.08,-3.06
-1226,3176,-3.38,-7,-3.38
-1306,3256,-2.93,-4.61,-2.93
-1376,3326,-2.85,-4.88,-2.85
-1413,3363,-3.04,-6.06,-3.04
-1477,3427,-3.1,-5.54,-3.1
-1557,3507,-3.34,-7.41,-3.34
-1563,3513,-3.24,-6.41,-3.24
-1637,3587,-3.35,-7.63,-3.35
-1664,3614,-3.38,-6.64,-3.38
-1728,3678,-3.21,-6.74,-3.21
-1808,3758,-3.05,-7,-3.05
-1889,3839,-3.32,-6.88,-3.32
-1919,3869,-3.22,-6.53,-3.22
-1979,3929,-3.31,-7.78,-3.31
-2059,4009,-3.44,-6.17,-3.44
-2140,4090,-3.31,-5.67,-3.31
-2176,4126,-3.17,-7.74,-3.17
-2190,4140,-3.62,-7.94,-3.62
-2435,4385,-3.4,-8.13,-3.4
-2696,4646,-3.39,-8.44,-3.39
-2958,4908,-3.49,-8.69,-3.49
-2963,4913,-3.19,-7.77,-3.19
-2974,4924,-3.39,-7.44,-3.39
-2985,4935,-3.33,-7.11,-3.33
-2992,4942,-3.22,-7.98,-3.22
-3003,4953,-3.55,-7.17,-3.55
-3010,4960,-3.29,-7.18,-3.29
-3017,4967,-3.23,-7.59,-3.23
-3024,4974,-3.23,-7.48,-3.23
-3031,4981,-3.34,-7.24,-3.34
-3036,4986,-3.32,-6.53,-3.32
-3042,4992,-3.3,-6.75,-3.3
-3060,5010,-3.39,-6.84,-3.39
-3077,5027,-3.58,-7.68,-3.58
-3099,5049,-3.4,-8.62,-3.4
-3106,5056,-3.39,-7.82,-3.39
-3162,5112,-3.38,-7.02,-3.38
-3221,5171,-3.65,-9,-3.65
-3294,5244,-3.21,-8.56,-3.21
-3350,5300,-3.3,-7.74,-3.3
-3462,5412,-3.37,-8.25,-3.37
-3484,5434,-3.17,-7.97,-3.17
-3537,5487,-3.38,-7.32,-3.38
-3613,5563,-3.1,-7,-3.1
-3725,5675,-3.13,-7.93,-3.13
-3748,5698,-3.65,-8.77,-3.65
-3763,5713,-3.15,-7.98,-3.15
-3772,5722,-3.19,-8.15,-3.19
-3776,5726,-3.23,-8.31,-3.23
-3801,5751,-3.31,-8.64,-3.31
-3834,5784,-3.22,-7.66,-3.22
-3866,5816,-3.53,-8.4,-3.53
-3916,5866,-3.3,-7.49,-3.3
-3940,5890,-3.3,-6.98,-3.3
-3973,5923,-3.36,-6.96,-3.36
-3998,5948,-3.43,-9.08,-3.43
-4010,5960,-3.62,-8.72,-3.62
-4018,5968,-3.42,-8.82,-3.42
-4039,5989,-3.41,-8.55,-3.41
-4121,6071,-3.38,-8.02,-3.38
-4203,6153,-3.34,-6.55,-3.34
-4272,6222,-3.01,-6.48,-3.01
-4409,6359,-3.2,-7.24,-3.2
-4491,6441,-3.44,-6.15,-3.44
-4532,6482,-3.05,-7.02,-3.04
-4714,6664,-3.5,-7.12,-3.48
-4791,6741,-2.94,-7.42,-2.91
-4821,6771,-3.21,-7.57,-3.18
-5047,6997,-2.95,-8,-2.89
-5203,7153,-3.44,-6.45,-3.37
-5232,7182,-3.14,-7.92,-3.07
-5250,7200,-3.45,-6.41,-3.37
-5300,7250,-3.44,-9.02,-3.36
-5520,7470,-3.09,-5.66,-2.99
-5550,7500,-3.42,-8.9,-3.32
-5650,7600,-3.48,-6,-3.36
-5797,7747,-3.29,-8.09,-3.16
-5808,7758,-3.64,-8.14,-3.51
-6039,7989,-3.11,-7.72,-2.96
-6058,8008,-3.57,-6.09,-3.41
-6117,8067,-3.59,-8.37,-3.43
-6151,8101,-3.52,-8.59,-3.35
-6277,8227,-3.22,-8.73,-3.04
-6378,8328,-3.4,-7.78,-3.21
-6429,8379,-3.5,-6.05,-3.31
-6464,8414,-3.28,-6.19,-3.08
-6509,8459,-3.42,-8.36,-3.22
-6627,8577,-3.6,-7.95,-3.38
-6736,8686,-3.38,-8.75,-3.16
-6767,8717,-3.47,-7.05,-3.24
-6831,8781,-3.57,-7.69,-3.34
-6958,8908,-3.38,-8.26,-3.14
-7074,9024,-3.55,-7.42,-3.28
-7149,9099,-3.82,-8.29,-3.55
-7171,9121,-3.57,-6.62,-3.3
-7172,9122,-3.24,-7.63,-2.98
-7330,9280,-3.3,-8,-3.01
-7353,9303,-3.44,-6.55,-3.15
-7380,9330,-3.29,-8.64,-3.01
-7557,9507,-3.69,-7.1,-3.38
-7581,9531,-3.4,-7.63,-3.09
-7607,9557,-3.68,-9.54,-3.37
-7716,9666,-3.36,-6.64,-3.03
-7774,9724,-3.3,-7.68,-2.98
-7829,9779,-3.25,-7.01,-2.91
-7839,9789,-3.44,-10.34,-3.1
-7942,9892,-3.44,-7.45,-3.09
-7959,9909,-3.38,-8.21,-3.03
-8033,9983,-3.48,-7.47,-3.12
-8052,10002,-3.53,-9.53,-3.17
-8056,10006,-3.46,-7.75,-3.1
-8103,10053,-3.24,-7.52,-2.87
-8135,10085,-3.39,-7.72,-3.03
-8249,10199,-3.48,-8.09,-3.11
-8283,10233,-3.42,-7.11,-3.05
-8302,10252,-3.39,-7.75,-3.01
-8419,10369,-3.64,-7.8,-3.26
-8432,10382,-3.41,-7.89,-3.02
-8460,10410,-3.32,-7.91,-2.93
-8509,10459,-3.62,-8.33,-3.23
-8532,10482,-3.45,-8.18,-3.06
-8579,10529,-3.27,-8.02,-2.88
-8604,10554,-3.39,-8.31,-2.99
-8644,10594,-3.5,-8.06,-3.09
-8672,10622,-3.36,-7.67,-2.96
-8769,10719,-3.36,-9.55,-2.95
-8777,10727,-3.15,-7.31,-2.74
-8859,10809,-3.39,-8.04,-2.98
-8929,10879,-3.36,-10,-2.93
-8976,10926,-3.36,-8.16,-2.94
-9023,10973,-3.6,-8.24,-3.16
-9046,10996,-3.33,-8.78,-2.9
-9075,11025,-3.75,-3.76,-3.32
-9087,11037,-3.29,-9.09,-2.85
-9106,11056,-3.51,-4.02,-3.08
-9137,11087,-3.39,-4.77,-2.95
-9151,11101,-3.5,-8.09,-3.06
-9169,11119,-3.36,-4.43,-2.92
-9185,11135,-3.65,-8.31,-3.19
-9200,11150,-3.7,-6.02,-3.26
-9231,11181,-3.7,-6.04,-3.26
-9246,11196,-3.35,-9.12,-2.9
-9256,11206,-3.39,-9.28,-2.95
-9262,11212,-3.32,-9.04,-2.88
-9262,11212,-3.9,-6.42,-3.45
-9270,11220,-3.25,-8.79,-2.81
-9294,11244,-3.8,-6.36,-3.36
-9325,11275,-3.79,-6.43,-3.34
-9356,11306,-4.11,-6.08,-3.67
-9367,11317,-3.11,-8.3,-2.66
-9388,11338,-4.16,-7.06,-3.71
-9409,11359,-3.39,-6.68,-2.93
-9419,11369,-3.84,-6.96,-3.39
-9431,11381,-3.43,-8.62,-2.97
-9450,11400,-3.73,-6.71,-3.28
-9481,11431,-3.84,-6.67,-3.38
-9493,11443,-3.41,-7.74,-2.94
-9496,11446,-3.53,-8.4,-3.07
-9513,11463,-3.72,-6.5,-3.26
-9544,11494,-3.64,-6.35,-3.17
-9575,11525,-3.76,-6.6,-3.3
-9579,11529,-3.42,-7.02,-2.95
-9593,11543,-3.33,-8.35,-2.86
-9606,11556,-3.97,-6.84,-3.51
-9638,11588,-4.08,-6.58,-3.61
-9667,11617,-3.35,-7,-2.87
-9669,11619,-4.16,-6.88,-3.68
-9674,11624,-3.28,-8,-2.81
-9700,11650,-3.93,-6.81,-3.46
-9726,11676,-3.43,-7.6,-2.94
-9731,11681,-4.02,-6.7,-3.54
-9758,11708,-3.41,-7.72,-2.92
