depth (cm),age14C (bp),age_error (1_s),age_type (),core_name (),lab_id (),material_dated (),original_reference ()
112,1930,45,1,1,1,3,1
559,4465,40,1,1,2,4,1
644.5,4820,70,1,1,3,3,1
764.5,5220,40,1,1,4,4,1
875,5885,40,1,1,5,1,1
955.5,6395,45,1,1,6,2,1
