year (AD) [1-1],age (BP) [1-1],temperature (degC) [1-1],Uk37 (missing) [1-1],age (BP) [2-1],year (AD) [2-1],age (BP) [2-1],ageUncertainty (yr) [2-1]
-40,1990,14.1,0.509,1521.556,-40,1990,84.621
-210,2160,14.7,0.529,1799.479,-210,2160,199.844
-350,2300,15.9,0.569,2033.8,-350,2300,231.963
-480,2430,15.7,0.562,2269.362,-480,2430,235.363
-590,2540,15.9,0.569,2458.671,-590,2540,218.603
-760,2710,14.8,0.532,2744.853,-760,2710,146.425
-920,2870,13.8,0.499,2952.77,-920,2870,134.708
-1100,3050,14.4,0.519,3128.947,-1100,3050,199.961
-1280,3230,15.6,0.559,3306.604,-1280,3230,237.102
-1420,3370,14.4,0.519,3449.28,-1420,3370,255.417
-1600,3550,15.3,0.549,3628.131,-1600,3550,267.57
-1820,3770,15.8,0.565,3843.395,-1820,3770,268.412
-2000,3950,15.7,0.562,4023.309,-2000,3950,257.825
-2180,4130,16.5,0.589,4203.771,-2180,4130,235.641
-2360,4310,16.1,0.575,4384.982,-2360,4310,198.114
-2540,4490,15.6,0.559,4567.671,-2540,4490,133.214
-2740,4690,16.2,0.579,4829.143,-2740,4690,168.206
-2980,4930,16.1,0.575,5172.174,-2980,4930,243.723
-3340,5290,16.8,0.598,5517.77,-3340,5290,263.848
-3780,5730,16.7,0.595,5865.203,-3780,5730,242.385
-4220,6170,16.6,0.592,6215.2,-4220,6170,163.332
-4540,6490,16.6,0.592,6466.642,-4540,6490,116.576
-4730,6680,16.5,0.589,6616.023,-4730,6680,176.841
-4920,6870,16.6,0.592,6766.786,-4920,6870,207.959
-5110,7060,16.5,0.589,6918.29,-5110,7060,222.507
-5270,7220,15.6,0.559,7070.381,-5270,7220,223.724
-5330,7280,15.9,0.569,7161.908,-5330,7280,218.239
-5380,7330,15.6,0.559,7223.047,-5380,7330,211.812
-5470,7420,15.2,0.546,7345.666,-5470,7420,191.246
-5560,7510,15.3,0.549,7468.907,-5560,7510,156.8
-5600,7550,15.4,0.552,7530.918,-5600,7550,131.111
-5700,7650,15.5,0.555,7657.224,-5700,7650,65.981
-5830,7780,14.1,0.509,7787.379,-5830,7780,135.416
-5900,7850,14.4,0.519,7853.637,-5900,7850,147.099
-6030,7980,16.2,0.579,7987.37,-6030,7980,144.697
-6170,8120,16,0.572,8123.155,-6170,8120,102.196
-6230,8180,16.1,0.575,8193.056,-6230,8180,79.369
-6360,8310,15,0.539,8340.468,-6360,8310,108.556
-6500,8450,14.6,0.526,8493.746,-6500,8450,81.977
-6570,8520,14.8,0.532,8569.694,-6570,8520,130.035
-6670,8620,15.5,0.555,8684.993,-6670,8620,168.242
-6730,8680,15,0.539,8762.319,-6730,8680,182.291
-6840,8790,15,0.539,8878.818,-6840,8790,191.082
-6900,8850,15.6,0.559,8956.812,-6900,8850,189.495
-7000,8950,14.7,0.529,9074.396,-7000,8950,175.144
-8860,10810,10.7,0.397,11683.864,-8860,10810,473.218
-8920,10870,9.7,0.364,12128.966,-8920,10870,554.346
-9000,10950,10.4,0.387,12796.373,-9000,10950,663.996
-9060,11010,10.1,0.377,13241.199,-9060,11010,731.883
-9140,11090,10.3,0.384,NA,NA,NA,NA
-9420,11370,10.9,0.404,NA,NA,NA,NA
