age (BP) [1-1],depth (cm) [1-1],temperature (degC) [1-1],salinity (psu) [1-1],Sea_Ice_months (months/year) [1-1],Sea_Ice_conc (0-10) [1-1],productivity (gcm2) [1-1],A (missing) [1-1],age (BP) [1-2],temperature (degC) [1-2]
1023.6,0.5,1.028,32.328,9.052,7.151,97.403,NA,1023.6,-0.331
1174.9,10.5,1.291,31.554,8.471,6.769,107.159,1,1174.9,-0.154
1343,20.5,1.574,31.462,8.313,6.549,103.045,2,1343,-0.039
1511.1,30.5,0.304,30.748,9.76,7.699,91.584,2,1511.1,-0.722
1679.2,40.5,0.285,31.727,9.96,7.785,84.016,2,1679.2,-0.743
1847.3,50.5,1.048,30.024,9.507,7.636,94.552,2,1847.3,-0.236
2015.4,60.5,1.426,25.144,9.424,7.546,99.027,2,2015.4,-0.032
2183.5,70.5,2.211,32.283,8.305,6.609,83.371,2,2183.5,0.35
2351.6,80.5,2.638,25.747,9.092,7.323,168.194,2,2351.6,0.427
2519.7,90.5,3.482,24.016,9.176,7.37,175.831,2,2519.7,0.861
2687.8,100.5,0.942,32.216,9.359,7.484,86.783,2,2687.8,-0.356
2855.9,110.5,1.608,29.747,9.029,7.206,96.158,2,2855.9,0.042
3024,120.5,3.831,28.878,7.715,6.139,122.792,2,3024,1.14
3192.1,130.5,3.102,25.787,8.703,6.98,168.459,2,3192.1,0.705
3360.2,140.5,3.685,24.656,9.228,7.447,144.735,2,3360.2,0.968
3528.3,150.5,3.403,22.967,8.574,6.88,132.703,2,3528.3,0.911
3696.4,160.5,3.42,24.182,9.214,7.403,172.481,2,3696.4,0.825
3864.5,170.5,4.442,24.493,8.242,6.636,223.722,2,3864.5,1.477
4032.6,180.5,1.876,25.041,9.078,7.342,121.699,2,4032.6,0.114
4200.7,190.5,1.081,32.056,8.897,7.156,91.634,2,4200.7,-0.279
4368.8,200.5,1.424,27.106,9.977,8.01,104.66,2,4368.8,-0.167
4536.9,210.5,1.485,24.75,9.376,7.533,97.655,2,4536.9,-0.069
4705,220.5,2.134,25.513,9.086,7.318,102.489,2,4705,0.317
4856.3,230.5,1.946,28.915,9.39,7.498,98.612,2,4856.3,0.057
5041.2,240.5,3.444,24.26,9.214,7.403,168.043,2,5041.2,0.837
5209.3,250.5,4.107,24.166,9.188,7.413,156.468,2,5209.3,1.224
5377.4,260.5,1.625,25.54,9.333,7.528,103.252,2,5377.4,0.062
5545.5,270.5,3.831,25.537,9.217,7.432,129.789,2,5545.5,1.155
5713.6,280.5,3.457,24.011,9.176,7.373,176.744,2,5713.6,0.848
5881.7,290.5,1.581,27.389,9.831,7.94,106.358,2,5881.7,-0.102
6049.8,300.5,2.148,28.617,8.568,6.851,150.658,2,6049.8,0.277
6217.9,310.5,1.564,25.99,9.365,7.555,101.751,2,6217.9,0.029
6386,320.5,2.27,32.502,8.128,6.46,90.692,2,6386,0.424
6554.1,330.5,2.816,24.149,8.992,7.218,198.421,2,6554.1,0.545
6722.2,340.5,1.301,32.092,8.667,6.935,95.575,2,6722.2,-0.161
6890.3,350.5,0.996,28.258,10.006,7.96,98.668,2,6890.3,-0.389
7058.4,360.5,0.741,30.283,9.435,7.577,93.277,2,7058.4,-0.495
7226.5,370.5,3.368,23.935,9.184,7.374,182.713,2,7226.5,0.804
7394.6,380.5,2.341,26.727,8.804,7.06,108.377,2,7394.6,0.475
7562.7,390.5,3.351,24.19,9.231,7.414,174.871,2,7562.7,0.789
7730.8,400.5,1.263,32.292,8.91,7.132,84.171,2,7730.8,-0.2
