depth (cm),age (BP),age (BP),temperature (degC),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
2,-62,-59.2,16.708,2,-65.1,1.256,1.256,Y
4,28.1,278.8,17.917,4,-57.9,1.244,1.244,Y
6,142.7,463.2,17.378,6,-16.8,1.246,1.246,Y
8,262.4,617.8,17.587,8,42.8,1.242,1.242,Y
10,383.7,767.3,17.238,10,123.4,1.254,1.254,Y
12,497.9,885.3,17.757,12,197.4,1.245,1.245,Y
14,625.1,1015.2,16.853,14,285.3,1.301,1.301,Y
16,745.8,1151.7,16.558,16,382.3,1.271,1.271,Y
18,865.9,1255.6,17.39,18,492.6,1.243,1.243,Y
20,985.2,1367.6,17.252,20,599,1.258,1.258,Y
22,1108,1471,17.833,22,718.5,1.24,1.24,Y
24,1231.1,1570.4,18.055,24,841.3,1.244,1.244,Y
26,1351.1,1659.5,16.946,26,968.8,1.262,1.262,Y
28,1472.5,1746.5,17.732,28,1104.5,1.244,1.244,Y
30,1589,1825.6,17.403,30,1263.1,1.258,1.258,Y
32,1706.5,1896.7,17.279,32,1429.7,1.258,1.258,Y
34,1801.6,1982.1,17.6,34,1568.3,1.241,1.241,Y
36,1876.6,2107,16.718,36,1634.4,1.249,1.249,Y
38,1951.5,2208.2,17.755,38,1688.5,1.252,1.252,Y
40,2027.6,2305.7,18.317,40,1751.6,1.247,1.247,Y
42,2105.9,2404.4,17.732,42,1821.1,1.246,1.246,Y
44,2181.7,2482.5,18.275,44,1891.4,1.243,1.243,Y
46,2260.8,2566.5,18.339,46,1960.7,1.244,1.244,Y
48,2340.3,2652.3,18.113,48,2034.7,1.254,1.254,Y
50,2419.4,2727.3,18.017,50,2103.8,1.245,1.245,Y
52,2499.3,2806.7,17.889,52,2177.7,1.255,1.255,Y
54,2578.9,2878.9,18.282,54,2256.5,1.246,1.246,Y
56,2652.9,2952,17.919,56,2335.4,1.243,1.243,Y
58,2734.6,3023,16.966,58,2409,1.256,1.256,Y
60,2813.3,3092.9,18.525,60,2486.5,1.248,1.248,Y
62,2889.2,3154.1,17.96,62,2570.2,1.244,1.244,Y
64,2968.2,3214.1,17.266,64,2645.6,1.256,1.256,Y
66,3046.9,3282,17.82,66,2748.9,1.252,1.252,Y
68,3122.6,3337.5,17.861,68,2850.8,1.251,1.251,Y
70,3197.6,3390.7,17.735,70,2952.6,1.253,1.253,Y
72,3272.9,3445.9,17.806,72,3063.2,1.244,1.244,Y
74,3350.3,3504.9,18.122,74,3188.6,1.245,1.245,Y
76,3442.3,3712,18.249,76,3255.6,1.244,1.244,Y
78,3542.1,3869.1,18.011,78,3321.3,1.246,1.246,Y
80,3643.9,4013.3,17.508,80,3392,1.246,1.246,Y
82,3744.5,4143.6,17.695,82,3460.2,1.246,1.246,Y
84,3850.6,4269.4,18.225,84,3536.5,1.241,1.241,Y
86,3955.6,4391.4,17.436,86,3617.4,1.243,1.243,Y
88,4059.8,4508.1,17.044,88,3694.3,1.304,1.304,Y
90,4163.5,4610.6,18.052,90,3782.9,1.246,1.246,Y
92,4269.7,4726.9,18.336,92,3877.4,1.244,1.244,Y
94,4376.5,4836.6,18.651,94,3960.5,1.243,1.243,Y
96,4477.8,4940.4,18.416,96,4055.6,1.242,1.242,Y
98,4581.4,5045.9,18.267,98,4154.5,1.244,1.244,Y
100,4692.2,5154.7,17.731,100,4255.3,1.242,1.242,Y
102,4798.4,5255.9,18.105,102,4351.1,1.243,1.243,Y
104,4904.5,5354.3,17.861,104,4450.6,1.246,1.246,Y
106,5012.5,5452.6,17.529,106,4550.6,1.247,1.247,Y
108,5120.6,5546.7,17.63,108,4662.6,1.241,1.241,Y
110,5226.3,5636,17.686,110,4769.7,1.256,1.256,Y
112,5330.9,5718.6,17.823,112,4876.5,1.261,1.261,Y
114,5436.3,5808,16.663,114,5004,1.28,1.28,Y
116,5541.3,5899.8,17.339,116,5118.9,1.254,1.254,Y
118,5642.9,5981.3,17.674,118,5238.1,1.244,1.244,Y
120,5748,6063.6,17.088,120,5364.5,1.26,1.26,Y
122,5853.7,6137.4,17.537,122,5497,1.252,1.252,Y
124,5956.7,6207.1,18.204,124,5625.3,1.242,1.242,Y
126,6052.1,6275.6,18.162,126,5755.6,1.245,1.245,Y
128,6133.5,6361.3,17.488,128,5848,1.255,1.255,Y
130,6203.9,6453.5,17.822,130,5918.8,1.244,1.244,Y
132,6271.4,6542.7,18.24,132,5995.4,1.247,1.247,Y
134,6343.2,6635.5,17.644,134,6072.7,1.248,1.248,Y
136,6413.3,6721.3,17.765,136,6147.8,1.256,1.256,Y
138,6481,6805.1,18.075,138,6218.2,1.248,1.248,Y
140,6548.7,6885.7,18.398,140,6297.1,1.249,1.249,Y
142,6616.9,6962.3,17.034,142,6374.2,1.262,1.262,Y
144,6688.3,7037.7,18.071,144,6459.1,1.246,1.246,Y
146,6775,7153,17.529,146,6531.9,1.254,1.254,Y
148,6877.1,7303,18.761,148,6601.8,1.244,1.244,Y
150,6976.4,7439.9,18.319,150,6668.4,1.24,1.24,Y
152,7078,7579.1,17.666,152,6738.3,1.239,1.239,Y
154,7179.6,7714.7,18.487,154,6810.9,1.237,1.237,Y
156,7281.9,7833.7,17.159,156,6884.5,1.244,1.244,Y
158,7386.2,7971.7,18.064,158,6960,1.241,1.241,Y
160,7490,8112.6,16.564,160,7037.9,1.264,1.264,Y
162,7590.2,8240.6,17.022,162,7117.7,1.261,1.261,Y
164,7692,8362.3,17.865,164,7193.8,1.248,1.248,Y
166,7790.8,8484.1,15.078,166,7270.7,1.315,1.315,Y
168,7892.6,8608.3,16.645,168,7351.2,1.265,1.265,Y
