year (AD),age (BP),depth (m),temperature (degC),C370x3A4 (percent),C26OH0x2F0x28C26OH0x2BC290x29 (missing)
1890,60,0.01,17.49,0.11,67.5
1780,170,0.03,17.07,0.44,60.89
1440,510,0.09,17.58,0.25,61.53
1270,680,0.12,17.13,0.27,63.5
1100,850,0.15,17.47,0.16,64.87
930,1020,0.18,17.55,0.21,64.06
760,1190,0.21,17.46,0.37,63.81
600,1350,0.24,17.38,0.25,61.54
430,1520,0.27,17.48,0.26,61.34
260,1690,0.3,17.6,0.16,61.21
90,1860,0.33,17.56,0.16,62.28
-80,2030,0.36,17.52,0.07,63.74
-250,2200,0.39,17.24,0.23,64.57
-420,2370,0.42,17.43,0.29,66.82
-590,2540,0.45,17.79,0.21,63.25
-760,2710,0.48,17.75,0.16,67.24
-930,2880,0.51,17.55,2.62,72.24
-1100,3050,0.54,17.7,0.23,60.75
-1270,3220,0.57,17.49,0.23,67.72
-1440,3390,0.6,17.81,0.17,62.56
-1610,3560,0.63,17.73,0.23,60.18
-1780,3730,0.66,17.7,0.15,63.74
-1950,3900,0.69,17.75,0.2,60.69
-2110,4060,0.72,17.67,0.18,61.55
-2280,4230,0.75,17.87,0.21,60.32
-2450,4400,0.78,17.72,0.11,61.76
-2620,4570,0.81,17.61,0.14,61.82
-2790,4740,0.84,17.89,0.22,60.06
-2960,4910,0.87,17.78,0.21,67.01
-3130,5080,0.9,17.55,0.25,64.8
-3300,5250,0.93,17.94,0.08,64.41
-3640,5590,0.99,18,0.13,66.88
-3810,5760,1.02,17.8,0.19,67.66
-3980,5930,1.05,17.89,0.03,62.61
-4150,6100,1.08,18.06,0.11,59.67
-4320,6270,1.11,18.02,0.16,65.38
-4490,6440,1.14,18.36,0.27,53.95
-4820,6770,1.2,18.18,0.21,64.86
-4990,6940,1.23,18.1,0.15,63.94
-5160,7110,1.26,18.07,0.07,60.8
-5330,7280,1.29,18.14,0.08,60.18
-5500,7450,1.32,18.17,0.04,64.54
-5840,7790,1.38,18.48,0.09,62.18
-6010,7960,1.41,18.61,0.18,61.71
-6180,8130,1.44,18.48,0.03,64.02
-6350,8300,1.47,18.54,0.4,66.13
-6520,8470,1.5,18.17,0.4,53.17
-6690,8640,1.53,18.4,0.03,57.68
-6860,8810,1.56,18.21,0.01,62.31
-7030,8980,1.59,18.05,0.47,68.06
-7290,9240,1.65,18.38,0.05,56.83
-7430,9380,1.68,18.19,0.05,59.13
-7560,9510,1.71,17.77,0.26,63.16
-7700,9650,1.74,18.07,0.12,62.94
-7970,9920,1.8,17.85,0.1,60.72
-8100,10050,1.83,18.27,0.28,61.19
-8370,10320,1.89,17.98,0.12,57.64
-8500,10450,1.92,18.13,0.11,63.5
-8640,10590,1.95,17.85,0.08,55.97
-9040,10990,2.04,18.05,0.07,59.95
-9170,11120,2.07,17.72,0.05,63.4
-9310,11260,2.1,17.77,0.21,61.22
-9440,11390,2.13,17.48,0.19,63.05
-9570,11520,2.16,17.94,0.09,59.18
-9710,11660,2.19,18.06,0.05,58.05
-9960,11910,2.22,17.71,0.02,56.91
-10210,12160,2.25,16.35,0.34,58.17
-10450,12400,2.28,15.66,0.24,60.27
-10700,12650,2.31,15.78,0.26,65.14
-10950,12900,2.34,15.72,0.21,68.24
-11200,13150,2.37,16.2,0.24,54.97
-11450,13400,2.4,15.77,0.05,57.89
-11620,13570,2.43,15.85,0.11,57.24
-11780,13730,2.46,15.89,0.68,71.32
-11950,13900,2.49,15.95,0.13,66.93
-12280,14230,2.55,15.28,0.26,68.34
-12450,14400,2.58,15.16,0.31,70.67
-12620,14570,2.61,14.56,0.42,68.63
-12780,14730,2.64,15.04,0.34,71.56
-12950,14900,2.67,15.4,0.23,63.69
-13120,15070,2.7,14.79,0.64,65.9
-13280,15230,2.73,14.27,1.09,63.52
-13450,15400,2.76,13.42,2.41,64.02
-13620,15570,2.79,12.85,2.68,72.72
-13780,15730,2.82,12.17,3.65,67.2
-13950,15900,2.85,12.31,5.12,71.1
-14120,16070,2.88,12.19,5.43,68.62
-14280,16230,2.91,11.99,9.08,70.92
-14450,16400,2.94,12.16,9.51,73.77
-14620,16570,2.97,11.83,8.6,64.87
-14780,16730,3,11.29,6.02,66.77
-14950,16900,3.03,11.3,6.11,65.38
-15120,17070,3.06,12.16,8.28,66.02
-15280,17230,3.09,12.78,6.56,66.35
-15450,17400,3.12,12.64,11.46,66.47
-15520,17470,3.15,13,7.47,68.94
-15590,17540,3.18,12.99,6.51,69.3
-15650,17600,3.21,12.53,7.48,65.84
-15720,17670,3.24,12.19,7.94,68.97
-15790,17740,3.27,12.33,8.65,72.01
-15860,17810,3.3,12.4,10.63,68.94
-15930,17880,3.33,12.21,7.34,68.9
-15990,17940,3.36,11.96,10.47,72.77
-16060,18010,3.39,11.58,7.17,70.64
-16130,18080,3.42,11.62,7.3,70.98
-16200,18150,3.45,11.51,5.6,73.15
-16270,18220,3.48,12.72,4.04,68.02
-16330,18280,3.51,12.49,3.56,69.73
-16400,18350,3.54,12.64,4.25,70.84
-16470,18420,3.57,13.13,4.03,74.86
-16540,18490,3.6,12.71,2.8,68.79
-16610,18560,3.63,12.92,1.73,69.9
-16670,18620,3.66,13.24,1.79,65.01
-16740,18690,3.69,13.64,2.03,71.4
-16810,18760,3.72,13.53,2.02,69.43
-16880,18830,3.75,13.5,1.91,71.68
-16950,18900,3.78,13.81,1.52,71.8
-17020,18970,3.81,13.53,1.24,71.57
-17080,19030,3.84,13.74,1.79,72.53
-17150,19100,3.87,13.82,1.7,68.91
-17220,19170,3.9,13.73,2.29,73.81
-17290,19240,3.93,13.57,1.69,73.74
-17360,19310,3.96,13.76,1.45,71.89
-17420,19370,3.99,13.97,1.19,65.7
-17490,19440,4.02,14.07,1.08,71.96
-17560,19510,4.05,13.53,1.11,68.39
