depth (m),age (BP),temperature (degC)
NA,1910,24.86
NA,2050,24.41
NA,2470,25.17
NA,2610,24.77
NA,3030,25.03
NA,3170,24.28
NA,3590,24.89
NA,3730,25.07
NA,4150,24.36
NA,4290,25.06
NA,4710,25.87
NA,4850,25.1
NA,5270,25.61
NA,5340,25.1
NA,5549,25.58
NA,5619,25.75
NA,5828,25.76
NA,5898,25.92
NA,6108,25.38
NA,6178,25.38
NA,6387,25.57
NA,6457,25.41
NA,6666,26.12
NA,6736,25.34
NA,6945,26.3
NA,7015,26.21
NA,7225,25.48
NA,7294,26.03
NA,7504,26.42
NA,7574,25.79
NA,7783,26.88
NA,7853,26.5
NA,8062,26.27
NA,8132,25.74
NA,8342,25.85
NA,8411,25.92
NA,8621,26.28
NA,8691,26.53
NA,8900,25.51
NA,8941,26.27
NA,9064,26.32
NA,9105,25.37
NA,9228,26.04
NA,9269,26.83
NA,9392,26.74
NA,9433,26.75
NA,9556,25.79
NA,9597,26.27
NA,9720,25.73
NA,9761,25.58
NA,9884,26.26
NA,9925,25.61
NA,10048,25.91
NA,10089,25.49
NA,10212,24.78
NA,10253,24.99
NA,10376,25.27
NA,10417,25.76
