depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,12.257,-19.7,-4.14,644.857
2.5,583.7,11.686,-22.557,-6.15,601.286
5,1167.3,10.971,-26.814,-9.125,224
7.5,1751,9.857,-25.071,-8.66,299.857
10,2334.6,11.186,-20.457,-5.183,687.286
12.5,2918.3,10.943,-23.857,-7.145,409.571
15,3501.9,11.643,-24.957,-7.758,266.286
17.5,4085.6,12.229,-26.586,-8.025,247.857
20,4567.6,10.357,-28,-10.018,204.143
22.5,4948.1,10.929,-23.886,-7.22,487.429
25,5328.5,10.9,-27.357,-9.236,215
27.5,5708.9,11.114,-26.857,-9.056,235.714
30,6007.5,10.629,-27,-9,298.714
32.5,6224.3,10.557,-26.786,-9.263,226
35,6441.1,10.943,-25.986,-8.393,320.286
37.5,6657.8,11.3,-25.757,-8.039,329.286
40,6874.6,11.3,-21.571,-6.287,332.286
42.5,7091.4,10.443,-26.814,-9.34,214.857
45,7308.1,10.743,-26.129,-8.911,226.571
47.5,7524.9,10.6,-26.714,-9.189,222.286
50,7741.7,9.857,-21.814,-7.126,478.143
52.5,7958.4,10.557,-15.514,-3.581,827.143
55,8175.2,8.643,-16.314,-4.867,722.571
57.5,8392,9.729,-19.186,-5.977,676.857
60,8608.7,9.071,-22.743,-8.08,326.286
62.5,8825.5,11.143,-22.343,-6.714,579.714
65,9042.3,9.157,-19.257,-6.43,449.429
